,from,B4,B3,B2,B1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,B4,0.0,0.049164208456243856,0.0,0.10304818092428712,0.21789577187807277,0.0344149459193707,0.08357915437561456,0.05604719764011799,0.07492625368731563,0.043461160275319564,0.04129793510324484,0.0344149459193707,0.041494591937069815,0.03087512291052114,0.04405113077679449,0.036971484759095376,0.039724680432645036,0.035004916420845626,0.033628318584070796
2,B3,0.12250128139415685,0.0,0.0,0.13070220399794977,0.29574577139928243,0.04356740133264992,0.06663249615581752,0.037929267042542285,0.051255766273705795,0.04100461301896463,0.028703229113275244,0.02409021014864172,0.022039979497693492,0.017939518195797026,0.032803690415171706,0.022039979497693492,0.01998974884674526,0.02409021014864172,0.018964633521271142
3,B2,,,,,,,,,,,,,,,,,,,
4,B1,0.06285021959715281,0.057852491291837047,0.0,0.0,0.09162501893078903,0.011207027108889898,0.04013327275480842,0.04270786006360745,0.06618203846736331,0.05830683022868393,0.055277903983038015,0.0557322429198849,0.07299712252006664,0.022414054217779797,0.08435559594123883,0.06057852491291837,0.0705739815235499,0.06769650159018628,0.07950931394820536
5,1,0.09807803349006021,0.062195826115647945,0.0,0.07910583188979625,0.0,0.013857955951497154,0.05534933597294399,0.03728450053617091,0.06071104512084467,0.04891528499546317,0.04396601501278562,0.04586323517281201,0.06475294894003135,0.02425142291512002,0.07778602656108224,0.066815144766147,0.07176441474882454,0.07564134290192197,0.07366163490885094
6,2,0.13275299238302501,0.15995647442872687,0.0,0.1044613710554951,0.10772578890097932,0.0,0.035908596300326445,0.042437431991294884,0.05223068552774755,0.041349292709466814,0.02720348204570185,0.030467899891186073,0.03373231773667029,0.03917301414581066,0.05767138193688792,0.03264417845484222,0.04026115342763874,0.023939064200217627,0.03808487486398259
7,3,0.1331368872220734,0.03857487275649612,0.0,0.08090008036431824,0.1326011251004554,0.013929815162068041,0.0,0.08465041521564426,0.11036699705330832,0.04098580230377712,0.050897401553710156,0.028395392445754085,0.05009375837128315,0.03991427806054112,0.035896062148406106,0.04232520760782213,0.05170104473613715,0.034288775783552106,0.03134208411465309
8,4,0.06354947042107982,0.0433996383363472,0.0,0.10074916042366314,0.136140532162232,0.015241539653836218,0.07000774993541721,0.0,0.07646602944975459,0.05321622319814002,0.03539137173856884,0.0594161715319039,0.059157840351330405,0.039783001808318265,0.0865409454921209,0.06303280805993283,0.03590803409971584,0.03616636528028933,0.025833118057349523
9,5,0.06464460784313726,0.05514705882352941,0.0,0.13419117647058823,0.15165441176470587,0.01838235294117647,0.0704656862745098,0.06862745098039216,0.0,0.04718137254901961,0.04197303921568627,0.04197303921568627,0.058823529411764705,0.0628063725490196,0.03431372549019608,0.03799019607843137,0.044730392156862746,0.035845588235294115,0.03125
10,6,0.04955104755570336,0.04955104755570336,0.0,0.185899567675424,0.16960425673428667,0.02261390089790489,0.04356501496508148,0.05520452278017958,0.06883937479215164,0.0,0.05121383438643166,0.03890921183904224,0.06119055537080147,0.03791153974060525,0.040571998669770536,0.02993016295310941,0.03857665447289658,0.034918523445294315,0.02194878616561357
11,7,0.053071610323518724,0.04180298073427845,0.0,0.19083969465648856,0.20283533260632497,0.014176663031624863,0.056343147946201384,0.037804434750999635,0.05779716466739367,0.03816793893129771,0.0,0.04471101417666303,0.05270810614322065,0.04289349327517267,0.03380588876772083,0.03380588876772083,0.038894947291893855,0.03198836786623046,0.028353326063249727
12,8,0.05998389694041868,0.035829307568438,0.0,0.1570048309178744,0.18840579710144928,0.02214170692431562,0.043478260869565216,0.07769726247987117,0.07085346215780998,0.03864734299516908,0.05314009661835749,0.0,0.05958132045088567,0.026972624798711754,0.03784219001610306,0.038244766505636074,0.033816425120772944,0.030595813204508857,0.02576489533011272
13,9,0.052581261950286805,0.026131293817718292,0.0,0.1826003824091778,0.20395156150414276,0.016889738687061822,0.05194391332058636,0.05449330783938815,0.06437221159974506,0.06947100063734862,0.0331421287444232,0.03409815168897387,0.0,0.035691523263224986,0.042702358189929894,0.03537284894837476,0.041427660930529,0.023581899298916506,0.03154875717017208
14,10,0.06842328941776456,0.02337441563960901,0.0,0.1066723331916702,0.11262218444538886,0.021249468763280918,0.09009774755631109,0.056523586910327245,0.09094772630684234,0.06757331066723332,0.050148746281342964,0.04887377815554611,0.06077348066298342,0.0,0.03824904377390565,0.03909902252443689,0.04929876753081173,0.04037399065023375,0.035699107522311944
15,11,0.05604362314450167,0.03392911239018479,0.0,0.20024235080278704,0.22205392305362012,0.022417449257800665,0.03392911239018479,0.06816116328385338,0.05967888518630718,0.042108451984247196,0.030899727355346865,0.03544380490760376,0.04513783701908512,0.0251438957891548,0.0,0.04271432899121479,0.032717358376249624,0.025446834292638595,0.023932141775219632
16,12,0.061170212765957445,0.03357712765957447,0.0,0.17652925531914893,0.2393617021276596,0.018617021276595744,0.04055851063829787,0.06748670212765957,0.04886968085106383,0.03291223404255319,0.026263297872340427,0.04022606382978723,0.0355718085106383,0.02992021276595745,0.0355718085106383,0.0,0.052194148936170214,0.03756648936170213,0.02360372340425532
17,13,0.062168844931119745,0.02507947721653126,0.0,0.19286471211586012,0.23313316849169904,0.017661603673613566,0.04662663369833981,0.04274108089014483,0.0639350052984811,0.034263511126810316,0.032497350759448956,0.03638290356764394,0.03991522430236665,0.0307311903920876,0.033910279053338044,0.037089367714588484,0.0,0.04274108089014483,0.0282585658777817
18,14,0.06348610067618332,0.029301277235161533,0.0,0.1990984222389181,0.20135236664162284,0.015401953418482344,0.05597295266716754,0.03343350864012021,0.05897821187077385,0.03681442524417731,0.04169797145003756,0.03268219383921863,0.03343350864012021,0.035687453042824946,0.028174305033809167,0.03268219383921863,0.04019534184823441,0.0,0.061607813673929375
19,15,0.047936640266777825,0.028761984160066693,0.0,0.22175906627761569,0.21425593997498957,0.01834097540641934,0.042934556065027094,0.035431429762401004,0.06002501042100875,0.03459774906210921,0.037098791162984576,0.04043351396415173,0.04043351396415173,0.03293038766152564,0.04043351396415173,0.03293038766152564,0.03459774906210921,0.037098791162984576,0.0
