,from,B4,B3,B2,B1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,B4,0.0,0.008294930875576038,0.0,0.1064516129032258,0.12534562211981568,0.06912442396313365,0.05276497695852535,0.056912442396313365,0.07027649769585254,0.07304147465437788,0.032027649769585255,0.06612903225806452,0.045391705069124426,0.006221198156682027,0.06843317972350231,0.050921658986175115,0.06705069124423964,0.06682027649769585,0.0347926267281106
2,B3,0.03426640926640927,0.0,0.0,0.09314671814671814,0.08638996138996138,0.04826254826254826,0.11631274131274132,0.0444015444015444,0.07384169884169885,0.04922779922779923,0.028474903474903474,0.07625482625482626,0.07384169884169885,0.015926640926640926,0.0777027027027027,0.05357142857142857,0.04295366795366795,0.03957528957528957,0.04584942084942085
3,B2,,,,,,,,,,,,,,,,,,,
4,B1,0.07964601769911504,0.03813354786806114,0.0,0.0,0.05293644408688657,0.02268704746580853,0.03765084473049075,0.033628318584070796,0.04070796460176991,0.11069991954947707,0.06500402252614643,0.06419951729686244,0.06902654867256637,0.014481094127111826,0.06950925181013677,0.08238133547868061,0.0664521319388576,0.09621882542236525,0.05663716814159292
5,1,0.09191444966092853,0.03630672926447574,0.0,0.06416275430359937,0.0,0.00970266040688576,0.019196661450182576,0.022848200312989047,0.02775169535732916,0.09014084507042254,0.06009389671361502,0.08012519561815336,0.06103286384976526,0.07511737089201878,0.06322378716744914,0.059989567031820554,0.06770996348461138,0.08721961398017736,0.08346374543557643
6,2,0.14250440917107585,0.039153439153439155,0.0,0.08853615520282188,0.0455026455026455,0.0,0.016578483245149912,0.014814814814814815,0.019400352733686066,0.05255731922398589,0.06701940035273368,0.07865961199294533,0.06031746031746032,0.010934744268077601,0.056084656084656084,0.06948853615520283,0.05573192239858907,0.10052910052910052,0.08218694885361552
7,3,0.07966706302021404,0.10107015457788347,0.0,0.13872374157748713,0.13793103448275862,0.02179944510503369,0.0,0.034482758620689655,0.022988505747126436,0.06420927467300833,0.06817281014665082,0.0372572334522394,0.04122076892588189,0.006738010305192232,0.034482758620689655,0.03804994054696789,0.05786761791518034,0.07808164883075704,0.0372572334522394
8,4,0.08761096101891162,0.03550752605171748,0.0,0.11810111925897337,0.15901196449247396,0.024700887688151294,0.01466615206483983,0.0,0.02045542261675029,0.12427634118101119,0.02933230412967966,0.10729448089540718,0.07448861443458124,0.009262832883056734,0.062138170590505595,0.037051331532226936,0.020069471246622925,0.0331918178309533,0.0428406020841374
9,5,0.12011790714812086,0.07811348563006633,0.0,0.16249078850405305,0.16028002947678702,0.03279292557111275,0.021370670596904937,0.018054532056005896,0.0,0.06779661016949153,0.025792188651436992,0.06263817243920412,0.034266764922623434,0.008106116433308769,0.021370670596904937,0.020633750921149593,0.050110537951363304,0.078481945467944,0.03758290346352248
10,6,0.08144796380090498,0.03737950029510132,0.0,0.3072988392681487,0.2406059413732048,0.026755852842809364,0.031084005508557937,0.06315168207751327,0.04229785559708833,0.0,0.013968129057643124,0.017115876450914815,0.01593547117843793,0.005115089514066497,0.02164076332874287,0.027542789691127285,0.023608105449537675,0.02577218178241196,0.019279952783789103
11,7,0.07386551838357072,0.031136137793971515,0.0,0.23385226896323286,0.24047697913216295,0.07618416694269625,0.0543226233852269,0.026830076184166943,0.024511427625041403,0.02318648559125538,0.0,0.02616760516727393,0.011262007287181186,0.00364359059291156,0.012255713812520701,0.03345478635309705,0.03378602186154356,0.07552169592580324,0.019542894998343822
12,8,0.08840275696733593,0.05364099490560383,0.0,0.20677255019478574,0.27419838178004197,0.06083308360803116,0.023673958645489962,0.0943961642193587,0.03685945459994006,0.04135451003895715,0.009889121965837579,0.0,0.03895714713814804,0.0029967036260113876,0.011387473778843273,0.008990110878034162,0.01438417740485466,0.017081210668264908,0.016182199580461493
13,9,0.08153735632183907,0.06321839080459771,0.0,0.2442528735632184,0.2650862068965517,0.05603448275862069,0.03089080459770115,0.07219827586206896,0.033045977011494254,0.03125,0.011135057471264368,0.03125,0.0,0.017600574712643677,0.015445402298850575,0.007183908045977011,0.01329022988505747,0.01257183908045977,0.014008620689655173
14,10,0.02553916004540295,0.030079455164585697,0.0,0.09194097616345062,0.6220204313280363,0.012485811577752554,0.009648127128263337,0.014188422247446084,0.006242905788876277,0.015891032917139614,0.003972758229284903,0.0073779795686719635,0.022701475595913734,0.0,0.02553916004540295,0.02043132803632236,0.02724177071509648,0.04199772985244041,0.022701475595913734
15,11,0.10860879041046131,0.06102433708681439,0.0,0.24845622956774427,0.2386487468216491,0.0599346167816927,0.02869596803487105,0.07119505993461678,0.01670904467853251,0.05630221576462041,0.00980748274609517,0.012713403559752997,0.011260443152924083,0.02615328732292045,0.0,0.01198692335633854,0.008717762440973484,0.019978205593897565,0.00980748274609517
16,12,0.1109350237717908,0.04833597464342314,0.0,0.24207606973058637,0.2163232963549921,0.07091917591125198,0.04120443740095087,0.036846275752773376,0.021790808240887482,0.07329635499207607,0.031299524564183834,0.006735340729001585,0.010697305863708399,0.03169572107765452,0.01624405705229794,0.0,0.017036450079239304,0.01386687797147385,0.010697305863708399
17,13,0.10170132325141777,0.04196597353497165,0.0,0.21512287334593572,0.2438563327032136,0.047637051039697544,0.05141776937618148,0.023062381852551984,0.038185255198487714,0.05330812854442344,0.030245746691871456,0.011720226843100189,0.01550094517958412,0.05671077504725898,0.009073724007561436,0.009829867674858222,0.0,0.03705103969754253,0.013610586011342156
18,14,0.10665362035225048,0.03065883887801696,0.0,0.2227658186562296,0.22048271363339855,0.07632093933463796,0.04435746901500326,0.0273972602739726,0.05414220482713633,0.038486627527723416,0.04729288975864318,0.01532941943900848,0.014024787997390736,0.03881278538812785,0.010763209393346379,0.01141552511415525,0.0228310502283105,0.0,0.0182648401826484
19,15,0.06046689628779181,0.05128205128205128,0.0,0.2058936088786835,0.30424799081515497,0.08419441255262151,0.028319938767699962,0.03865288939915806,0.035973976272483735,0.0505166475315729,0.017986988136241867,0.021431305013394564,0.018752391886720246,0.027554535017221583,0.010332950631458095,0.011481056257175661,0.012246460007654038,0.02066590126291619,0.0
