action,riderNumAfter,floorIndex,direction,time
1,1,7,-1,9.916163658767971
1,0,7,1,9.916163658767971
2,0,7,1,22.91616365876797
2,0,7,-1,24.91616365876797
1,1,15,-1,45.95246624608481
1,0,15,1,45.95246624608481
1,1,16,-1,47.84635030275116
1,0,16,1,47.84635030275116
1,0,3,-1,53.19069985029287
1,1,3,1,53.19069985029287
1,0,8,-1,55.738151958326156
1,1,8,1,55.738151958326156
1,0,8,-1,56.50326350582726
1,2,8,1,56.50326350582726
1,0,10,-1,62.026413721920264
1,1,10,1,62.026413721920264
2,0,3,1,68.19069985029287
1,1,4,1,76.19069985029287
2,0,4,1,79.19069985029287
2,0,16,1,80.84635030275116
2,0,16,-1,82.84635030275116
2,0,15,-1,89.84635030275116
1,1,18,-1,93.78078653807835
1,0,18,1,93.78078653807835
1,3,8,1,98.19069985029287
1,1,14,-1,98.46581066582772
1,0,14,1,98.46581066582772
2,1,14,-1,111.46581066582772
2,0,10,-1,113.84635030275116
2,1,14,-1,118.46581066582772
1,0,8,-1,123.12331422313096
1,4,8,1,123.12331422313096
2,1,14,-1,125.46581066582772
1,1,8,-1,125.84635030275116
2,0,8,-1,128.84635030275115
2,0,8,1,131.84635030275115
2,1,14,-1,132.46581066582772
2,1,14,-1,139.46581066582772
1,1,13,-1,139.8415792341953
1,0,13,1,139.8415792341953
2,0,6,-1,139.84635030275115
2,0,10,1,143.84635030275115
2,0,13,-1,145.8415792341953
2,0,11,1,150.84635030275115
1,1,11,1,150.84635030275115
2,0,11,1,158.8415792341953
2,0,12,1,165.8415792341953
2,0,15,1,170.84635030275115
1,0,8,-1,178.41062533822918
1,1,8,1,178.41062533822918
1,0,8,-1,186.47379375538154
1,2,8,1,186.47379375538154
1,0,0,-1,187.56435463843508
1,1,0,1,187.56435463843508
2,0,18,-1,188.84635030275115
1,1,17,-1,192.76717169766087
1,0,17,1,192.76717169766087
2,0,17,-1,198.76717169766087
2,0,0,1,205.56435463843508
1,1,3,-1,205.6264953293599
1,0,3,1,205.6264953293599
2,0,14,-1,213.76717169766087
1,1,4,1,225.56435463843508
2,0,4,1,236.56435463843508
2,0,9,-1,237.76717169766087
1,0,8,-1,241.9205478772445
1,3,8,1,241.9205478772445
1,2,8,-1,244.76717169766087
1,0,4,-1,245.91038136085672
1,1,4,1,245.91038136085672
1,1,9,-1,249.46741903047456
1,0,9,1,249.46741903047456
2,0,8,1,250.76717169766087
1,1,8,1,256.5643546384351
1,2,3,-1,258.2081467338035
1,0,3,1,258.2081467338035
2,0,8,-1,259.5643546384351
2,0,11,1,265.76717169766084
1,1,11,1,265.76717169766084
2,0,3,-1,267.2081467338035
2,0,11,1,271.76717169766084
1,1,18,-1,277.8110111816736
1,0,18,1,277.8110111816736
2,0,1,-1,278.2081467338035
1,2,4,-1,278.5643546384351
2,0,14,1,281.76717169766084
2,0,13,1,283.76717169766084
2,0,18,-1,302.76717169766084
1,2,9,-1,310.13329538167307
1,0,9,1,310.13329538167307
1,1,17,-1,316.0715157775792
1,0,17,1,316.0715157775792
1,0,5,-1,330.7541205346066
1,1,5,1,330.7541205346066
1,0,10,-1,331.8106724984027
1,1,10,1,331.8106724984027
1,1,6,-1,333.01674038203413
1,0,6,1,333.01674038203413
2,0,11,-1,333.76717169766084
1,0,8,-1,335.60436422656227
1,2,8,1,335.60436422656227
2,0,5,1,336.7541205346066
1,1,6,-1,343.69879664568356
1,1,6,1,343.69879664568356
2,0,9,-1,347.76717169766084
1,3,8,1,352.7541205346066
1,2,8,-1,354.76717169766084
1,1,14,-1,357.7790584687766
1,0,14,1,357.7790584687766
2,0,8,-1,358.76717169766084
2,0,8,1,359.76717169766084
1,3,4,-1,361.4746992736147
1,1,4,1,361.4746992736147
2,1,14,-1,362.7790584687766
1,1,7,-1,366.5048830357381
1,0,7,1,366.5048830357381
2,0,7,-1,368.5048830357381
2,1,14,-1,369.7790584687766
2,0,10,1,373.76717169766084
1,3,4,-1,373.90540688208193
1,2,4,1,373.90540688208193
1,0,0,-1,374.12739081521966
1,1,0,1,374.12739081521966
2,0,6,-1,376.5048830357381
2,1,14,-1,376.7790584687766
2,0,4,-1,382.4746992736147
2,0,11,1,382.76717169766084
1,1,11,1,382.76717169766084
2,1,14,-1,383.7790584687766
1,3,4,-1,390.5048830357381
2,0,3,-1,391.4746992736147
1,0,3,-1,396.1634281942406
1,1,3,1,396.1634281942406
2,0,11,1,399.7790584687766
1,1,12,-1,405.4276164474184
1,0,12,1,405.4276164474184
1,1,10,-1,405.5617721014852
1,0,10,1,405.5617721014852
1,0,3,-1,407.3839517238138
1,2,3,1,407.3839517238138
2,0,12,1,407.7790584687766
2,0,0,1,408.4746992736147
2,0,17,1,410.76717169766084
2,0,17,-1,412.76717169766084
2,0,3,1,426.4746992736147
2,0,14,-1,428.76717169766084
1,0,0,-1,429.67095698530335
1,1,0,1,429.67095698530335
1,5,4,1,434.4746992736147
2,0,4,1,442.4746992736147
2,0,10,-1,448.76717169766084
2,0,5,1,449.4746992736147
2,0,0,1,453.4746992736147
1,3,8,-1,459.76717169766084
1,1,14,-1,465.7562800330644
1,0,14,1,465.7562800330644
1,2,8,1,469.4746992736147
2,0,8,-1,473.4746992736147
2,0,8,1,473.4746992736147
1,0,6,-1,474.1701816887098
1,2,6,1,474.1701816887098
2,1,14,-1,474.7562800330644
2,1,14,-1,481.7562800330644
1,0,11,-1,484.61733832365616
1,1,11,1,484.61733832365616
2,0,6,-1,485.4746992736147
2,1,14,-1,488.7562800330644
2,0,11,1,490.61733832365616
1,1,8,-1,493.059282424626
1,0,8,1,493.059282424626
2,1,14,-1,495.7562800330644
1,1,10,-1,498.17763908188397
1,0,10,1,498.17763908188397
1,4,4,-1,498.4746992736147
2,1,14,-1,502.7562800330644
2,0,4,-1,504.4746992736147
2,0,14,1,505.61733832365616
1,0,7,-1,509.04594167480445
1,1,7,1,509.04594167480445
2,1,14,-1,509.7562800330644
2,0,3,-1,514.4746992736148
2,0,7,1,516.0459416748045
2,1,14,-1,516.7562800330644
2,0,16,1,518.6173383236562
1,1,13,-1,521.6108978348466
1,0,13,1,521.6108978348466
1,1,8,1,524.0459416748045
2,0,8,-1,526.0459416748045
2,0,13,-1,528.6108978348466
2,0,14,-1,532.7562800330644
1,1,13,-1,533.17083424539
1,0,13,1,533.17083424539
1,0,1,-1,533.5993438344128
1,1,1,1,533.5993438344128
2,0,13,-1,536.17083424539
2,0,6,-1,537.0459416748045
1,0,0,-1,537.2135871553794
1,1,0,1,537.2135871553794
2,0,0,1,540.2135871553794
1,1,9,-1,544.2417838430208
1,0,9,1,544.2417838430208
1,1,7,-1,546.5577963037329
1,0,7,1,546.5577963037329
1,2,11,-1,547.17083424539
2,0,1,1,547.2135871553794
1,0,3,-1,548.287902675199
1,1,3,1,548.287902675199
2,0,7,1,551.5577963037329
2,0,11,-1,552.17083424539
2,0,7,-1,552.5577963037329
2,0,10,-1,559.17083424539
2,0,3,1,559.287902675199
1,0,4,-1,560.6414862331901
1,1,4,1,560.6414862331901
2,0,9,-1,566.17083424539
1,1,4,-1,567.5577963037329
1,2,4,1,568.287902675199
2,0,4,1,570.5577963037329
1,4,8,-1,575.17083424539
2,0,8,1,577.17083424539
2,0,5,1,577.5577963037329
1,0,9,-1,582.2394612703904
1,1,9,1,582.2394612703904
2,0,9,1,584.2394612703904
1,1,18,-1,588.2004522735305
1,0,18,1,588.2004522735305
1,2,8,1,592.5577963037329
2,0,11,1,595.2394612703904
1,2,8,-1,595.8424833445395
1,2,8,1,595.8424833445395
1,0,0,-1,597.2357760010678
1,1,0,1,597.2357760010678
2,0,8,-1,601.5577963037329
1,1,5,-1,607.1281589174047
