,policy,waiting_time,journey_time,count_floor,count_stop,count_wasted
14,v2-8,103.6116231,123.2295509,652.52,40.12,259.74
15,v2-9,122.7661214,143.4071369,666.93,38.1,280.54
16,v2-all_available,212.7621345,256.7138988,700.35,34.43,5.39
1,v2-10,144.1244952,167.1676141,682.23,31.87,268.41
2,v2-11,169.8395295,196.5918161,651.23,18.15,328.84
13,v2-7,183.5607656,224.7218587,605.87,79.21,76.54
12,v2-6,187.2970403,229.1710337,555.55,87.43,43.82
44,"v1-3,8",189.2343443,283.1155425,3033.333333,68,3.333333333
55,"v1-4,9",189.8360092,286.5187816,2948,87,2.111111111
54,"v1-4,8",193.726116,288.7316777,2991,83.33333333,3.222222222
11,v2-5,203.7963596,248.0976519,487.69,69.75,28.74
45,"v1-3,9",203.8723889,304.6412962,2864.333333,88.66666667,1.888888889
46,"v1-4,10",207.3034545,305.7283117,2763.666667,105.3333333,2.555555555
9,v2-3,210.7364233,258.8414581,513.88,35.73,0.06
3,v2-13,211.8606835,244.079395,667.77,32.63,293.14
10,"v1-1,7",212.2644505,313.3513551,2716.666667,116,2.555555556
10,v2-4,215.6049289,263.5094866,514.52,35.94,0.05
33,"v1-2,8",216.6138179,316.3246228,2908,94.66666667,1.222222222
35,"v1-3,10",219.1392875,323.1256929,2723.333333,113,2
101,"v1-B1,6",219.7933431,320.0533326,2447.666667,113.3333333,2.888888889
47,"v1-4,11",224.630952,325.0105801,2582.333333,110,1.888888889
57,"v1-5,11",228.2540427,332.0573577,2541.333333,123,3.333333333
43,"v1-3,7",228.675582,330.7054865,2893.333333,84.66666667,1.888888889
53,"v1-4,7",231.4029401,334.5139185,2711.666667,110.3333333,3.333333333
4,v2-14,232.6992274,269.446239,590.76,51.02,278.95
102,"v1-B1,7",235.2412568,339.6185082,2361,118.6666667,4.333333333
36,"v1-3,11",235.2482051,338.6119162,2455.666667,127.3333333,2
32,"v1-2,7",235.6884921,341.3007995,2867,82,2.888888889
64,"v1-5,9",236.5573136,342.1206515,2722,119,3.777777778
9,"v1-1,6",237.4770922,342.5923001,2662.666667,120.3333333,1.888888889
34,"v1-2,9",238.9204635,348.9614457,2624,123.3333333,2.333333333
42,"v1-3,6",241.843621,349.0727736,2614.666667,122.3333333,79.33333332
17,v2-odd_even_division,244.6527125,289.5264359,715.85,61.9,30.16
31,"v1-2,6",245.239441,351.3618159,2848.333333,110,2.666666667
63,"v1-5,8",245.4265533,351.5283416,2679.666667,143,2.555555555
56,"v1-5,10",247.1683696,359.3212867,2648,109.6666667,2.777777778
5,v2-15,247.8587577,288.1385652,531.88,82.95,288.2
8,v2-2,249.5981379,296.5674813,427.15,50.49,46.24
0,v2-1,253.9466982,301.0659803,418.16,50.82,46.16
58,"v1-5,12",255.4177312,365.0301989,2203.333333,107.6666667,2.666666666
8,"v1-1,5",259.1424724,369.7914068,2573,146.3333333,5.888888889
103,"v1-B1,8",259.5699709,373.5631501,2127.333333,132.6666667,1.222222222
48,"v1-4,12",263.995686,373.7659921,2195.666667,105.3333333,1.777777778
59,"v1-5,13",264.1244048,376.1717614,2054.666667,89,3.555555555
6,v2-16,265.0448046,309.72468,437.97,98.69,268.75
23,"v1-2,10",265.7268483,375.9098395,2462.333333,143.6666667,1
62,"v1-5,7",267.037862,381.3743685,2304,134.3333333,3.777777778
49,"v1-4,13",274.4280627,389.8472108,2021.666667,81.66666667,4.222222222
12,"v1-1,9",274.5600228,392.9121351,2343.333333,162.6666667,1.555555556
