,cid,pass_by,appear_time,destination,boarding_time,get_off_time,total_waiting_time,time_in_elev,journey_time,transfer_num,isSuccessful
0,0,"['4', '1']",9.916163658767971,1,[40.91616365876797],[54.91616365876797],31.0,14.0,45.0,0,True
1,1,"['12', '5', '1', 'B4']",45.95246624608481,B4,"[125.02641372192026, 160.19069985029287, 201.02641372192028]","[155.02641372192028, 180.19069985029287, 229.6264953293599]",105.07394747583545,78.60008160743963,183.6740290832751,2,True
2,2,"['13', '5', '1']",47.84635030275116,1,"[123.19069985029287, 162.19069985029287]","[158.19069985029287, 180.19069985029287]",79.34434954754171,53.0,132.3443495475417,1,True
3,3,"['B1', '1', '5', '7']",53.19069985029287,7,"[64.19069985029287, 184.19069985029287, 206.19069985029287]","[70.19069985029287, 202.19069985029287, 216.19069985029287]",129.0,34.0,163.0,2,True
4,4,"['5', '7']",55.738151958326156,7,[82.73815195832616],[92.73815195832616],27.0,10.0,37.0,0,True
5,5,"['7', '8', '10']",62.026413721920264,10,"[89.02641372192026, 103.02641372192026]","[95.02641372192026, 113.02641372192026]",35.0,16.0,51.0,1,True
6,6,"['15', '11']",93.78078653807835,11,[129.02641372192028],[149.02641372192028],35.24562718384193,20.0,55.24562718384193,0,True
7,7,"['11', '5', '1']",98.46581066582772,1,"[151.02641372192028, 274.46741903047456]","[177.02641372192028, 292.46741903047456]",150.00160836464684,44.0,194.00160836464684,1,True
8,8,"['13', '5', '1', 'B3']",111.14286713932957,B3,"[124.19069985029287, 161.19069985029287, 199.02641372192028]","[158.19069985029287, 180.19069985029287, 222.6264953293599]",34.88354658259071,76.60008160743962,111.48362819003033,2,True
9,9,"['10', '8', '5', '1']",139.8415792341953,1,"[500.89433137946514, 561.8943313794651, 673.2394612703904]","[512.8943313794651, 575.8943313794651, 697.2394612703904]",507.3978820361951,50.0,557.3978820361951,2,True
10,10,"['5', '7']",170.65575975115513,7,[204.19069985029287],[216.19069985029287],33.53494009913774,12.0,45.53494009913774,0,True
11,11,"['B4', '1', '2']",187.56435463843508,2,"[313.46741903047456, 385.81989820861634]","[331.46741903047456, 391.81989820861634]",180.25554357018126,24.0,204.25554357018126,1,True
12,12,"['14', '5', '1', 'B1']",192.76717169766087,B1,"[476.81989820861634, 550.8943313794651, 593.8943313794651]","[535.8943313794651, 581.8943313794651, 604.8943313794651]",311.0527265109555,101.0744331708488,412.1271596818043,2,True
13,13,"['12', '5', '1']",204.73116320833728,1,"[722.261092941012, 766.261092941012]","[753.261092941012, 784.261092941012]",530.5299297326746,49.0,579.5299297326746,1,True
14,14,"['B1', 'B4']",205.6264953293599,B4,[212.6264953293599],[229.6264953293599],7.0,17.0,24.0,0,True
15,15,"['11', '5']",209.72940466316436,5,[237.19069985029287],[269.46741903047456],27.461295187128513,32.276719180181686,59.7380143673102,0,True
16,16,"['1', '5', '6']",245.91038136085672,6,"[253.6264953293599, 275.6264953293599]","[271.6264953293599, 281.6264953293599]",11.71611396850318,24.0,35.71611396850318,1,True
17,17,"['6', '5']",249.46741903047456,5,[263.46741903047456],[269.46741903047456],14.0,6.0,20.0,0,True
18,18,"['5', '8', '10']",256.9887043281732,10,"[274.6264953293599, 302.6264953293599]","[293.6264953293599, 312.6264953293599]",26.637791001186713,29.0,55.63779100118671,1,True
19,19,"['2', '5', '13']",330.7541205346066,13,"[394.81989820861634, 414.81989820861634]","[408.81989820861634, 454.81989820861634]",70.06577767400972,54.0,124.06577767400972,1,True
20,20,"['3', '1']",333.01674038203413,1,[851.6238225080662],[862.6238225080662],518.6070821260321,11.0,529.6070821260321,0,True
21,21,"['3', '5']",343.69879664568356,5,[1118.1602958269204],[1133.1602958269204],774.4614991812368,15.0,789.4614991812368,0,True
22,22,"['B4', '1']",346.81989820861634,1,[365.81989820861634],[383.81989820861634],19.0,18.0,37.0,0,True
23,23,"['6', '5', '1', 'B1']",353.6797176070374,B1,"[359.6797176070374, 489.81989820861634, 586.8943313794651]","[365.6797176070374, 508.81989820861634, 604.8943313794651]",208.21461377242775,43.0,251.21461377242775,2,True
24,24,"['5', '8']",359.4373126434855,8,[410.81989820861634],[428.81989820861634],51.38258556513085,18.0,69.38258556513085,0,True
25,25,"['1', 'B1']",361.4746992736147,B1,[387.6797176070374],[393.6797176070374],26.205018333422686,6.0,32.205018333422686,0,True
26,26,"['4', '1', 'B3']",366.5048830357381,B3,"[560.8943313794651, 589.8943313794651]","[581.8943313794651, 622.8943313794651]",202.38944834372705,54.0,256.38944834372705,1,True
27,27,"['5', '8', '10']",399.78092533681456,10,"[412.81989820861634, 438.81989820861634]","[428.81989820861634, 448.81989820861634]",23.038972871801775,26.0,49.038972871801775,1,True
28,28,"['10', '8', '5', '4']",399.8658151608597,4,"[502.89433137946514, 559.8943313794651, 675.2394612703904]","[512.8943313794651, 575.8943313794651, 681.2394612703904]",249.37364610953068,32.0,281.3736461095307,2,True
29,29,"['9', '8', '5', '1']",405.4276164474184,1,"[457.81989820861634, 473.81989820861634, 490.81989820861634]","[463.81989820861634, 487.81989820861634, 508.81989820861634]",65.39228176119792,38.0,103.39228176119792,2,True
30,30,"['7', '5', '1', 'B1']",405.5617721014852,B1,"[520.8943313794651, 545.8943313794651, 598.8943313794651]","[535.8943313794651, 581.8943313794651, 604.8943313794651]",142.33255927797995,57.0,199.33255927797995,2,True
31,31,['B4'],418.18111861529417,1,,,13981.818881384706,,,0,False
32,32,"['14', '5', '1', 'B4']",421.57990683613946,B4,"[477.81989820861634, 548.8943313794651, 595.8943313794651]","[535.8943313794651, 581.8943313794651, 629.8943313794651]",83.23999137247688,125.0744331708488,208.31442454332569,2,True
33,33,"['B1', '1', '5']",434.74278682455883,8,"[1732.3173423068765, 1770.3173423068765, 1795.3173423068765]","[1751.3173423068765, 1791.3173423068765]",1320.5745554823177,12644.682657693123,13965.25721317544,2,False
34,34,"['6', '5', '1']",434.7659941453163,1,"[528.8943313794651, 541.8943313794651]","[535.8943313794651, 581.8943313794651]",100.12833723414883,47.0,147.12833723414883,1,True
35,35,"['B1', '1']",436.1487277035204,1,[1733.3173423068765],[1751.3173423068765],1297.1686146033562,18.0,1315.1686146033562,0,True
36,36,"['6', '5', '2']",441.05996514172705,2,"[529.8943313794651, 540.8943313794651]","[535.8943313794651, 572.8943313794651]",93.8343662377381,38.0,131.8343662377381,1,True
37,37,"['15', '5', '1', 'B1']",449.3852070572436,B1,"[468.81989820861634, 552.8943313794651, 591.8943313794651]","[535.8943313794651, 581.8943313794651, 604.8943313794651]",46.43469115137276,109.0744331708488,155.50912432222157,2,True
38,38,['B4'],454.24143493061496,9,,,13945.758565069385,,,0,False
39,39,"['7', '5', '2']",455.0092999023734,2,"[521.8943313794651, 543.8943313794651]","[535.8943313794651, 572.8943313794651]",74.88503147709173,43.0,117.88503147709173,1,True
40,40,"['3', '5', '14']",459.09975816534114,14,"[1119.1602958269204, 1148.1602958269204]","[1133.1602958269204, 1215.1602958269204]",675.0605376615792,81.0,756.0605376615792,1,True
41,41,"['1', '5', '7']",460.1744561940317,7,"[662.261092941012, 721.2394612703904]","[682.261092941012, 731.2394612703904]",241.06500507635872,30.0,271.0650050763587,1,True
42,42,"['4', '1', 'B4']",474.06243897508494,B4,"[562.8943313794651, 588.8943313794651]","[581.8943313794651, 629.8943313794651]",95.8318924043802,60.0,155.8318924043802,1,True
43,43,"['13', '5', '1', 'B1']",478.89433137946514,B1,"[485.89433137946514, 546.8943313794651, 596.8943313794651]","[535.8943313794651, 581.8943313794651, 604.8943313794651]",33.0,93.0,126.0,2,True
44,44,"['8', '9']",484.61733832365616,9,[543.8943313794651],[549.8943313794651],59.27699305580899,6.0,65.27699305580899,0,True
45,45,"['5', '4']",493.059282424626,4,[538.8943313794651],[558.8943313794651],45.835048954839124,20.0,65.83504895483912,0,True
46,46,"['4', '5', '12']",509.04594167480445,12,"[1069.9626499095405, 1144.1602958269204]","[1080.9626499095405, 1198.1602958269204]",624.114354152116,65.0,689.114354152116,1,True
47,47,['B3'],533.5993438344128,1,,,13866.400656165588,,,0,False
48,48,"['B1', '1', '5']",540.5825764098961,9,"[1735.3173423068765, 1769.3173423068765, 1796.3173423068765]","[1751.3173423068765, 1791.3173423068765]",1217.7347658969804,12641.682657693123,13859.417423590105,2,False
49,49,"['7', '14']",553.609439299908,14,[733.2394612703904],[763.2394612703904],179.6300219704824,30.0,209.6300219704824,0,True
50,50,"['6', '14']",582.2394612703904,14,[588.2394612703904],[622.2394612703904],6.0,34.0,40.0,0,True
51,51,"['2', '1']",607.1281589174047,1,[1251.5340279584564],[1260.5340279584564],644.4058690410517,9.0,653.4058690410517,0,True
52,52,"['4', '1', 'B4']",610.6018236171313,B4,"[683.2394612703904, 788.261092941012]","[697.2394612703904, 818.261092941012]",163.6592693238806,44.0,207.6592693238806,1,True
53,53,"['11', '5', '1', 'B1']",610.834442550853,B1,"[793.2394612703904, 871.7204080781361, 972.3933027513739]","[835.7204080781361, 889.7204080781361, 980.3933027513739]",301.07791339277514,68.48094680774568,369.5588602005208,2,True
54,54,"['8', '7']",617.3702048975601,7,[654.2394612703904],[660.2394612703904],36.86925637283025,6.0,42.86925637283025,0,True
55,55,"['14', '8', '9']",618.4940989092524,9,"[625.2394612703904, 699.261092941012]","[651.2394612703904, 705.261092941012]",54.76699403175951,32.0,86.76699403175951,1,True
56,56,"['11', '6']",626.0292011820361,6,[795.2394612703904],[828.7204080781361],169.2102600883543,33.48094680774568,202.69120689609997,0,True
57,57,"['12', '5', '1', 'B1']",642.686354559345,B1,"[723.261092941012, 764.261092941012, 791.261092941012]","[753.261092941012, 784.261092941012, 797.261092941012]",98.57473838166698,56.0,154.57473838166698,2,True
58,58,"['1', '5', '14']",647.261092941012,14,"[664.261092941012, 720.2394612703904]","[682.261092941012, 763.2394612703904]",54.97836832937844,61.0,115.97836832937844,1,True
59,59,"['2', '1', 'B1']",650.0625826661777,B1,"[1252.5340279584564, 1273.5340279584564]","[1260.5340279584564, 1280.5340279584564]",615.4714452922786,15.0,630.4714452922786,1,True
60,60,"['13', '12']",664.0666085803962,12,[1153.5340279584564],[1160.5340279584564],489.4674193780602,7.0,496.4674193780602,0,True
61,61,"['3', '1', 'B1']",691.9772223262204,B1,"[852.6238225080662, 870.9415944272153]","[862.6238225080662, 878.9415944272153]",168.96437210099486,18.0,186.96437210099486,1,True
62,62,"['B1', 'B4']",701.8101448840409,B4,[800.261092941012],[818.261092941012],98.45094805697101,18.0,116.45094805697101,0,True
63,63,['B4'],702.4745552051841,10,,,13697.525444794815,,,0,False
64,64,"['15', '11']",722.5172572158156,11,[772.2394612703904],[790.2394612703904],49.72220405457483,18.0,67.72220405457483,0,True
65,65,"['B1', '1', '5']",775.352465569812,14,"[1737.3173423068765, 1767.3173423068765, 1797.3173423068765]","[1751.3173423068765, 1791.3173423068765]",983.9648767370645,12640.682657693123,13624.647534430187,2,False
66,66,"['1', 'B3']",785.9959770293367,B3,[790.261092941012],[810.261092941012],4.265115911675252,20.0,24.265115911675252,0,True
67,67,"['7', '13']",786.9424196395355,13,[1160.1602958269204],[1206.1602958269204],373.21787618738495,46.0,419.21787618738495,0,True
68,68,"['10', '8', '5', '1', 'B1']",803.7204080781361,B1,"[806.7204080781361, 924.3933027513739, 949.3933027513739, 974.3933027513739]","[816.7204080781361, 939.3933027513739, 967.3933027513739, 980.3933027513739]",127.6728946732378,49.0,176.6728946732378,3,True
69,69,"['3', '5']",841.6238225080662,5,[1121.1602958269204],[1133.1602958269204],279.5364733188543,12.0,291.5364733188543,0,True
70,70,"['B1', 'B4']",851.3919508957547,B4,[881.9415944272153],[895.9415944272153],30.54964353146056,14.0,44.54964353146056,0,True
71,71,"['1', 'B4']",867.9415944272153,B4,[872.9415944272153],[895.9415944272153],5.0,23.0,28.0,0,True
72,72,"['8', '5', '1']",893.3933027513739,1,"[925.3933027513739, 948.3933027513739]","[939.3933027513739, 967.3933027513739]",41.0,33.0,74.0,1,True
73,73,"['14', '15']",901.5325595400225,15,[1218.1602958269204],[1224.1602958269204],316.62773628689797,6.0,322.62773628689797,0,True
74,74,"['10', '9']",913.9626499095405,9,[967.9626499095405],[973.9626499095405],54.0,6.0,60.0,0,True
75,75,"['13', '5', '1']",921.5189509097717,1,"[1154.5340279584564, 1231.5340279584564]","[1215.5340279584564, 1260.5340279584564]",249.0150770486847,90.0,339.0150770486847,1,True
76,76,"['4', '5', '15']",952.1033752691633,15,"[1070.9626499095405, 1143.1602958269204]","[1080.9626499095405, 1224.1602958269204]",181.05692055775717,91.0,272.05692055775717,1,True
77,77,"['9', '11']",963.4544947855537,11,[1034.1602958269204],[1044.1602958269204],70.70580104136673,10.0,80.70580104136673,0,True
78,78,['B3'],969.9055433943222,B4,,,13430.094456605679,,,0,False
79,79,"['5', '3']",983.2440027238456,3,[994.9626499095405],[1004.9626499095405],11.718647185694863,10.0,21.718647185694863,0,True
80,80,"['B1', 'B4']",991.1003989494229,B4,[1022.9626499095405],[1036.9626499095405],31.862250960117535,14.0,45.862250960117535,0,True
81,81,"['B1', '1', '5']",997.5452252883241,15,"[1738.3173423068765, 1765.3173423068765, 1799.3173423068765]","[1751.3173423068765, 1791.3173423068765]",762.7721170185524,12639.682657693123,13402.454774711676,2,False
82,82,"['6', '8', '10']",999.1602958269206,10,"[1014.1602958269206, 1098.9626499095405]","[1024.1602958269204, 1108.9626499095405]",89.80235408262001,19.999999999999886,109.8023540826199,1,True
83,83,"['9', '8', '5', '4']",1015.6733157078395,4,"[1056.1602958269204, 1195.5340279584564, 1227.5340279584564]","[1062.1602958269204, 1215.5340279584564, 1237.5340279584564]",185.86071225061687,36.0,221.86071225061687,2,True
84,84,"['6', '5', '1', 'B1']",1019.9605070516408,B1,"[1076.1602958269204, 1087.1602958269204, 1269.5340279584564]","[1082.1602958269204, 1105.1602958269204, 1280.5340279584564]",225.5735209068156,35.0,260.5735209068156,2,True
85,85,"['4', '5', '8', '10']",1032.2359690752855,10,"[1072.9626499095405, 1141.1602958269204, 1170.1602958269204]","[1080.9626499095405, 1166.1602958269204, 1185.1602958269204]",104.92432675163491,48.0,152.9243267516349,2,True
86,86,"['4', '5', '8', '9']",1038.7838994909703,9,"[1074.9626499095405, 1139.1602958269204, 1171.1602958269204]","[1080.9626499095405, 1166.1602958269204, 1177.1602958269204]",99.37639633595018,39.0,138.37639633595018,2,True
87,87,"['5', '1', 'B1']",1041.5615371215392,B1,"[1086.1602958269204, 1270.5340279584564]","[1105.1602958269204, 1280.5340279584564]",209.97249083691713,29.0,238.97249083691713,1,True
88,88,"['12', '5', '2']",1047.415312213536,2,"[1163.5340279584564, 1230.5340279584564]","[1215.5340279584564, 1248.5340279584564]",131.11871574492034,70.0,201.11871574492034,1,True
89,89,"['13', '14']",1048.0003735500177,14,[1209.1602958269204],[1215.1602958269204],161.15992227690276,6.0,167.15992227690276,0,True
90,90,"['11', '5', '1']",1058.0942913236063,1,"[1171.5340279584564, 1228.5340279584564]","[1215.5340279584564, 1260.5340279584564]",126.43973663485008,76.0,202.43973663485008,1,True
91,91,['B4'],1070.203394799121,12,,,13329.79660520088,,,0,False
92,92,"['8', '5', '1', 'B4']",1071.9354013772736,B4,"[1196.5340279584564, 1226.5340279584564, 1274.5340279584564]","[1215.5340279584564, 1260.5340279584564, 1302.5340279584564]",149.59862658118277,81.0,230.59862658118277,2,True
93,93,"['3', '5', '7']",1102.775310338685,7,"[1123.1602958269204, 1146.1602958269204]","[1133.1602958269204, 1158.1602958269204]",33.38498548823554,22.0,55.38498548823554,1,True
94,94,"['8', '10']",1112.286240720953,10,[1169.1602958269204],[1185.1602958269204],56.8740551059675,16.0,72.8740551059675,0,True
95,95,"['15', '7']",1114.5340279584564,7,[1137.5340279584564],[1203.5340279584564],23.0,66.0,89.0,0,True
96,96,['B4'],1115.694830370941,1,,,13284.305169629059,,,0,False
97,97,"['10', '8', '5']",1122.6920248118493,5,"[1181.5340279584564, 1197.5340279584564]","[1191.5340279584564, 1215.5340279584564]",64.84200314660711,28.0,92.84200314660711,1,True
98,98,"['14', '10']",1131.3503501185119,10,[1145.5340279584564],[1177.5340279584564],14.183677839944494,32.0,46.183677839944494,0,True
99,99,"['1', '5']",1131.6048403038228,13,[1754.3173423068765],[1791.3173423068765],13231.395159696178,37.0,13268.395159696178,1,False
100,100,"['1', 'B1']",1138.9960526193756,B1,[1271.5340279584564],[1280.5340279584564],132.53797533908073,9.0,141.53797533908073,0,True
101,101,"['15', '5', '4']",1148.8049910781288,4,"[1592.9973995156226, 1655.5731710797388]","[1644.5731710797388, 1661.5731710797388]",455.1924084374939,57.57577156411617,512.7681800016101,1,True
102,102,['B3'],1157.51823275297,1,,,13242.48176724703,,,0,False
103,103,"['B1', '1', '5']",1166.0598226504542,6,"[1739.3173423068765, 1763.3173423068765]","[1751.3173423068765, 1791.3173423068765]",13193.940177349547,40.0,13233.940177349547,2,False
104,104,"['11', '5', '1', 'B4']",1180.9361993856573,B4,"[1250.1602958269204, 1356.1602958269204, 1389.1602958269204]","[1282.1602958269204, 1378.1602958269204, 1412.1602958269204]",154.2240964412631,77.0,231.2240964412631,2,True
105,105,['2'],1200.8322661405919,3,,,13199.167733859409,,,0,False
106,106,"['13', '5', '1']",1211.3767662645719,1,"[1238.1602958269204, 1358.1602958269204]","[1282.1602958269204, 1378.1602958269204]",102.78352956234858,64.0,166.78352956234858,1,True
107,107,"['6', '5', '1', 'B1']",1228.7041820069562,B1,"[1276.1602958269204, 1354.1602958269204, 1390.1602958269204]","[1282.1602958269204, 1378.1602958269204, 1396.1602958269204]",131.45611381996423,36.0,167.45611381996423,2,True
108,108,"['2', '1']",1229.3180127281496,1,[1254.5340279584564],[1260.5340279584564],25.216015230306766,6.0,31.216015230306766,0,True
109,109,"['4', '5', '8', '9']",1237.8158316107788,9,"[1407.7363378453285, 1420.7363378453285, 1466.7363378453285]","[1415.7363378453285, 1434.7363378453285, 1472.7363378453285]",206.92050623454975,28.0,234.92050623454975,2,True
110,110,"['B1', '1', '5']",1249.500460335259,11,"[1741.3173423068765, 1762.3173423068765]","[1751.3173423068765, 1791.3173423068765]",13111.499539664741,39.0,13150.499539664741,2,False
111,111,"['12', '5', '1']",1271.0858818374977,1,"[1315.1602958269204, 1360.1602958269204]","[1352.1602958269204, 1378.1602958269204]",52.07441398942274,55.0,107.07441398942274,1,True
112,112,"['1', '4']",1283.9923118237261,4,[1755.3173423068765],[1784.3173423068765],471.3250304831504,29.0,500.3250304831504,0,True
113,113,"['9', '8', '5']",1302.0793008687156,5,"[1331.1602958269204, 1374.0658088772645]","[1337.1602958269204, 1393.0658088772645]",65.98650800854898,25.0,90.98650800854898,1,True
114,114,['B3'],1302.1946053614115,B1,,,13097.805394638588,,,0,False
115,115,"['10', '8', '6']",1306.0658088772645,6,"[1361.0658088772645, 1375.0658088772645]","[1371.0658088772645, 1385.0658088772645]",59.0,20.0,79.0,1,True
116,116,"['B1', '1', '5']",1332.5905731529479,15,"[1743.3173423068765, 1761.3173423068765]","[1751.3173423068765, 1791.3173423068765]",13029.409426847053,38.0,13067.409426847053,2,False
117,117,['B4'],1339.7411717287396,B1,,,13060.25882827126,,,0,False
