,floor,best_fit_name,best_fit_params
0,1,anglit,"(4638.876678627223, 18791.407550425847)"
1,2,genhalflogistic,"(3.704455908742586e-12, -0.8688617243817875, 3830.338479175254)"
2,3,genhalflogistic,"(6.002559000883049e-10, -0.00011181353205941605, 5459.085308913254)"
3,4,halflogistic,"(-4.774305303422383e-12, 4021.045600974143)"
4,5,genhalflogistic,"(1.0271668438230066e-09, -6.076177905414746e-06, 4914.655754122109)"
5,6,genhalflogistic,"(5.026992969598428e-10, -28.114210513010608, 7448.389721540577)"
6,7,genhalflogistic,"(4.7572954085491517e-11, -0.0001191494812079939, 5228.64991731006)"
7,8,gompertz,"(492353115753.25757, 8.818999999199253, 4285231541227931.0)"
8,9,halflogistic,"(-1.0559498894249213e-13, 6283.579589159365)"
9,10,genhalflogistic,"(2.4896241088078576e-10, -8.502524584226149e-05, 5372.98134711398)"
10,11,genhalflogistic,"(0.00040881059340043026, -0.16381936461455293, 6849.342611676195)"
11,12,erlang,"(1.4077069356510732, -730.3353755116159, 5786.353102755711)"
12,13,genhalflogistic,"(4.2040797890474253e-08, -0.4350773739977012, 5341.839704682244)"
13,14,erlang,"(1.623737545450318, -1772.9229968359932, 6676.941979889648)"
14,15,halflogistic,"(-4.170635261429911e-11, 6621.10436089336)"
15,16,genhalflogistic,"(0.00012469168996431248, -1.868707131497918e-10, 4496.76760173874)"
16,17,halflogistic,"(-7.691892730246362e-12, 5653.399283258132)"
17,18,erlang,"(1.6202301952974905, -1738.6474722852743, 6660.675500211184)"
18,19,genhalflogistic,"(3.398343478549484e-10, -4.3279126218697295e-05, 4879.918770339669)"
19,20,genhalflogistic,"(0.013213394588395093, -0.6013047222234238, 5769.779871625986)"
20,21,erlang,"(1.646843713002708, -2063.469451825171, 6772.0482545632785)"
21,22,erlang,"(1.3749503440347008, -695.7596436915662, 5646.890626288857)"
22,23,erlang,"(1.454966258136895, -935.7284226864449, 5985.479663861339)"
23,24,erlang,"(1.7422203518960844, -2372.0786427452476, 7169.553876606431)"
24,25,halflogistic,"(-5.822496611782696e-12, 5945.981596782465)"
