,from,B4,B3,B2,B1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,B4,0.0,0.0,0.0,0.12056737588652482,0.14804964539007093,0.03102836879432624,0.0,0.07358156028368794,0.0,0.0,0.0,0.10638297872340426,0.08599290780141844,0.0549645390070922,0.07535460992907801,0.08776595744680851,0.07358156028368794,0.06914893617021277,0.07358156028368794
2,B3,0.0,0.0,0.0,0.11357340720221606,0.16897506925207756,0.04016620498614958,0.0,0.05124653739612189,0.0,0.0,0.0,0.09556786703601108,0.07756232686980609,0.04293628808864266,0.08587257617728532,0.09279778393351801,0.07202216066481995,0.09833795013850416,0.060941828254847646
3,B2,0.0,0.0,0.0,0.116,0.164,0.012,0.0,0.06,0.0,0.0,0.0,0.1,0.088,0.052,0.084,0.072,0.084,0.08,0.088
4,B1,0.0,0.0,0.0,0.0,0.09322795042213042,0.014011137057661218,0.0,0.03520747260643075,0.0,0.0,0.0,0.07418717442069338,0.10310759834740435,0.03448895275731992,0.10957427698940184,0.12789653314172805,0.13112987246272678,0.13562062151966947,0.14154841027483384
5,1,0.0,0.0,0.0,0.0794943218341547,0.0,0.011034926076708806,0.0,0.03460467109492179,0.0,0.0,0.0,0.06695950289265053,0.09931433469037926,0.02689093636168845,0.09460038568673666,0.12845511034926077,0.13477608742232697,0.15984572530533533,0.16402399828583672
6,2,0.0,0.0,0.0,0.14558232931726908,0.1706827309236948,0.0,0.0,0.03815261044176707,0.0,0.0,0.0,0.07931726907630522,0.06927710843373494,0.06526104417670683,0.08132530120481928,0.08835341365461848,0.10742971887550201,0.06224899598393574,0.09236947791164658
7,3,0.0,0.0,0.0,0.11524500907441017,0.1724137931034483,0.032667876588021776,0.0,0.06805807622504537,0.0,0.0,0.0,0.0925589836660617,0.08711433756805807,0.04446460980036298,0.07622504537205081,0.08802177858439202,0.07894736842105263,0.06987295825771325,0.07441016333938294
8,4,0.0,0.0,0.0,0.12636329447160588,0.28469349379465964,0.015419330575404287,0.0,0.0,0.0,0.0,0.0,0.06807070327190673,0.10417450169236556,0.04625799172621286,0.09702895825498307,0.08649868371568259,0.060925159834524255,0.060925159834524255,0.04964272282813088
9,5,0.0,0.0,0.0,0.12017479970866715,0.17407137654770574,0.026948288419519302,0.0,0.06627822286962855,0.0,0.0,0.0,0.08885651857246904,0.08448652585579024,0.049526584122359794,0.06336489439184267,0.09104151493080845,0.07793153678077203,0.08375819373634377,0.07356154406409322
10,6,0.0,0.0,0.0,0.11028315946348734,0.17237953303527073,0.02136115250869349,0.0,0.06805762543467461,0.0,0.0,0.0,0.09140586189766518,0.08892200695479384,0.039244908097367116,0.07302533532041729,0.10084451068057626,0.09289617486338798,0.07898658718330849,0.06259314456035768
11,7,0.0,0.0,0.0,0.1136094674556213,0.16568047337278108,0.028994082840236687,0.0,0.06331360946745562,0.0,0.0,0.0,0.09467455621301775,0.09349112426035502,0.04437869822485207,0.07928994082840236,0.10236686390532544,0.08224852071005917,0.06686390532544378,0.0650887573964497
12,8,0.0,0.0,0.0,0.1789173789173789,0.33418803418803417,0.01566951566951567,0.0,0.05754985754985755,0.0,0.0,0.0,0.0,0.06894586894586895,0.04131054131054131,0.0547008547008547,0.0680911680911681,0.06581196581196581,0.06381766381766382,0.050997150997151
13,9,0.0,0.0,0.0,0.30340557275541796,0.49419504643962847,0.010835913312693499,0.0,0.02825077399380805,0.0,0.0,0.0,0.025154798761609906,0.0,0.013157894736842105,0.02476780185758514,0.029024767801857584,0.02863777089783282,0.020510835913312694,0.022058823529411766
14,10,0.0,0.0,0.0,0.29871977240398295,0.2702702702702703,0.07112375533428165,0.0,0.07681365576102418,0.0,0.0,0.0,0.08677098150782361,0.025604551920341393,0.0,0.01422475106685633,0.044096728307254626,0.041251778093883355,0.03840682788051209,0.032716927453769556
15,11,0.0,0.0,0.0,0.29944938585345193,0.5196950444726811,0.017789072426937738,0.0,0.03303684879288437,0.0,0.0,0.0,0.02795425667090216,0.018212621770436255,0.008894536213468869,0.0,0.02583650995340957,0.016518424396442185,0.01736552308343922,0.015247776365946633
16,12,0.0,0.0,0.0,0.2910360884749709,0.5304617772603802,0.013581684128831975,0.0,0.03104384943733023,0.0,0.0,0.0,0.03570042685292976,0.01435778036476523,0.01086534730306558,0.017462165308498253,0.0,0.017074117190531625,0.020566550252231277,0.01785021342646488
17,13,0.0,0.0,0.0,0.28776978417266186,0.564748201438849,0.013589128697042365,0.0,0.01598721023181455,0.0,0.0,0.0,0.030775379696243006,0.015187849720223821,0.015587529976019185,0.009992006394884092,0.01598721023181455,0.0,0.013988808952837729,0.016386890487609912
18,14,0.0,0.0,0.0,0.30741042345276876,0.5333876221498371,0.013029315960912053,0.0,0.014250814332247556,0.0,0.0,0.0,0.03216612377850163,0.013843648208469055,0.013436482084690555,0.012622149837133551,0.019951140065146578,0.020765472312703582,0.0,0.019136807817589578
19,15,0.0,0.0,0.0,0.29666818804198997,0.5262437243267915,0.00867183934276586,0.0,0.017800091282519397,0.0,0.0,0.0,0.03514376996805112,0.018712916476494753,0.013692377909630305,0.014148790506617983,0.03057964399817435,0.018256503879507075,0.020082154267457783,0.0
