name,action,floor,time,direction,riderNumAfter
3001,0,1,0.0,,
3002,0,1,0.0,,
3003,0,1,0.0,,
3004,0,1,0.0,,
3001,1,2,18.884147470006994,1.0,
3002,1,2,25.63764822104374,1.0,
3001,1,3,28.884147470006994,1.0,
3002,1,3,35.63764822104374,1.0,
3001,1,4,38.884147470006994,1.0,
3002,1,4,45.63764822104374,1.0,
3001,1,5,48.884147470006994,1.0,
3001,2,5,50.884147470006994,1.0,2.0
3002,1,5,55.63764822104374,1.0,
3002,2,5,55.63764822104374,1.0,0.0
3002,2,5,55.63764822104374,-1.0,0.0
3002,0,5,55.63764822104374,,
3001,1,6,60.884147470006994,1.0,
3003,2,1,70.06999995302282,-1.0,1.0
3001,1,7,70.884147470007,1.0,
3004,2,1,75.2232367870221,1.0,1.0
3003,1,B1,80.06999995302282,-1.0,
3001,1,8,80.884147470007,1.0,
3003,2,B1,81.06999995302282,-1.0,0.0
3003,0,B1,81.06999995302282,,
3004,1,2,85.2232367870221,1.0,
3001,1,9,90.884147470007,1.0,
3001,2,9,91.884147470007,1.0,1.0
3004,1,3,95.2232367870221,1.0,
3001,1,10,101.884147470007,1.0,
3004,1,4,105.2232367870221,1.0,
3002,1,4,111.11100778174529,-1.0,
3001,1,11,111.884147470007,1.0,
3004,1,5,117.41801531729818,1.0,
3002,1,3,121.11100778174529,-1.0,
3001,1,12,121.884147470007,1.0,
3002,2,3,123.11100778174529,-1.0,1.0
3004,1,6,127.41801531729818,1.0,
3001,1,13,131.884147470007,1.0,
3001,2,13,132.884147470007,1.0,0.0
3002,1,2,133.1110077817453,-1.0,
3003,2,B1,135.43233208393252,-1.0,1.0
3004,1,7,137.41801531729817,1.0,
3001,1,14,142.884147470007,1.0,
3002,1,1,143.1110077817453,-1.0,
3001,2,14,143.884147470007,1.0,1.0
3003,1,B2,145.43233208393252,-1.0,
3004,1,8,147.41801531729817,1.0,
3004,2,8,149.41801531729817,1.0,2.0
3002,1,B1,153.1110077817453,-1.0,
3001,1,15,153.884147470007,1.0,
3001,0,15,154.884147470007,,
3003,1,B3,155.43233208393252,-1.0,
3003,2,B3,156.43233208393252,-1.0,0.0
3003,0,B3,156.43233208393252,,
3004,1,9,159.41801531729817,1.0,
3002,1,B2,163.1110077817453,-1.0,
3004,1,10,169.41801531729817,1.0,
3002,1,B3,173.1110077817453,-1.0,
3004,1,11,179.41801531729817,1.0,
3001,1,14,180.57665551140207,-1.0,
3002,1,B4,183.1110077817453,-1.0,
3002,0,B4,184.1110077817453,,
3003,1,B2,187.79508029354258,1.0,
3004,1,12,189.41801531729817,1.0,
3001,1,13,190.57665551140207,-1.0,
3001,2,13,192.57665551140207,-1.0,1.0
3003,1,B1,197.79508029354258,1.0,
3004,1,13,199.41801531729817,1.0,
3004,2,13,201.41801531729817,1.0,0.0
3004,0,13,201.41801531729817,,
3001,1,12,202.57665551140207,-1.0,
3003,1,1,207.79508029354258,1.0,
3001,1,11,212.57665551140207,-1.0,
3002,1,B3,213.63616500791926,1.0,
3003,1,2,217.79508029354258,1.0,
3001,1,10,222.57665551140207,-1.0,
3002,1,B2,223.63616500791926,1.0,
3003,1,3,227.79508029354258,1.0,
3001,1,9,232.57665551140207,-1.0,
3002,1,B1,233.63616500791926,1.0,
3001,2,9,234.57665551140207,-1.0,2.0
3002,2,B1,235.63616500791926,1.0,2.0
3003,1,4,237.79508029354258,1.0,
3001,1,8,244.57665551140207,-1.0,
3002,1,1,245.63616500791926,1.0,
3003,1,5,247.79508029354258,1.0,
3004,2,13,250.41287722032325,1.0,1.0
3001,1,7,254.57665551140207,-1.0,
3002,1,2,255.63616500791926,1.0,
3003,1,6,257.7950802935426,1.0,
3004,1,14,260.41287722032325,1.0,
3001,1,6,264.57665551140207,-1.0,
3002,1,3,265.63616500791926,1.0,
3002,2,3,266.63616500791926,1.0,1.0
3003,1,7,267.7950802935426,1.0,
3003,2,7,268.7950802935426,1.0,1.0
3004,1,15,270.41287722032325,1.0,
3001,1,5,274.57665551140207,-1.0,
3002,1,4,276.63616500791926,1.0,
3003,1,8,278.7950802935426,1.0,
3004,1,14,281.41287722032325,-1.0,
3003,2,8,282.7950802935426,1.0,3.0
3001,1,4,284.57665551140207,-1.0,
3002,1,5,286.63616500791926,1.0,
3004,1,13,291.41287722032325,-1.0,
3003,1,9,292.7950802935426,1.0,
3001,1,3,294.57665551140207,-1.0,
3002,1,6,296.63616500791926,1.0,
3004,1,12,301.41287722032325,-1.0,
3003,1,10,302.7950802935426,1.0,
3004,2,12,303.41287722032325,-1.0,1.0
3001,1,2,304.57665551140207,-1.0,
3003,2,10,304.7950802935426,1.0,1.0
3002,1,7,306.63616500791926,1.0,
3004,1,11,313.41287722032325,-1.0,
3004,2,11,314.41287722032325,-1.0,2.0
3001,1,1,314.57665551140207,-1.0,
3003,1,11,314.7950802935426,1.0,
3001,2,1,315.57665551140207,-1.0,1.0
3002,1,8,316.63616500791926,1.0,
3004,1,10,324.41287722032325,-1.0,
3003,1,12,324.7950802935426,1.0,
3001,1,B1,325.57665551140207,-1.0,
3001,2,B1,326.57665551140207,-1.0,0.0
3002,1,9,326.63616500791926,1.0,
3004,1,9,334.41287722032325,-1.0,
3003,1,13,334.7950802935426,1.0,
3001,1,B2,336.57665551140207,-1.0,
3002,1,10,336.63616500791926,1.0,
3004,1,8,344.41287722032325,-1.0,
3003,1,14,344.7950802935426,1.0,
3001,1,B3,346.57665551140207,-1.0,
3002,1,11,346.63616500791926,1.0,
3004,1,7,354.41287722032325,-1.0,
3003,1,15,354.7950802935426,1.0,
3001,1,B4,356.57665551140207,-1.0,
3001,2,B4,356.57665551140207,1.0,0.0
3002,1,12,356.63616500791926,1.0,
3004,1,6,364.41287722032325,-1.0,
3003,1,14,365.7950802935426,-1.0,
3001,1,B3,366.57665551140207,1.0,
3002,1,13,366.63616500791926,1.0,
3002,2,13,367.63616500791926,1.0,0.0
3004,1,5,374.41287722032325,-1.0,
3003,1,13,375.7950802935426,-1.0,
3001,1,B2,376.57665551140207,1.0,
3002,1,12,377.63616500791926,-1.0,
3003,2,13,379.7950802935426,-1.0,2.0
3004,2,5,381.41287722032325,-1.0,4.0
3001,1,B1,386.57665551140207,1.0,
3002,1,11,387.63616500791926,-1.0,
3003,1,12,389.7950802935426,-1.0,
3004,1,4,391.41287722032325,-1.0,
3004,2,4,392.41287722032325,-1.0,3.0
3001,1,1,396.57665551140207,1.0,
3002,1,10,397.63616500791926,-1.0,
3001,2,1,399.57665551140207,1.0,3.0
3003,1,11,399.7950802935426,-1.0,
3004,1,3,402.41287722032325,-1.0,
3002,1,9,407.63616500791926,-1.0,
3001,1,2,409.57665551140207,1.0,
3003,1,10,409.7950802935426,-1.0,
3003,2,10,410.7950802935426,-1.0,3.0
3004,1,2,412.41287722032325,-1.0,
3002,1,8,417.63616500791926,-1.0,
3001,1,3,419.57665551140207,1.0,
3001,2,3,420.57665551140207,1.0,2.0
3003,1,9,420.7950802935426,-1.0,
3003,2,9,421.7950802935426,-1.0,4.0
3004,1,1,422.41287722032325,-1.0,
3004,2,1,425.41287722032325,-1.0,3.0
3002,1,7,427.63616500791926,-1.0,
3001,1,4,430.57665551140207,1.0,
3003,1,8,431.7950802935426,-1.0,
3003,2,8,433.7950802935426,-1.0,5.0
3004,1,B1,435.41287722032325,-1.0,
3004,2,B1,436.41287722032325,-1.0,4.0
3002,1,6,437.63616500791926,-1.0,
3001,1,5,440.57665551140207,1.0,
3001,2,5,441.57665551140207,1.0,3.0
3003,1,7,443.7950802935426,-1.0,
3004,1,B2,446.41287722032325,-1.0,
3001,1,6,451.57665551140207,1.0,
3002,1,5,453.1820372762009,-1.0,
3003,1,6,453.7950802935426,-1.0,
3004,1,B3,456.41287722032325,-1.0,
3004,2,B3,461.41287722032325,-1.0,2.0
3001,1,7,461.57665551140207,1.0,
3001,2,7,462.57665551140207,1.0,2.0
3002,1,4,463.1820372762009,-1.0,
3003,1,5,463.7950802935426,-1.0,
3003,2,5,464.7950802935426,-1.0,4.0
3002,2,4,465.1820372762009,-1.0,1.0
3004,1,B4,471.41287722032325,-1.0,
3001,1,8,472.57665551140207,1.0,
3003,1,4,474.7950802935426,-1.0,
3002,1,3,475.1820372762009,-1.0,
3001,1,9,482.57665551140207,1.0,
3004,1,B3,483.41287722032325,1.0,
3001,2,9,484.57665551140207,1.0,2.0
3003,1,3,484.7950802935426,-1.0,
3002,1,2,485.1820372762009,-1.0,
3004,1,B2,493.41287722032325,1.0,
3001,1,10,494.57665551140207,1.0,
3003,1,2,494.7950802935426,-1.0,
3002,1,1,495.1820372762009,-1.0,
3002,2,1,497.1820372762009,-1.0,2.0
3004,1,B1,503.41287722032325,1.0,
3001,1,11,504.57665551140207,1.0,
3003,1,1,504.7950802935426,-1.0,
3001,2,11,506.57665551140207,1.0,2.0
3003,2,1,506.7950802935426,-1.0,2.0
3002,1,B1,507.1820372762009,-1.0,
3002,2,B1,509.1820372762009,-1.0,0.0
3004,1,1,513.4128772203233,1.0,
3004,2,1,514.4128772203233,1.0,1.0
3001,1,12,516.5766555114021,1.0,
3003,1,B1,516.7950802935426,-1.0,
3003,2,B1,518.7950802935426,-1.0,0.0
3003,0,B1,518.7950802935426,,
3002,1,B2,519.1820372762008,-1.0,
3004,1,2,524.4128772203233,1.0,
3001,1,13,526.5766555114021,1.0,
3001,2,13,527.5766555114021,1.0,1.0
3002,1,B3,529.1820372762008,-1.0,
3002,2,B3,529.1820372762008,-1.0,0.0
3002,0,B3,529.1820372762008,,
3004,1,3,534.4128772203233,1.0,
3004,2,3,536.4128772203233,1.0,2.0
3001,1,14,537.5766555114021,1.0,
3003,1,1,540.5985920069222,1.0,
3003,2,1,542.5985920069222,1.0,1.0
3004,1,4,546.4128772203233,1.0,
3001,1,15,547.5766555114021,1.0,
3004,2,4,548.4128772203233,1.0,3.0
3002,1,B2,548.6811872990697,1.0,
3003,1,2,552.5985920069222,1.0,
3004,1,5,558.4128772203233,1.0,
3001,1,14,558.5766555114021,-1.0,
3002,1,B1,558.6811872990697,1.0,
3002,2,B1,559.6811872990697,1.0,1.0
3003,1,3,562.5985920069222,1.0,
3004,1,6,568.4128772203233,1.0,
3001,1,13,568.5766555114021,-1.0,
3002,1,1,569.6811872990697,1.0,
3003,1,4,572.5985920069222,1.0,
3004,1,7,578.4128772203233,1.0,
3001,1,12,578.5766555114021,-1.0,
3002,1,2,579.6811872990697,1.0,
3003,1,5,582.5985920069222,1.0,
3004,1,8,588.4128772203233,1.0,
3001,1,11,588.5766555114021,-1.0,
3002,1,3,589.6811872990697,1.0,
3001,2,11,590.5766555114021,-1.0,1.0
3003,1,6,592.5985920069222,1.0,
3004,1,9,598.4128772203233,1.0,
3004,2,9,599.4128772203233,1.0,2.0
3002,1,4,599.6811872990697,1.0,
3001,1,10,600.5766555114021,-1.0,
3003,1,7,602.5985920069222,1.0,
3004,1,10,609.4128772203233,1.0,
3002,1,5,609.6811872990697,1.0,
3004,2,10,610.4128772203233,1.0,1.0
3001,1,9,610.5766555114021,-1.0,
3003,1,8,612.5985920069222,1.0,
3002,1,6,619.6811872990697,1.0,
3004,1,11,620.4128772203233,1.0,
3001,1,8,620.5766555114021,-1.0,
3001,2,8,621.5766555114021,-1.0,2.0
3003,1,9,622.5985920069222,1.0,
3002,1,7,629.6811872990697,1.0,
3004,1,12,630.4128772203233,1.0,
3004,2,12,631.4128772203233,1.0,0.0
3004,2,12,631.4128772203233,-1.0,0.0
3001,1,7,631.5766555114021,-1.0,
3003,1,10,632.5985920069222,1.0,
3001,2,7,635.5766555114021,-1.0,4.0
3002,1,8,639.6811872990697,1.0,
3004,1,11,641.4128772203233,-1.0,
3004,2,11,642.4128772203233,-1.0,1.0
3003,1,11,642.5985920069222,1.0,
3003,2,11,643.5985920069222,1.0,0.0
3003,0,11,643.5985920069222,,
3001,1,6,645.5766555114021,-1.0,
3002,1,9,649.6811872990697,1.0,
3002,2,9,650.6811872990697,1.0,0.0
3002,0,9,650.6811872990697,,
3004,1,10,652.4128772203233,-1.0,
3001,1,5,655.5766555114021,-1.0,
3001,2,5,657.5766555114021,-1.0,6.0
3003,1,12,659.2572791636064,1.0,
3003,2,12,661.2572791636064,1.0,1.0
3004,1,9,662.4128772203233,-1.0,
3001,1,4,667.5766555114021,-1.0,
3003,1,13,671.2572791636064,1.0,
3003,2,13,672.2572791636064,1.0,0.0
3003,0,13,672.2572791636064,,
3004,1,8,672.4128772203233,-1.0,
3001,1,3,677.5766555114021,-1.0,
3001,2,3,679.5766555114021,-1.0,6.0
3004,1,7,682.4128772203233,-1.0,
3002,1,10,689.4058648980016,1.0,
3001,1,2,689.5766555114021,-1.0,
3002,2,10,690.4058648980016,1.0,1.0
3001,2,2,691.5766555114021,-1.0,7.0
3004,1,6,692.4128772203233,-1.0,
3003,1,12,699.1050152219226,-1.0,
3002,1,11,700.4058648980016,1.0,
3001,1,1,701.5766555114021,-1.0,
3004,1,5,702.4128772203233,-1.0,
3001,2,1,704.5766555114021,-1.0,7.0
3003,1,11,709.1050152219226,-1.0,
3002,1,12,710.4058648980016,1.0,
3004,1,4,712.4128772203233,-1.0,
3001,1,B1,714.5766555114021,-1.0,
3001,2,B1,715.5766555114021,-1.0,6.0
3003,1,10,719.1050152219226,-1.0,
3002,1,13,720.4058648980016,1.0,
3004,1,3,722.4128772203233,-1.0,
3001,1,B2,725.5766555114021,-1.0,
3003,1,9,729.1050152219226,-1.0,
3002,1,14,730.4058648980016,1.0,
3002,2,14,732.4058648980016,1.0,1.0
3004,1,2,732.4128772203233,-1.0,
3001,1,B3,735.5766555114021,-1.0,
3001,2,B3,737.5766555114021,-1.0,4.0
3003,1,8,739.1050152219226,-1.0,
3002,1,15,742.4058648980016,1.0,
3004,1,1,742.4128772203233,-1.0,
3004,2,1,745.4128772203233,-1.0,1.0
3001,1,B4,747.5766555114021,-1.0,
3003,1,7,749.1050152219226,-1.0,
3002,1,14,753.4058648980016,-1.0,
3002,2,14,755.4058648980016,-1.0,1.0
3004,1,B1,755.4128772203233,-1.0,
3003,1,6,759.1050152219226,-1.0,
3001,1,B3,761.5766555114021,1.0,
3002,1,13,765.4058648980016,-1.0,
3004,1,B2,765.4128772203233,-1.0,
3003,1,5,769.1050152219226,-1.0,
3003,2,5,769.1050152219226,-1.0,0.0
3003,2,5,769.1050152219226,1.0,0.0
3003,0,5,769.1050152219226,,
3001,1,B2,771.5766555114021,1.0,
3002,1,12,775.4058648980016,-1.0,
3004,1,B3,775.4128772203233,-1.0,
3001,1,B1,781.5766555114021,1.0,
3001,2,B1,783.5766555114021,1.0,2.0
3002,1,11,785.4058648980016,-1.0,
3004,1,B4,785.4128772203233,-1.0,
3004,0,B4,786.4128772203233,,
3003,1,6,791.1031141348908,1.0,
3003,2,6,793.1031141348908,1.0,1.0
3001,1,1,793.5766555114021,1.0,
3002,1,10,795.4058648980016,-1.0,
3002,2,10,797.4058648980016,-1.0,2.0
3003,1,7,803.1031141348908,1.0,
3001,1,2,803.5766555114021,1.0,
3001,2,2,804.5766555114021,1.0,1.0
3004,1,B3,807.3114225305086,1.0,
3002,1,9,807.4058648980016,-1.0,
3003,1,8,813.1031141348908,1.0,
3001,1,3,814.5766555114021,1.0,
3004,1,B2,817.3114225305086,1.0,
3002,1,8,817.4058648980016,-1.0,
3003,1,9,823.1031141348908,1.0,
3001,1,4,824.5766555114021,1.0,
3001,2,4,825.5766555114021,1.0,2.0
3004,1,B1,827.3114225305086,1.0,
3002,1,7,827.4058648980016,-1.0,
3003,1,10,833.1031141348908,1.0,
3001,1,5,835.5766555114021,1.0,
3004,1,1,837.3114225305086,1.0,
3002,1,6,837.4058648980016,-1.0,
3004,2,1,839.3114225305086,1.0,1.0
3002,2,6,839.4058648980016,-1.0,2.0
3003,1,11,843.1031141348908,1.0,
3001,1,6,845.5766555114021,1.0,
3001,2,6,845.5766555114021,1.0,2.0
3004,1,2,849.3114225305086,1.0,
3002,1,5,849.4058648980016,-1.0,
3002,2,5,850.4058648980016,-1.0,1.0
3003,1,12,853.1031141348908,1.0,
3001,1,7,855.5766555114021,1.0,
3004,1,3,859.3114225305086,1.0,
3002,1,4,860.4058648980016,-1.0,
3003,1,13,863.1031141348908,1.0,
3001,1,8,865.5766555114021,1.0,
3004,1,4,869.3114225305086,1.0,
3002,1,3,870.4058648980016,-1.0,
3003,1,14,873.1031141348908,1.0,
3001,1,9,875.5766555114021,1.0,
3004,1,5,879.3114225305086,1.0,
3002,1,2,880.4058648980016,-1.0,
3003,1,15,883.1031141348908,1.0,
3001,1,10,885.5766555114021,1.0,
3004,1,6,889.3114225305086,1.0,
3002,1,1,890.4058648980016,-1.0,
3003,1,14,894.1031141348908,-1.0,
3001,1,11,895.5766555114021,1.0,
3001,2,11,898.5766555114021,1.0,2.0
3004,1,7,899.3114225305086,1.0,
3002,1,B1,900.4058648980016,-1.0,
