,location,elevator_subgroup_number,floor_policy,elevator_name,count_type,floor_count
0,研究大樓,"[2, 1]",all_feasible,a0,count_floor,422
1,研究大樓,"[2, 1]",all_feasible,a1,count_floor,438
2,研究大樓,"[2, 1]",all_feasible,a2,count_floor,381
3,研究大樓,"[2, 1]",all_feasible,a0,count_stop,422
4,研究大樓,"[2, 1]",all_feasible,a1,count_stop,438
5,研究大樓,"[2, 1]",all_feasible,a2,count_stop,381
6,研究大樓,"[2, 1]",all_feasible,a0,count_floor,126
7,研究大樓,"[2, 1]",all_feasible,a1,count_floor,127
8,研究大樓,"[2, 1]",all_feasible,a2,count_floor,96
9,研究大樓,"[2, 1]",all_feasible,a0,count_stop,126
10,研究大樓,"[2, 1]",all_feasible,a1,count_stop,127
11,研究大樓,"[2, 1]",all_feasible,a2,count_stop,96
12,研究大樓,"[2, 1]",all_feasible,a0,count_floor,87
13,研究大樓,"[2, 1]",all_feasible,a1,count_floor,80
14,研究大樓,"[2, 1]",all_feasible,a2,count_floor,100
15,研究大樓,"[2, 1]",all_feasible,a0,count_stop,87
16,研究大樓,"[2, 1]",all_feasible,a1,count_stop,80
17,研究大樓,"[2, 1]",all_feasible,a2,count_stop,100
18,研究大樓,"[2, 1]",all_feasible,a0,count_floor,74
19,研究大樓,"[2, 1]",all_feasible,a1,count_floor,104
20,研究大樓,"[2, 1]",all_feasible,a2,count_floor,114
21,研究大樓,"[2, 1]",all_feasible,a0,count_stop,74
22,研究大樓,"[2, 1]",all_feasible,a1,count_stop,104
23,研究大樓,"[2, 1]",all_feasible,a2,count_stop,114
24,研究大樓,"[2, 1]",all_feasible,a0,count_floor,161
25,研究大樓,"[2, 1]",all_feasible,a1,count_floor,132
26,研究大樓,"[2, 1]",all_feasible,a2,count_floor,164
27,研究大樓,"[2, 1]",all_feasible,a0,count_stop,161
28,研究大樓,"[2, 1]",all_feasible,a1,count_stop,132
29,研究大樓,"[2, 1]",all_feasible,a2,count_stop,164
30,研究大樓,"[2, 1]",all_feasible,a0,count_floor,156
31,研究大樓,"[2, 1]",all_feasible,a1,count_floor,166
32,研究大樓,"[2, 1]",all_feasible,a2,count_floor,166
33,研究大樓,"[2, 1]",all_feasible,a0,count_stop,156
34,研究大樓,"[2, 1]",all_feasible,a1,count_stop,166
35,研究大樓,"[2, 1]",all_feasible,a2,count_stop,166
36,研究大樓,"[2, 1]",all_feasible,a0,count_floor,579
37,研究大樓,"[2, 1]",all_feasible,a1,count_floor,576
38,研究大樓,"[2, 1]",all_feasible,a2,count_floor,566
39,研究大樓,"[2, 1]",all_feasible,a0,count_stop,579
40,研究大樓,"[2, 1]",all_feasible,a1,count_stop,576
41,研究大樓,"[2, 1]",all_feasible,a2,count_stop,566
42,研究大樓,"[2, 1]",all_feasible,a0,count_floor,415
43,研究大樓,"[2, 1]",all_feasible,a1,count_floor,416
44,研究大樓,"[2, 1]",all_feasible,a2,count_floor,380
45,研究大樓,"[2, 1]",all_feasible,a0,count_stop,415
46,研究大樓,"[2, 1]",all_feasible,a1,count_stop,416
47,研究大樓,"[2, 1]",all_feasible,a2,count_stop,380
48,研究大樓,"[2, 1]",all_feasible,a0,count_floor,219
49,研究大樓,"[2, 1]",all_feasible,a1,count_floor,210
50,研究大樓,"[2, 1]",all_feasible,a2,count_floor,186
51,研究大樓,"[2, 1]",all_feasible,a0,count_stop,219
52,研究大樓,"[2, 1]",all_feasible,a1,count_stop,210
53,研究大樓,"[2, 1]",all_feasible,a2,count_stop,186
54,研究大樓,"[2, 1]",all_feasible,a0,count_floor,425
55,研究大樓,"[2, 1]",all_feasible,a1,count_floor,435
56,研究大樓,"[2, 1]",all_feasible,a2,count_floor,399
57,研究大樓,"[2, 1]",all_feasible,a0,count_stop,425
58,研究大樓,"[2, 1]",all_feasible,a1,count_stop,435
59,研究大樓,"[2, 1]",all_feasible,a2,count_stop,399
60,研究大樓,"[2, 1]",all_feasible,a0,count_floor,216
61,研究大樓,"[2, 1]",all_feasible,a1,count_floor,202
62,研究大樓,"[2, 1]",all_feasible,a2,count_floor,227
63,研究大樓,"[2, 1]",all_feasible,a0,count_stop,216
64,研究大樓,"[2, 1]",all_feasible,a1,count_stop,202
65,研究大樓,"[2, 1]",all_feasible,a2,count_stop,227
66,研究大樓,"[2, 1]",all_feasible,a0,count_floor,18
67,研究大樓,"[2, 1]",all_feasible,a1,count_floor,7
68,研究大樓,"[2, 1]",all_feasible,a2,count_floor,43
69,研究大樓,"[2, 1]",all_feasible,a0,count_stop,18
70,研究大樓,"[2, 1]",all_feasible,a1,count_stop,7
71,研究大樓,"[2, 1]",all_feasible,a2,count_stop,43
72,研究大樓,"[2, 1]",all_feasible,a0,count_floor,41
73,研究大樓,"[2, 1]",all_feasible,a1,count_floor,22
74,研究大樓,"[2, 1]",all_feasible,a2,count_floor,58
75,研究大樓,"[2, 1]",all_feasible,a0,count_stop,41
76,研究大樓,"[2, 1]",all_feasible,a1,count_stop,22
77,研究大樓,"[2, 1]",all_feasible,a2,count_stop,58
78,研究大樓,"[2, 1]",all_feasible,a0,count_floor,1158
79,研究大樓,"[2, 1]",all_feasible,a1,count_floor,1162
80,研究大樓,"[2, 1]",all_feasible,a2,count_floor,1141
81,研究大樓,"[2, 1]",all_feasible,a0,count_stop,1158
82,研究大樓,"[2, 1]",all_feasible,a1,count_stop,1162
83,研究大樓,"[2, 1]",all_feasible,a2,count_stop,1141
84,研究大樓,"[2, 1]",all_feasible,a0,count_floor,370
85,研究大樓,"[2, 1]",all_feasible,a1,count_floor,384
86,研究大樓,"[2, 1]",all_feasible,a2,count_floor,369
87,研究大樓,"[2, 1]",all_feasible,a0,count_stop,370
88,研究大樓,"[2, 1]",all_feasible,a1,count_stop,384
89,研究大樓,"[2, 1]",all_feasible,a2,count_stop,369
90,研究大樓,"[2, 1]",all_feasible,a0,count_floor,191
91,研究大樓,"[2, 1]",all_feasible,a1,count_floor,200
92,研究大樓,"[2, 1]",all_feasible,a2,count_floor,153
93,研究大樓,"[2, 1]",all_feasible,a0,count_stop,191
94,研究大樓,"[2, 1]",all_feasible,a1,count_stop,200
95,研究大樓,"[2, 1]",all_feasible,a2,count_stop,153
96,研究大樓,"[2, 1]",all_feasible,a0,count_floor,152
97,研究大樓,"[2, 1]",all_feasible,a1,count_floor,104
98,研究大樓,"[2, 1]",all_feasible,a2,count_floor,130
99,研究大樓,"[2, 1]",all_feasible,a0,count_stop,152
100,研究大樓,"[2, 1]",all_feasible,a1,count_stop,104
101,研究大樓,"[2, 1]",all_feasible,a2,count_stop,130
102,研究大樓,"[2, 1]",all_feasible,a0,count_floor,233
103,研究大樓,"[2, 1]",all_feasible,a1,count_floor,260
104,研究大樓,"[2, 1]",all_feasible,a2,count_floor,237
105,研究大樓,"[2, 1]",all_feasible,a0,count_stop,233
106,研究大樓,"[2, 1]",all_feasible,a1,count_stop,260
107,研究大樓,"[2, 1]",all_feasible,a2,count_stop,237
108,研究大樓,"[2, 1]",all_feasible,a0,count_floor,225
109,研究大樓,"[2, 1]",all_feasible,a1,count_floor,237
110,研究大樓,"[2, 1]",all_feasible,a2,count_floor,223
111,研究大樓,"[2, 1]",all_feasible,a0,count_stop,225
112,研究大樓,"[2, 1]",all_feasible,a1,count_stop,237
113,研究大樓,"[2, 1]",all_feasible,a2,count_stop,223
114,研究大樓,"[2, 1]",all_feasible,a0,count_floor,516
115,研究大樓,"[2, 1]",all_feasible,a1,count_floor,529
116,研究大樓,"[2, 1]",all_feasible,a2,count_floor,542
117,研究大樓,"[2, 1]",all_feasible,a0,count_stop,516
118,研究大樓,"[2, 1]",all_feasible,a1,count_stop,529
119,研究大樓,"[2, 1]",all_feasible,a2,count_stop,542
120,研究大樓,"[2, 1]",all_feasible,a0,count_floor,532
121,研究大樓,"[2, 1]",all_feasible,a1,count_floor,511
122,研究大樓,"[2, 1]",all_feasible,a2,count_floor,548
123,研究大樓,"[2, 1]",all_feasible,a0,count_stop,532
124,研究大樓,"[2, 1]",all_feasible,a1,count_stop,511
125,研究大樓,"[2, 1]",all_feasible,a2,count_stop,548
126,研究大樓,"[2, 1]",all_feasible,a0,count_floor,20
127,研究大樓,"[2, 1]",all_feasible,a1,count_floor,36
128,研究大樓,"[2, 1]",all_feasible,a2,count_floor,35
129,研究大樓,"[2, 1]",all_feasible,a0,count_stop,20
130,研究大樓,"[2, 1]",all_feasible,a1,count_stop,36
131,研究大樓,"[2, 1]",all_feasible,a2,count_stop,35
132,研究大樓,"[2, 1]",all_feasible,a0,count_floor,568
133,研究大樓,"[2, 1]",all_feasible,a1,count_floor,542
134,研究大樓,"[2, 1]",all_feasible,a2,count_floor,512
135,研究大樓,"[2, 1]",all_feasible,a0,count_stop,568
136,研究大樓,"[2, 1]",all_feasible,a1,count_stop,542
137,研究大樓,"[2, 1]",all_feasible,a2,count_stop,512
138,研究大樓,"[2, 1]",all_feasible,a0,count_floor,219
139,研究大樓,"[2, 1]",all_feasible,a1,count_floor,256
140,研究大樓,"[2, 1]",all_feasible,a2,count_floor,235
141,研究大樓,"[2, 1]",all_feasible,a0,count_stop,219
142,研究大樓,"[2, 1]",all_feasible,a1,count_stop,256
143,研究大樓,"[2, 1]",all_feasible,a2,count_stop,235
144,研究大樓,"[2, 1]",all_feasible,a0,count_floor,321
145,研究大樓,"[2, 1]",all_feasible,a1,count_floor,307
146,研究大樓,"[2, 1]",all_feasible,a2,count_floor,328
147,研究大樓,"[2, 1]",all_feasible,a0,count_stop,321
148,研究大樓,"[2, 1]",all_feasible,a1,count_stop,307
149,研究大樓,"[2, 1]",all_feasible,a2,count_stop,328
150,研究大樓,"[2, 1]",all_feasible,a0,count_floor,531
151,研究大樓,"[2, 1]",all_feasible,a1,count_floor,480
152,研究大樓,"[2, 1]",all_feasible,a2,count_floor,489
153,研究大樓,"[2, 1]",all_feasible,a0,count_stop,531
154,研究大樓,"[2, 1]",all_feasible,a1,count_stop,480
155,研究大樓,"[2, 1]",all_feasible,a2,count_stop,489
156,研究大樓,"[2, 1]",all_feasible,a0,count_floor,68
157,研究大樓,"[2, 1]",all_feasible,a1,count_floor,92
158,研究大樓,"[2, 1]",all_feasible,a2,count_floor,88
159,研究大樓,"[2, 1]",all_feasible,a0,count_stop,68
160,研究大樓,"[2, 1]",all_feasible,a1,count_stop,92
161,研究大樓,"[2, 1]",all_feasible,a2,count_stop,88
162,研究大樓,"[2, 1]",all_feasible,a0,count_floor,162
163,研究大樓,"[2, 1]",all_feasible,a1,count_floor,144
164,研究大樓,"[2, 1]",all_feasible,a2,count_floor,125
165,研究大樓,"[2, 1]",all_feasible,a0,count_stop,162
