action,direction,floor,name,riderNumAfter,time
0,,1,3006,,0.0
0,,1,3007,,0.0
0,,1,3008,,0.0
0,,1,3009,,0.0
0,,1,3010,,0.0
1,1.0,2,3006,,65.85226700990195
1,1.0,3,3006,,75.96688981597282
1,1.0,4,3006,,85.96688981597282
1,1.0,2,3007,,95.35981404392057
1,1.0,5,3006,,95.96688981597282
2,1.0,5,3006,2.0,97.96688981597282
1,1.0,2,3008,,101.96749703512313
1,1.0,3,3007,,105.35981404392057
1,1.0,6,3006,,107.96688981597282
2,1.0,6,3006,3.0,109.96688981597282
1,1.0,3,3008,,111.96749703512313
1,-1.0,B1,3009,,113.51700871153471
1,1.0,4,3007,,115.35981404392057
1,1.0,7,3006,,119.96688981597282
2,1.0,7,3006,1.0,121.96688981597282
1,1.0,4,3008,,121.96749703512313
2,1.0,4,3008,0.0,121.96749703512313
2,-1.0,4,3008,0.0,121.96749703512313
0,,4,3008,,121.96749703512313
1,-1.0,B2,3009,,123.51700871153471
1,1.0,5,3007,,125.35981404392057
1,-1.0,B1,3010,,130.50280537686405
2,-1.0,B1,3010,0.0,130.50280537686405
2,1.0,B1,3010,0.0,130.50280537686405
0,,B1,3010,,130.50280537686405
1,1.0,8,3006,,131.96688981597282
1,-1.0,B3,3009,,133.51700871153471
1,1.0,6,3007,,135.35981404392055
1,1.0,5,3008,,136.62761927828635
1,1.0,9,3006,,141.96688981597282
1,-1.0,B4,3009,,143.51700871153471
2,1.0,B4,3009,0.0,143.51700871153471
0,,B4,3009,,143.51700871153471
1,1.0,7,3007,,145.35981404392055
1,1.0,6,3008,,146.62761927828635
1,1.0,10,3006,,151.96688981597282
1,1.0,8,3007,,155.35981404392055
1,1.0,7,3008,,156.62761927828635
1,1.0,1,3010,,161.282650830844
2,1.0,1,3010,0.0,161.282650830844
2,-1.0,1,3010,0.0,161.282650830844
0,,1,3010,,161.282650830844
1,1.0,11,3006,,161.96688981597282
2,1.0,11,3006,0.0,162.96688981597282
0,,11,3006,,162.96688981597282
1,1.0,9,3007,,165.35981404392055
1,1.0,8,3008,,166.62761927828635
2,1.0,8,3008,0.0,166.62761927828635
2,-1.0,8,3008,0.0,166.62761927828635
0,,8,3008,,166.62761927828635
2,1.0,1,3010,1.0,168.46895475523644
1,1.0,10,3007,,175.35981404392055
2,1.0,10,3007,0.0,175.35981404392055
2,-1.0,10,3007,0.0,175.35981404392055
0,,10,3007,,175.35981404392055
1,1.0,12,3006,,176.47693372500822
1,1.0,2,3010,,178.46895475523644
1,-1.0,7,3008,,183.7633933300687
1,1.0,13,3006,,186.47693372500822
2,1.0,13,3006,1.0,188.47693372500822
1,1.0,3,3010,,189.3309726244506
1,1.0,B3,3009,,193.3854046184569
2,1.0,B3,3009,0.0,193.3854046184569
2,-1.0,B3,3009,0.0,193.3854046184569
0,,B3,3009,,193.3854046184569
1,-1.0,6,3008,,193.7633933300687
1,1.0,14,3006,,198.47693372500822
1,1.0,4,3010,,199.3309726244506
2,1.0,14,3006,0.0,199.47693372500822
0,,14,3006,,199.47693372500822
2,1.0,4,3010,2.0,200.3309726244506
1,-1.0,5,3008,,203.7633933300687
2,-1.0,5,3008,0.0,203.7633933300687
2,1.0,5,3008,0.0,203.7633933300687
0,,5,3008,,203.7633933300687
1,1.0,5,3010,,210.3309726244506
1,1.0,B2,3009,,211.39111218661827
2,1.0,5,3010,2.0,216.3309726244506
1,1.0,B1,3009,,221.39111218661827
1,1.0,6,3010,,226.3309726244506
2,1.0,6,3010,3.0,227.3309726244506
1,1.0,1,3009,,231.39111218661827
1,-1.0,9,3007,,234.46733133139892
1,1.0,7,3010,,237.3309726244506
1,-1.0,4,3008,,237.81147525111606
2,1.0,7,3010,2.0,238.3309726244506
1,1.0,2,3009,,241.39111218661827
1,-1.0,8,3007,,244.46733133139892
1,-1.0,3,3008,,247.81147525111606
1,1.0,8,3010,,248.3309726244506
2,-1.0,8,3007,2.0,248.46733133139892
1,1.0,3,3009,,251.39111218661827
2,1.0,3,3009,1.0,253.39111218661827
1,-1.0,2,3008,,257.81147525111606
1,1.0,9,3010,,258.3309726244506
1,-1.0,7,3007,,258.4673313313989
1,1.0,4,3009,,263.3911121866183
2,1.0,4,3009,0.0,264.3911121866183
0,,4,3009,,264.3911121866183
1,-1.0,1,3008,,267.81147525111606
1,1.0,10,3010,,268.3309726244506
1,-1.0,6,3007,,268.4673313313989
1,-1.0,13,3006,,272.2184748531769
1,-1.0,B1,3008,,277.81147525111606
1,1.0,11,3010,,278.3309726244506
1,-1.0,5,3007,,278.4673313313989
2,-1.0,B1,3008,1.0,278.81147525111606
2,1.0,11,3010,1.0,279.3309726244506
1,-1.0,12,3006,,282.2184748531769
2,-1.0,12,3006,1.0,283.2184748531769
1,-1.0,4,3007,,288.4673313313989
1,-1.0,B2,3008,,288.81147525111606
1,1.0,12,3010,,289.3309726244506
2,-1.0,4,3007,2.0,290.4673313313989
1,-1.0,11,3006,,293.2184748531769
2,-1.0,11,3006,2.0,294.2184748531769
1,-1.0,B3,3008,,298.81147525111606
1,1.0,13,3010,,299.3309726244506
2,1.0,13,3010,0.0,300.3309726244506
0,,13,3010,,300.3309726244506
1,-1.0,3,3007,,300.4673313313989
2,-1.0,B3,3008,2.0,301.81147525111606
1,-1.0,10,3006,,304.2184748531769
1,1.0,5,3009,,306.0656230243925
2,1.0,5,3009,0.0,306.0656230243925
2,-1.0,5,3009,0.0,306.0656230243925
0,,5,3009,,306.0656230243925
1,-1.0,2,3007,,310.4673313313989
1,-1.0,B4,3008,,311.81147525111606
0,,B4,3008,,313.81147525111606
1,-1.0,9,3006,,314.2184748531769
1,-1.0,1,3007,,320.4673313313989
1,-1.0,8,3006,,324.2184748531769
2,-1.0,1,3007,1.0,324.4673313313989
1,-1.0,7,3006,,334.2184748531769
1,-1.0,B1,3007,,334.4673313313989
1,-1.0,B2,3007,,344.4673313313989
1,-1.0,6,3006,,345.69683164439857
2,-1.0,6,3006,3.0,347.69683164439857
1,-1.0,B3,3007,,354.4673313313989
2,-1.0,B3,3007,0.0,355.4673313313989
1,-1.0,5,3006,,357.69683164439857
1,1.0,B3,3008,,363.9792245964611
1,1.0,B2,3007,,365.4673313313989
1,-1.0,4,3006,,367.69683164439857
2,-1.0,4,3006,2.0,368.69683164439857
1,1.0,B2,3008,,373.9792245964611
1,1.0,B1,3007,,375.4673313313989
1,-1.0,3,3006,,378.69683164439857
1,1.0,B1,3008,,383.9792245964611
1,1.0,1,3007,,385.4673313313989
1,-1.0,2,3006,,388.69683164439857
1,1.0,1,3008,,393.9792245964611
2,1.0,1,3008,1.0,394.9792245964611
1,1.0,2,3007,,395.4673313313989
1,1.0,6,3009,,396.2362926487166
2,1.0,6,3009,0.0,396.2362926487166
2,-1.0,6,3009,0.0,396.2362926487166
0,,6,3009,,396.2362926487166
1,-1.0,1,3006,,398.69683164439857
2,-1.0,1,3006,1.0,399.69683164439857
1,1.0,2,3008,,404.9792245964611
1,1.0,3,3007,,405.4673313313989
1,-1.0,B1,3006,,409.69683164439857
1,-1.0,12,3010,,411.12595320565
2,-1.0,12,3010,1.0,413.12595320565
1,1.0,3,3008,,414.9792245964611
1,1.0,4,3007,,415.4673313313989
1,1.0,7,3009,,416.61531209644147
2,1.0,7,3009,0.0,416.61531209644147
2,-1.0,7,3009,0.0,416.61531209644147
0,,7,3009,,416.61531209644147
1,-1.0,B2,3006,,419.69683164439857
1,-1.0,11,3010,,423.12595320565
1,1.0,4,3008,,424.9792245964611
1,1.0,5,3007,,425.4673313313989
1,-1.0,B3,3006,,429.69683164439857
1,-1.0,10,3010,,433.12595320565
1,1.0,5,3008,,434.9792245964611
1,1.0,6,3007,,435.4673313313989
1,-1.0,B4,3006,,439.69683164439857
1,1.0,8,3009,,440.8760904653503
1,-1.0,9,3010,,443.12595320565
1,1.0,6,3008,,444.9792245964611
1,1.0,7,3007,,445.4673313313989
1,1.0,9,3009,,450.8760904653503
1,1.0,B3,3006,,452.5562291331961
1,-1.0,8,3010,,453.12595320565
1,1.0,7,3008,,454.9792245964611
1,1.0,8,3007,,455.4673313313989
2,1.0,8,3007,1.0,456.4673313313989
1,1.0,10,3009,,460.8760904653503
1,1.0,B2,3006,,462.5562291331961
1,-1.0,7,3010,,463.12595320565
1,1.0,8,3008,,464.9792245964611
1,1.0,9,3007,,466.4673313313989
2,1.0,9,3007,0.0,467.4673313313989
0,,9,3007,,467.4673313313989
1,1.0,11,3009,,470.8760904653503
1,1.0,B1,3006,,472.5562291331961
1,-1.0,6,3010,,473.12595320565
1,1.0,9,3008,,474.9792245964611
1,1.0,12,3009,,480.8760904653503
1,1.0,1,3006,,482.5562291331961
1,-1.0,5,3010,,483.12595320565
2,1.0,1,3006,1.0,484.5562291331961
1,1.0,10,3008,,484.9792245964611
1,1.0,13,3009,,490.8760904653503
1,-1.0,4,3010,,493.12595320565
1,1.0,2,3006,,494.5562291331961
1,1.0,11,3008,,494.9792245964611
2,1.0,2,3006,3.0,498.5562291331961
1,1.0,14,3009,,500.8760904653503
2,1.0,14,3009,0.0,500.8760904653503
2,-1.0,14,3009,0.0,500.8760904653503
0,,14,3009,,500.8760904653503
1,-1.0,3,3010,,503.12595320565
1,1.0,12,3008,,504.9792245964611
1,1.0,3,3006,,508.5562291331961
1,-1.0,2,3010,,513.1259532056499
1,1.0,13,3008,,514.9792245964611
1,1.0,4,3006,,521.7216870827275
1,-1.0,1,3010,,523.1259532056499
2,-1.0,1,3010,0.0,524.1259532056499
0,,1,3010,,524.1259532056499
1,1.0,14,3008,,524.9792245964611
2,1.0,14,3008,0.0,525.9792245964611
0,,14,3008,,525.9792245964611
2,1.0,9,3007,1.0,531.2866602632178
1,1.0,5,3006,,531.7216870827275
2,1.0,5,3006,4.0,532.7216870827275
1,-1.0,13,3008,,540.9750297713106
1,1.0,10,3007,,541.2866602632178
2,1.0,10,3007,0.0,542.2866602632178
0,,10,3007,,542.2866602632178
1,1.0,6,3006,,542.7216870827275
1,1.0,2,3010,,543.2891984741425
2,1.0,6,3006,2.0,544.7216870827275
1,-1.0,12,3008,,550.9750297713106
1,1.0,3,3010,,553.2891984741425
2,1.0,3,3010,1.0,554.2891984741425
1,1.0,7,3006,,554.7216870827275
2,1.0,7,3006,1.0,555.7216870827275
1,-1.0,11,3008,,560.9750297713106
1,1.0,8,3006,,565.7216870827275
1,1.0,4,3010,,567.2473273257849
1,-1.0,10,3008,,570.9750297713106
1,-1.0,9,3007,,571.1984127488679
1,1.0,9,3006,,575.7216870827275
1,1.0,5,3010,,577.2473273257849
1,-1.0,13,3009,,580.9193435699909
1,-1.0,9,3008,,580.9750297713106
1,-1.0,8,3007,,581.1984127488679
2,-1.0,9,3008,1.0,581.9750297713106
2,-1.0,8,3007,1.0,582.1984127488679
1,1.0,10,3006,,585.7216870827275
1,1.0,6,3010,,587.2473273257849
2,1.0,6,3010,2.0,588.2473273257849
1,-1.0,12,3009,,590.9193435699909
1,-1.0,8,3008,,591.9750297713106
1,-1.0,7,3007,,592.1984127488679
1,1.0,11,3006,,595.7216870827275
1,1.0,7,3010,,598.2473273257849
2,1.0,7,3010,3.0,599.2473273257849
1,-1.0,11,3009,,600.9193435699909
1,-1.0,7,3008,,601.9750297713106
1,-1.0,6,3007,,602.1984127488679
2,-1.0,6,3007,1.0,604.1984127488679
1,1.0,12,3006,,605.7216870827275
1,1.0,8,3010,,609.2473273257849
1,-1.0,10,3009,,610.9193435699909
2,1.0,8,3010,1.0,611.2473273257849
1,-1.0,6,3008,,611.9750297713106
1,-1.0,5,3007,,614.1984127488679
1,1.0,13,3006,,615.7216870827275
1,-1.0,9,3009,,620.9193435699909
1,1.0,9,3010,,621.2473273257849
1,-1.0,5,3008,,621.9750297713106
1,-1.0,4,3007,,624.1984127488679
2,-1.0,4,3007,2.0,625.1984127488679
1,1.0,14,3006,,625.7216870827275
1,-1.0,8,3009,,630.9193435699909
1,1.0,10,3010,,631.2473273257849
1,-1.0,4,3008,,631.9750297713106
2,1.0,10,3010,0.0,632.2473273257849
0,,10,3010,,632.2473273257849
1,-1.0,3,3007,,635.1984127488679
1,1.0,15,3006,,635.7216870827275
0,,15,3006,,636.7216870827275
2,-1.0,3,3007,2.0,637.1984127488679
1,-1.0,7,3009,,640.9193435699909
1,-1.0,3,3008,,641.9750297713106
1,-1.0,2,3007,,647.1984127488679
1,-1.0,6,3009,,650.9193435699909
1,-1.0,2,3008,,651.9750297713106
1,-1.0,1,3007,,657.1984127488679
1,-1.0,5,3009,,660.9193435699909
1,-1.0,1,3008,,661.9750297713106
2,-1.0,1,3008,0.0,662.9750297713106
0,,1,3008,,662.9750297713106
1,-1.0,B1,3007,,667.1984127488679
2,-1.0,B1,3007,1.0,668.1984127488679
1,-1.0,4,3009,,670.9193435699909
1,1.0,2,3008,,676.6983141055755
1,-1.0,B2,3007,,678.1984127488679
1,-1.0,3,3009,,680.9193435699909
1,1.0,3,3008,,686.6983141055755
2,1.0,3,3008,1.0,687.6983141055755
1,-1.0,B3,3007,,688.1984127488679
1,-1.0,9,3010,,689.0694703113272
2,-1.0,B3,3007,0.0,689.1984127488679
1,-1.0,14,3006,,695.704861007712
1,1.0,4,3008,,697.6983141055755
1,-1.0,8,3010,,699.0694703113272
1,1.0,B2,3007,,699.1984127488679
1,-1.0,2,3009,,699.6573516090224
2,-1.0,2,3009,1.0,701.6573516090224
1,-1.0,13,3006,,705.704861007712
2,-1.0,13,3006,1.0,706.704861007712
1,1.0,5,3008,,707.6983141055755
1,-1.0,7,3010,,709.0694703113272
1,1.0,B1,3007,,709.1984127488679
2,-1.0,7,3010,2.0,711.0694703113272
1,-1.0,1,3009,,711.6573516090224
1,-1.0,12,3006,,716.704861007712
1,1.0,6,3008,,717.6983141055755
1,1.0,1,3007,,719.1984127488679
1,-1.0,6,3010,,721.0694703113272
2,1.0,1,3007,1.0,721.1984127488679
1,-1.0,B1,3009,,721.6573516090224
2,-1.0,B1,3009,2.0,722.6573516090224
