action,direction,floorIndex,riderNumAfter,time
1,1,9,1,55.85226700990195
1,1,8,1,65.96688981597282
1,-1,12,1,85.35981404392057
1,-1,6,1,91.96749703512313
1,1,8,2,92.6150651549307
2,1,8,0,97.96688981597282
1,1,0,1,103.51700871153471
2,1,9,0,109.96688981597282
1,1,3,1,120.50280537686403
2,1,10,0,121.96688981597282
2,1,7,0,121.96749703512313
1,-1,10,1,126.62761927828635
2,-1,2,0,130.50280537686405
1,-1,3,1,151.282650830844
2,1,4,0,161.282650830844
2,1,14,0,162.96688981597282
1,1,4,1,166.46895475523644
1,1,16,1,166.47693372500822
2,1,11,0,166.62761927828635
2,1,4,0,168.46895475523644
1,1,8,1,173.7633933300687
2,1,13,0,175.35981404392055
1,1,7,1,179.3309726244506
1,1,8,2,179.88320702781323
1,-1,0,1,183.3854046184569
2,1,16,0,188.47693372500822
1,-1,12,2,189.92100861007998
2,1,1,0,193.3854046184569
2,1,17,0,199.47693372500822
2,1,7,0,200.3309726244506
1,1,6,1,201.39111218661827
1,1,9,1,203.3258607993306
2,-1,7,0,203.7633933300687
1,-1,10,2,207.28419453100335
2,1,8,0,216.3309726244506
1,1,11,1,224.46733133139892
2,1,9,0,227.3309726244506
1,-1,2,1,227.81147525111606
2,1,10,0,238.3309726244506
1,-1,0,2,241.61106844454622
2,-1,10,0,248.46733133139892
2,1,6,0,253.39111218661827
1,1,5,1,259.2798505201242
1,-1,14,1,262.2184748531769
2,1,7,0,264.3911121866183
1,-1,13,1,271.3643140258882
1,1,3,2,272.4587626849772
2,-1,2,0,278.81147525111606
2,1,14,0,279.3309726244506
2,-1,14,0,283.2184748531769
2,-1,6,0,290.4673313313989
2,-1,13,0,294.2184748531769
1,-1,7,1,296.0656230243925
2,1,16,0,300.3309726244506
2,-1,0,0,301.81147525111606
1,1,0,2,305.67383777833084
2,1,8,0,306.0656230243925
2,-1,3,0,324.4673313313989
1,-1,8,1,335.69683164439857
2,-1,8,0,347.69683164439857
1,1,4,1,353.9792245964611
2,-1,0,0,355.4673313313989
1,1,3,3,358.2214104858706
1,1,3,4,365.2932475196881
2,-1,6,0,368.69683164439857
1,1,5,2,368.93589633163447
1,-1,8,1,386.2362926487166
2,1,4,0,394.9792245964611
2,1,9,0,396.2362926487166
2,-1,3,0,399.69683164439857
1,-1,14,1,401.12595320565
1,-1,9,1,406.61531209644147
2,-1,14,0,413.12595320565
2,1,10,0,416.61531209644147
1,1,0,3,418.20538925389394
1,-1,16,1,430.8760904653503
1,1,4,1,442.5562291331961
1,-1,7,2,454.4445175151535
1,-1,7,3,455.19430111256594
2,1,11,0,456.4673313313989
2,1,12,0,467.4673313313989
1,1,0,4,479.20853884118236
2,1,4,0,484.5562291331961
2,1,5,0,498.5562291331961
2,1,17,0,500.8760904653503
1,1,8,1,511.7216870827275
2,-1,3,0,524.1259532056499
2,1,17,0,525.9792245964611
1,1,12,1,529.2866602632178
1,-1,11,1,530.9750297713106
2,1,12,0,531.2866602632178
2,1,8,0,532.7216870827275
1,1,6,1,533.2891984741425
2,1,13,0,542.2866602632178
2,1,9,0,544.7216870827275
2,1,6,0,554.2891984741425
2,1,10,0,555.7216870827275
1,1,9,1,557.2473273257849
1,-1,10,1,561.1984127488679
1,1,0,5,562.4479607354967
1,-1,16,2,563.6465506381576
1,1,1,1,570.9193435699909
1,-1,5,1,573.2371042224277
1,1,10,1,577.6752254982448
2,-1,11,0,581.9750297713106
2,-1,10,0,582.1984127488679
2,1,9,0,588.2473273257849
1,-1,6,1,588.5594448334297
1,1,8,1,589.7017325917549
1,-1,12,3,590.101363022218
1,1,4,1,593.1902569037187
2,1,10,0,599.2473273257849
2,-1,8,0,604.1984127488679
2,1,11,0,611.2473273257849
2,-1,6,0,625.1984127488679
2,1,13,0,632.2473273257849
2,-1,5,0,637.1984127488679
1,-1,9,2,654.6687766916115
2,-1,3,0,662.9750297713106
1,1,6,1,666.6983141055755
2,-1,2,0,668.1984127488679
1,1,8,2,670.7693651875643
1,1,10,1,679.0694703113272
1,-1,2,1,683.8511681693153
1,-1,15,1,685.704861007712
2,1,6,0,687.6983141055755
2,-1,0,0,689.1984127488679
1,-1,4,1,689.6573516090224
1,1,0,6,692.1445274272802
1,1,3,5,696.3698722899912
2,-1,4,0,701.6573516090224
1,-1,7,4,704.5713106064816
2,-1,15,0,706.704861007712
1,-1,12,4,709.7786380091611
2,-1,9,0,711.0694703113272
2,1,4,0,721.1984127488679
2,-1,2,0,722.6573516090224
1,-1,12,5,734.2328580687895
2,1,6,0,742.1984127488679
1,-1,0,1,743.0818164828004
2,-1,0,0,744.6573516090224
1,-1,12,6,745.9230597379399
2,1,12,0,748.6983141055755
1,-1,3,1,758.1318953266309
2,1,8,0,764.1984127488679
1,1,3,6,765.3074527347047
2,1,1,0,768.6573516090224
1,1,14,1,772.813481164028
2,-1,3,0,773.0694703113272
2,-1,2,0,784.0694703113272
1,-1,5,1,793.1594882755071
2,1,14,0,793.813481164028
1,-1,8,1,796.094670595649
1,1,15,1,798.0209775723755
2,-1,0,0,804.0694703113272
2,1,15,0,809.0209775723755
2,-1,5,0,814.1594882755071
2,1,13,0,815.1984127488679
1,-1,12,7,825.2318303131938
2,1,17,0,831.0209775723755
1,1,17,1,831.0696575321195
1,-1,7,5,835.9047744451011
2,-1,3,0,836.1594882755071
1,-1,3,1,838.8981247901233
2,1,8,0,839.6573516090224
2,-1,3,0,840.8981247901233
1,1,4,1,853.2740553399815
1,1,9,1,861.0645717266448
1,-1,0,1,861.6633124569735
2,1,17,0,862.0696575321195
2,1,4,0,864.2740553399815
2,-1,0,0,872.6633124569735
2,1,9,0,873.0645717266448
1,1,7,1,889.2831354936544
2,1,7,0,901.2831354936544
1,1,8,1,904.6897708281425
2,-1,8,0,913.0209775723755
2,1,8,0,915.6897708281425
1,1,3,7,928.0194855228576
1,1,6,1,930.9010325739282
1,1,10,2,933.6350935830629
1,1,8,1,934.2719121719889
2,1,10,0,937.6897708281425
1,-1,12,8,939.6244869301265
2,1,16,0,944.0645717266448
1,1,1,1,946.5285113699399
2,1,11,0,949.6897708281425
1,1,14,1,952.7273385904318
