direction,elevIndex,floorIndex,latterStatus,time
1,3006,9,1,55.85226700990195
1,3006,8,1,65.96688981597282
-1,3007,5,1,85.35981404392057
-1,3008,11,1,91.96749703512313
1,3006,8,0,95.96688981597282
1,3006,10,1,97.96688981597282
1,3006,10,1,97.96688981597282
1,3009,0,1,103.51700871153471
1,3006,9,0,107.96688981597282
1,3006,14,1,109.96688981597282
1,3006,10,0,119.96688981597282
1,3010,3,1,120.50280537686403
1,3008,7,0,121.96749703512313
-1,3008,11,0,121.96749703512313
-1,3008,7,1,126.62761927828635
-1,3010,15,0,130.50280537686405
1,3010,3,0,130.50280537686405
-1,3009,18,0,143.51700871153471
1,3009,0,0,143.51700871153471
-1,3010,14,1,151.282650830844
1,3010,4,0,161.282650830844
-1,3010,14,0,161.282650830844
1,3006,14,0,161.96688981597282
1,3010,4,1,166.46895475523644
1,3010,4,0,166.46895475523644
1,3006,16,1,166.47693372500822
1,3008,11,0,166.62761927828635
-1,3008,7,0,166.62761927828635
1,3010,8,1,168.46895475523644
1,3008,8,1,173.7633933300687
1,3007,13,0,175.35981404392055
-1,3007,5,0,175.35981404392055
1,3010,7,1,179.3309726244506
-1,3009,17,1,183.3854046184569
1,3006,16,0,186.47693372500822
1,3006,17,1,188.47693372500822
1,3009,1,0,193.3854046184569
-1,3009,17,0,193.3854046184569
1,3006,17,0,198.47693372500822
1,3010,7,0,199.3309726244506
1,3010,8,1,200.3309726244506
1,3009,6,1,201.39111218661827
1,3010,9,1,203.3258607993306
-1,3008,10,0,203.7633933300687
1,3008,8,0,203.7633933300687
1,3010,8,0,210.3309726244506
1,3010,16,1,216.3309726244506
1,3010,14,1,216.3309726244506
1,3007,11,1,224.46733133139892
1,3010,9,0,226.3309726244506
1,3010,10,1,227.3309726244506
-1,3008,15,1,227.81147525111606
1,3010,10,0,237.3309726244506
-1,3007,7,0,244.46733133139892
-1,3007,14,1,248.46733133139892
-1,3007,11,1,248.46733133139892
1,3009,6,0,251.39111218661827
1,3009,7,1,253.39111218661827
1,3006,5,1,259.2798505201242
-1,3006,3,1,262.2184748531769
1,3009,7,0,263.3911121866183
-1,3006,4,1,271.3643140258882
-1,3008,15,0,277.81147525111606
1,3010,14,0,278.3309726244506
-1,3008,17,1,278.81147525111606
-1,3006,3,0,282.2184748531769
-1,3006,18,1,283.2184748531769
-1,3007,11,0,288.4673313313989
-1,3007,14,1,290.4673313313989
-1,3006,4,0,293.2184748531769
-1,3006,11,1,294.2184748531769
-1,3009,10,1,296.0656230243925
-1,3008,17,0,298.81147525111606
1,3010,16,0,299.3309726244506
-1,3008,18,1,301.81147525111606
-1,3008,18,1,301.81147525111606
1,3009,8,0,306.0656230243925
-1,3009,10,0,306.0656230243925
-1,3008,18,0,311.81147525111606
-1,3007,14,0,320.4673313313989
-1,3007,17,1,324.4673313313989
-1,3006,9,1,335.69683164439857
-1,3006,9,0,345.69683164439857
-1,3006,14,1,347.69683164439857
1,3008,4,1,353.9792245964611
-1,3007,17,0,354.4673313313989
-1,3006,11,0,367.69683164439857
-1,3009,9,1,386.2362926487166
1,3008,4,0,393.9792245964611
1,3008,17,1,394.9792245964611
1,3009,9,0,396.2362926487166
-1,3009,9,0,396.2362926487166
-1,3006,14,0,398.69683164439857
-1,3010,3,1,401.12595320565
-1,3009,8,1,406.61531209644147
-1,3010,3,0,411.12595320565
-1,3010,14,1,413.12595320565
1,3009,10,0,416.61531209644147
-1,3009,8,0,416.61531209644147
-1,3009,1,1,430.8760904653503
-1,3006,18,0,439.69683164439857
1,3006,4,1,442.5562291331961
1,3007,11,0,455.4673313313989
1,3007,12,1,456.4673313313989
1,3007,12,0,466.4673313313989
1,3006,4,0,482.5562291331961
1,3006,9,1,484.5562291331961
1,3006,5,0,494.5562291331961
1,3006,10,1,498.5562291331961
1,3006,9,1,498.5562291331961
1,3009,17,0,500.8760904653503
-1,3009,1,0,500.8760904653503
1,3006,8,1,511.7216870827275
-1,3010,14,0,523.1259532056499
1,3008,17,0,524.9792245964611
1,3007,12,1,529.2866602632178
1,3007,12,0,529.2866602632178
-1,3008,6,1,530.9750297713106
1,3007,13,1,531.2866602632178
1,3006,8,0,531.7216870827275
1,3006,18,1,532.7216870827275
1,3010,6,1,533.2891984741425
1,3007,13,0,541.2866602632178
1,3006,9,0,542.7216870827275
1,3010,6,0,553.2891984741425
1,3010,11,1,554.2891984741425
1,3006,10,0,554.7216870827275
1,3010,9,1,557.2473273257849
-1,3007,7,1,561.1984127488679
1,3009,1,1,570.9193435699909
-1,3007,12,1,573.2371042224277
1,3010,10,1,577.6752254982448
-1,3008,6,0,580.9750297713106
-1,3007,7,0,581.1984127488679
-1,3008,14,1,581.9750297713106
-1,3007,9,1,582.1984127488679
