action,riderNumAfter,floorIndex,direction,time
1,1,7,-1,9.916163658767971
1,0,7,1,9.916163658767971
2,0,7,1,22.91616365876797
2,0,7,-1,24.91616365876797
1,1,15,-1,45.95246624608481
1,0,15,1,45.95246624608481
1,1,16,-1,47.84635030275116
1,0,16,1,47.84635030275116
1,0,3,-1,53.19069985029287
1,1,3,1,53.19069985029287
1,0,8,-1,55.738151958326156
1,1,8,1,55.738151958326156
1,0,8,-1,56.50326350582726
1,2,8,1,56.50326350582726
1,0,10,-1,62.026413721920264
1,1,10,1,62.026413721920264
2,0,3,1,68.19069985029287
1,1,4,1,76.19069985029287
2,0,16,1,80.84635030275116
2,0,16,-1,82.84635030275116
2,0,15,-1,90.84635030275116
1,1,18,-1,93.78078653807835
1,0,18,1,93.78078653807835
1,1,14,-1,98.46581066582772
1,0,14,1,98.46581066582772
2,1,14,-1,111.46581066582772
2,0,10,-1,114.84635030275116
1,0,8,-1,123.12331422313096
1,3,8,1,123.12331422313096
1,1,8,-1,125.84635030275116
2,0,8,1,130.84635030275115
1,1,13,-1,139.8415792341953
1,0,13,1,139.8415792341953
2,0,10,1,143.84635030275115
2,0,8,-1,143.84635030275115
2,0,13,-1,145.8415792341953
2,0,11,1,150.84635030275115
1,1,11,1,150.84635030275115
2,0,6,-1,154.84635030275115
1,1,11,-1,156.8415792341953
2,0,11,1,157.8415792341953
2,0,12,1,164.8415792341953
1,0,8,-1,167.86638532137545
1,1,8,1,167.86638532137545
2,0,18,-1,184.84635030275115
1,0,0,-1,187.56435463843508
1,1,0,1,187.56435463843508
1,1,17,-1,192.76717169766087
1,0,17,1,192.76717169766087
2,0,17,-1,194.76717169766087
2,0,0,1,205.56435463843508
1,1,3,-1,205.6264953293599
1,0,3,1,205.6264953293599
2,0,11,-1,222.76717169766087
1,1,17,-1,223.8419606336811
1,0,17,1,223.8419606336811
2,0,10,-1,230.76717169766087
1,1,8,-1,244.76717169766087
2,0,8,1,245.76717169766087
1,0,4,-1,245.91038136085672
1,2,4,1,245.91038136085672
1,1,9,-1,249.46741903047456
1,0,9,1,249.46741903047456
2,0,8,-1,255.76717169766087
1,2,14,-1,262.9980212030812
1,0,14,1,262.9980212030812
2,0,4,1,278.76717169766084
2,0,16,1,281.76717169766084
2,0,17,1,287.76717169766084
2,0,17,-1,289.76717169766084
1,2,9,-1,292.49426161805695
1,0,9,1,292.49426161805695
1,0,8,-1,292.496677993785
1,1,8,1,292.496677993785
1,3,8,1,297.76717169766084
1,3,9,-1,323.6590099389497
1,0,9,1,323.6590099389497
2,0,9,-1,329.76717169766084
1,0,5,-1,330.7541205346067
1,1,5,1,330.7541205346067
1,0,10,-1,331.8106724984027
1,1,10,1,331.8106724984027
1,1,6,-1,333.01674038203413
1,0,6,1,333.01674038203413
1,4,8,-1,337.76717169766084
2,0,8,1,342.76717169766084
2,0,6,-1,343.01674038203413
1,0,6,-1,343.69879664568356
1,1,6,1,343.69879664568356
1,1,4,-1,355.01674038203413
2,0,10,1,356.76717169766084
2,0,4,-1,358.01674038203413
1,1,4,-1,361.4746992736147
1,0,4,1,361.4746992736147
2,0,5,1,362.01674038203413
2,0,4,-1,364.4746992736147
2,0,11,1,364.76717169766084
1,1,11,1,364.76717169766084
1,1,7,-1,366.5048830357381
1,0,7,1,366.5048830357381
2,0,11,1,371.76717169766084
1,1,8,1,378.01674038203413
2,0,12,1,378.76717169766084
2,0,1,-1,380.4746992736147
2,0,8,-1,383.01674038203413
2,0,7,-1,393.01674038203413
1,1,3,-1,396.1634281942406
1,1,3,1,396.1634281942406
1,1,18,-1,397.42766037045936
1,0,18,1,397.42766037045936
2,0,6,-1,401.01674038203413
1,0,4,-1,405.08698015551124
1,1,4,1,405.08698015551124
1,1,12,-1,405.4276164474184
1,0,12,1,405.4276164474184
1,1,10,-1,405.5617721014852
1,0,10,1,405.5617721014852
2,0,12,-1,407.4276164474184
2,0,5,-1,408.01674038203413
1,2,3,-1,408.0357206910438
1,1,3,1,408.0357206910438
1,1,11,-1,415.4276164474184
1,1,4,-1,417.01674038203413
1,0,8,-1,432.18265951445824
1,2,8,1,432.18265951445824
2,0,11,-1,434.4276164474184
2,0,4,-1,435.01674038203413
2,0,10,-1,441.4276164474184
2,0,3,-1,446.01674038203413
1,0,6,-1,447.76993836686137
1,2,6,1,447.76993836686137
1,2,8,-1,453.4276164474184
2,0,8,1,456.4276164474184
2,0,1,-1,458.01674038203413
1,1,3,-1,459.1904441851513
1,1,3,1,459.1904441851513
1,1,17,-1,460.33865085775125
1,0,17,1,460.33865085775125
2,0,8,-1,472.4276164474184
1,1,4,-1,473.5350458196881
1,1,4,1,473.5350458196881
1,0,0,-1,473.81509450164236
1,1,0,1,473.81509450164236
2,0,3,1,481.01674038203413
1,0,11,-1,484.61733832365616
1,1,11,1,484.61733832365616
1,2,4,1,489.01674038203413
1,1,8,-1,493.059282424626
1,0,8,1,493.059282424626
2,0,4,1,495.4276164474184
2,0,17,1,495.4276164474184
2,0,3,-1,497.01674038203413
1,0,7,-1,509.04594167480445
1,1,7,1,509.04594167480445
2,0,7,1,511.04594167480445
1,1,4,-1,516.6180575529552
1,1,4,1,516.6180575529552
1,3,8,1,518.0459416748045
1,1,8,-1,519.6634537605054
1,4,8,1,519.6634537605054
1,0,1,-1,533.5993438344128
1,1,1,1,533.5993438344128
2,1,1,1,534.5993438344128
2,0,4,-1,534.6180575529552
2,1,1,1,541.5993438344128
2,1,1,1,548.5993438344128
2,1,1,1,555.5993438344128
2,1,1,1,562.5993438344128
2,0,8,1,565.0459416748045
2,1,1,1,569.5993438344128
2,0,10,1,576.0459416748045
2,1,1,1,576.5993438344128
1,0,9,-1,582.2394612703904
1,1,9,1,582.2394612703904
2,1,1,1,583.5993438344128
1,0,7,-1,585.8731012342686
1,1,7,1,585.8731012342686
2,1,1,1,590.5993438344128
2,0,7,-1,590.8731012342686
2,0,7,1,591.8731012342686
2,0,14,1,596.0459416748045
2,1,1,1,597.5993438344128
1,1,9,-1,598.1489396447939
1,1,9,1,598.1489396447939
1,1,8,1,598.8731012342686
2,1,1,1,604.5993438344128
1,1,5,-1,607.1281589174047
1,0,5,1,607.1281589174047
2,0,16,1,608.0459416748045
2,1,1,1,611.5993438344128
1,0,0,-1,612.0343017405146
1,2,0,1,612.0343017405146
1,1,8,-1,612.1552868540377
1,2,8,1,612.1552868540377
1,1,12,-1,612.3063797211374
1,0,12,1,612.3063797211374
2,0,12,1,617.3063797211374
1,1,11,-1,617.37020489756
1,1,11,1,617.37020489756
2,1,1,1,618.5993438344128
2,0,12,-1,619.3063797211374
2,0,5,-1,621.1281589174047
2,1,1,1,625.5993438344128
1,2,11,-1,626.3063797211374
2,1,1,1,632.5993438344128
1,3,14,-1,635.5172418415094
1,0,14,1,635.5172418415094
2,1,1,1,639.5993438344128
1,1,15,-1,640.6115389852015
1,0,15,1,640.6115389852015
2,1,1,1,646.5993438344128
2,0,8,-1,649.1281589174047
1,1,10,-1,649.9548664826524
1,0,10,1,649.9548664826524
1,0,8,-1,653.142829627566
1,3,8,1,653.142829627566
2,1,1,1,653.5993438344128
2,0,11,-1,654.3063797211374
2,1,1,1,660.5993438344128
2,0,10,-1,664.3063797211374
1,0,8,-1,664.6794529276868
1,4,8,1,664.6794529276868
2,1,1,1,667.5993438344128
1,1,4,-1,669.1281589174047
2,0,9,-1,671.3063797211374
2,1,1,1,674.5993438344128
1,4,14,-1,678.5175428305315
1,0,14,1,678.5175428305315
1,2,8,-1,680.3063797211374
2,1,1,1,681.5993438344128
2,0,8,1,686.3063797211374
2,0,4,-1,687.1281589174047
2,1,1,1,688.5993438344128
2,0,9,1,693.3063797211374
