elevIndex,direction,floorIndex,latterStatus,time
a1,-1,11,1,9.916163658767971
a1,1,7,0,22.91616365876797
a1,-1,11,0,22.91616365876797
a1,-1,14,1,24.91616365876797
a1,-1,14,0,38.91616365876797
a2,-1,3,1,45.95246624608481
a2,-1,2,1,47.84635030275116
a0,1,3,1,53.19069985029287
a1,1,8,1,55.738151958326156
a1,1,8,1,56.50326350582726
a2,1,10,1,62.026413721920264
a0,1,3,0,66.19069985029287
a0,1,4,1,68.19069985029287
a1,1,8,0,72.73815195832616
a2,1,16,0,72.84635030275116
a2,-1,2,0,72.84635030275116
a0,1,4,0,74.19069985029287
a2,-1,8,1,74.84635030275116
a1,1,10,1,75.73815195832616
a1,1,10,1,75.73815195832616
a2,-1,3,0,80.84635030275116
a2,-1,8,1,82.84635030275116
a1,1,10,0,85.73815195832616
a2,1,10,1,89.73815195832616
a2,-1,0,1,93.78078653807835
a2,-1,4,1,98.46581066582772
a2,-1,8,0,104.84635030275116
a2,1,10,0,107.84635030275116
a2,1,18,1,111.84635030275116
a2,1,12,1,111.84635030275116
a1,-1,8,1,113.84635030275116
a1,-1,8,0,114.84635030275116
a1,-1,12,1,116.84635030275116
a2,1,12,0,121.84635030275116
a1,1,8,1,123.12331422313096
a1,-1,12,0,134.84635030275115
a2,-1,5,1,139.8415792341953
a1,1,8,0,146.84635030275115
a1,1,10,1,147.84635030275115
a2,1,18,0,148.84635030275115
a2,-1,0,0,149.84635030275115
a2,-1,8,1,150.84635030275115
a1,1,10,0,157.84635030275115
a2,1,10,1,159.84635030275115
a2,-1,4,0,168.84635030275115
a2,-1,8,1,169.84635030275115
a2,-1,5,0,175.84635030275115
a2,-1,8,1,176.84635030275115
a2,-1,0,1,185.2917372766533
a0,1,0,1,187.56435463843508
a2,-1,8,0,190.84635030275115
a2,1,10,0,192.84635030275115
a2,1,14,1,194.84635030275115
a1,-1,8,1,198.84635030275115
a1,-1,8,0,199.84635030275115
a1,-1,11,1,203.84635030275115
a1,-1,14,1,203.84635030275115
a1,-1,14,1,203.84635030275115
a0,-1,18,0,204.56435463843508
a0,1,0,0,204.56435463843508
a0,1,4,1,206.56435463843508
a2,1,14,0,212.84635030275115
a1,-1,11,0,217.84635030275115
a0,1,4,0,224.56435463843508
a1,1,4,1,226.56435463843508
a2,1,18,0,232.84635030275115
a2,-1,0,0,232.84635030275115
a1,-1,14,0,233.84635030275115
a2,-1,8,1,233.84635030275115
a1,1,4,0,236.84635030275115
a1,1,10,1,240.84635030275115
a1,1,5,1,240.84635030275115
a0,-1,14,1,242.84635030275115
a0,-1,14,0,243.84635030275115
a0,-1,15,1,244.84635030275115
a1,1,5,0,246.84635030275115
a0,-1,15,0,250.84635030275115
a2,-1,5,1,251.7537201033976
a0,-1,18,1,253.84635030275115
a2,-1,5,0,256.7537201033976
a2,-1,8,1,258.7537201033976
a0,-1,18,0,267.84635030275115
a1,1,10,0,270.84635030275115
a2,-1,8,0,272.7537201033976
a1,-1,8,1,279.7537201033976
a1,-1,8,0,280.7537201033976
a1,-1,14,1,284.7537201033976
a1,-1,14,1,284.7537201033976
a0,1,0,1,302.45006279076057
a0,1,0,0,303.45006279076057
a0,1,4,1,304.45006279076057
a1,-1,14,0,310.7537201033976
a0,1,4,0,322.45006279076057
a1,-1,9,1,324.3471889218945
a1,1,8,1,329.73076802241224
a1,1,8,1,330.0590465140326
a1,1,4,1,330.45006279076057
a1,-1,12,1,333.01674038203413
a1,1,5,1,336.7541205346067
a2,1,10,1,337.8106724984027
a2,1,10,0,338.8106724984027
a1,1,8,0,342.73076802241224
a2,1,18,1,342.8106724984027
a2,1,15,1,342.8106724984027
a1,1,10,1,345.73076802241224
a1,1,10,1,345.73076802241224
a1,1,10,0,355.73076802241224
a2,1,10,1,356.73076802241224
a1,-1,9,0,362.73076802241224
a1,-1,14,1,364.73076802241224
a1,-1,14,1,364.73076802241224
a2,1,15,0,364.8106724984027
a1,-1,11,1,366.5048830357381
a0,-1,14,1,367.4746992736147
a0,-1,14,0,368.4746992736147
a1,1,8,1,368.9774654502493
a1,1,4,1,370.23525119892605
a0,-1,18,1,370.4746992736147
a1,-1,11,0,375.5048830357381
a1,-1,14,1,376.5048830357381
a2,-1,5,1,377.66779051848533
a1,1,8,1,379.54688889194273
a2,1,18,0,380.8106724984027
a1,-1,12,0,382.5048830357381
a1,-1,14,1,384.5048830357381
a0,-1,18,0,388.4746992736147
a1,-1,14,0,394.5048830357381
a0,1,3,1,396.1634281942406
a1,1,4,0,398.5048830357381
a0,-1,14,1,398.5048830357381
a0,-1,14,1,398.74910792576856
a1,1,8,1,403.5048830357381
a1,1,10,1,403.5048830357381
a1,1,8,1,403.5048830357381
a1,1,10,1,403.5048830357381
a2,-1,5,0,404.8106724984027
a1,-1,8,1,405.5617721014852
a2,-1,8,1,406.8106724984027
a0,1,3,0,409.1634281942406
a1,1,5,0,409.5048830357381
a1,1,10,1,410.5048830357381
a0,1,4,1,411.1634281942406
a0,1,4,0,417.1634281942406
a0,-1,14,0,419.1634281942406
a1,1,4,1,419.1634281942406
a2,-1,8,0,420.8106724984027
a2,1,10,0,421.8106724984027
a1,-1,8,1,421.8106724984027
a1,1,8,0,424.5048830357381
a2,1,13,1,424.8106724984027
a2,1,18,1,424.8106724984027
a0,-1,15,1,425.1634281942406
a0,-1,15,1,425.1634281942406
a0,-1,18,1,425.1634281942406
a1,1,10,1,430.5048830357381
a1,1,10,1,430.5048830357381
a0,-1,15,0,431.1634281942406
a2,1,13,0,438.8106724984027
a1,1,10,0,440.5048830357381
a1,-1,8,0,442.5048830357381
a2,1,10,1,442.5048830357381
a0,1,0,1,444.24248140219066
a1,-1,14,1,445.5048830357381
a1,-1,14,1,445.5048830357381
a0,-1,18,0,449.1634281942406
a0,1,0,0,451.1634281942406
a0,1,4,1,453.1634281942406
a2,-1,4,1,457.02079473130334
a2,1,18,0,462.8106724984027
a0,1,4,0,471.1634281942406
a1,-1,14,0,471.5048830357381
a1,1,4,0,475.5048830357381
a1,1,10,1,478.5048830357381
a1,1,8,1,478.5048830357381
a2,-1,4,0,482.8106724984027
a2,-1,8,1,484.8106724984027
a2,-1,8,1,484.8106724984027
a1,1,8,1,492.2902890947639
a1,-1,10,1,493.059282424626
a1,1,8,0,496.5048830357381
a1,1,10,1,498.5048830357381
a2,-1,8,0,502.8106724984027
a2,1,10,0,504.8106724984027
a1,-1,8,1,504.8106724984027
a0,-1,15,1,506.0979385393428
a1,1,10,0,508.5048830357381
a1,-1,8,0,510.5048830357381
a0,-1,15,0,511.0979385393428
a1,-1,14,1,511.5048830357381
a0,-1,18,1,513.0979385393427
a2,1,18,1,514.8106724984027
a2,1,15,1,514.8106724984027
a2,1,13,1,514.8106724984027
a2,1,12,1,514.8106724984027
a2,1,11,1,514.8106724984027
a2,1,17,1,514.8106724984027
a2,1,16,1,514.8106724984027
a2,1,11,0,520.8106724984027
a1,-1,10,0,521.5048830357381
a2,1,18,1,522.8106724984027
a1,-1,14,1,523.5048830357381
a0,-1,18,0,527.0979385393427
a2,1,12,0,528.8106724984027
a0,1,1,1,533.5993438344128
a2,1,13,0,535.8106724984027
a0,1,1,0,538.5993438344128
a0,1,4,1,540.5993438344128
a1,-1,14,0,541.5048830357381
a2,1,15,0,546.8106724984027
a0,1,3,1,547.9862101677368
a0,1,0,1,548.4561402398011
a2,-1,4,1,549.5560593802793
a0,1,3,0,552.9862101677368
a2,1,16,0,553.8106724984027
a0,1,4,1,554.9862101677368
a1,1,6,1,560.4885001436191
a2,1,17,0,560.8106724984027
a0,1,4,0,560.9862101677368
a0,1,0,1,564.5586072164367
a2,1,18,0,567.8106724984027
a1,1,6,0,569.4885001436191
a1,1,8,1,573.4885001436191
a1,1,7,1,573.4885001436191
a1,1,7,0,579.4885001436191
a0,-1,18,0,580.9862101677368
a0,1,0,0,580.9862101677368
a1,1,10,1,581.4885001436191
a0,1,4,1,582.9862101677368
a0,1,4,1,582.9862101677368
a1,1,8,0,587.4885001436191
a2,-1,4,0,588.8106724984027
a1,1,6,1,590.715711509145
a2,-1,8,1,590.8106724984027
a0,-1,15,1,592.059073443811
a1,1,10,0,598.4885001436191
a2,1,10,1,599.4885001436191
a0,1,4,0,600.9862101677368
a1,1,4,1,601.9862101677368
a1,1,8,1,602.9296481461996
a2,-1,5,1,604.8731266737353
a1,-1,13,1,607.1281589174047
a0,-1,15,0,607.9862101677368
a2,-1,8,0,608.8106724984027
a2,1,10,0,609.8106724984027
a1,-1,8,1,609.8106724984027
a0,-1,17,1,609.9862101677368
a2,1,13,1,610.8106724984027
a0,1,0,1,612.2151429056264
a0,-1,17,0,619.9862101677368
a2,-1,7,1,623.37020489756
a1,-1,13,0,624.1281589174047
a2,1,13,0,624.8106724984027
a1,-1,14,1,625.1281589174047
a2,-1,5,0,626.8106724984027
a0,-1,18,0,626.9862101677368
a0,1,0,0,626.9862101677368
a0,1,4,1,628.9862101677368
a2,-1,8,1,629.8106724984027
a2,-1,8,1,629.8106724984027
a1,-1,14,0,631.1281589174047
a1,1,4,0,633.1281589174047
a0,-1,14,1,633.1281589174047
a1,1,8,1,639.1281589174047
a1,1,10,1,639.1281589174047
a1,1,8,1,639.1281589174047
a1,1,10,1,639.1281589174047
a2,-1,7,0,639.8106724984027
a2,-1,8,1,640.8106724984027
a1,-1,8,1,641.454779387129
a2,-1,3,1,643.5458770276025
a2,-1,8,0,646.8106724984027
a0,1,4,0,646.9862101677368
a0,-1,14,0,648.9862101677368
a1,1,6,0,649.1281589174047
a0,-1,15,1,649.9862101677368
a1,1,10,1,650.1281589174047
a0,-1,15,0,655.9862101677368
a1,1,8,0,660.1281589174047
a1,1,10,1,663.1281589174047
a2,1,15,0,671.8106724984027
a2,-1,3,0,671.8106724984027
a1,1,10,0,673.1281589174047
a2,-1,8,1,674.8106724984027
a2,-1,8,1,674.8106724984027
a1,-1,8,0,675.1281589174047
a1,-1,11,1,682.1281589174047
a1,-1,14,1,682.1281589174047
a1,-1,14,1,682.1281589174047
a1,-1,12,1,682.1281589174047
a2,-1,6,1,694.1584500538651
a0,1,3,1,694.558805880678
a0,1,3,0,695.558805880678
a1,-1,11,0,696.1281589174047
a2,-1,8,0,696.8106724984027
a0,1,4,1,699.558805880678
a0,1,4,1,699.558805880678
a1,-1,12,0,703.1281589174047
a0,1,4,0,705.558805880678
a1,1,5,1,706.6078858108476
a1,1,4,1,707.558805880678
a2,1,12,0,707.8106724984027
a2,-1,6,0,707.8106724984027
a2,-1,8,1,711.8106724984027
a2,-1,8,1,711.8106724984027
a1,-1,14,0,714.1281589174047
a1,1,4,0,716.1281589174047
a2,-1,8,0,721.8106724984027
a1,1,6,1,722.1281589174047
a1,1,10,1,722.1281589174047
a1,1,10,1,722.1281589174047
a1,-1,8,1,723.8106724984027
a1,1,6,1,726.1366324582203
a1,1,5,0,728.1281589174047
a1,1,10,1,730.1281589174047
a1,1,8,1,731.2139241917496
a1,1,6,0,736.1281589174047
a1,1,10,1,738.1281589174047
a1,-1,8,1,746.7304939231733
a1,1,8,1,747.0184518426095
a1,1,8,0,748.1281589174047
a1,1,10,1,752.1281589174047
a1,1,9,1,752.1281589174047
a1,1,9,0,758.1281589174047
a1,1,10,1,761.1281589174047
a1,1,10,0,767.1281589174047
a2,-1,0,1,771.4559840874356
a1,-1,8,0,773.1281589174047
a2,1,10,1,779.1281589174047
a1,-1,14,1,780.1281589174047
a1,-1,14,1,780.1281589174047
a1,-1,14,1,780.1281589174047
a1,-1,14,1,780.1281589174047
a1,-1,14,1,780.1281589174047
a0,1,0,1,785.8258372350318
a2,-1,1,1,795.6334581683627
a1,-1,11,1,799.9109517099234
a0,1,3,1,801.5830297103043
a0,-1,18,0,802.8258372350318
a0,1,0,0,802.8258372350318
a2,1,18,0,804.4559840874356
a2,-1,0,0,804.4559840874356
