action,direction,floorIndex,riderNumAfter,time
1,1,11,1,14.273677566883675
1,1,10,1,43.04047502689029
1,-1,15,1,50.623297666843925
1,1,3,1,60.747367551055014
1,1,4,1,64.73600776005213
1,1,14,1,66.12499882316051
2,-1,2,0,70.74736755105502
2,1,3,0,72.74736755105502
2,1,10,0,84.04047502689029
2,1,4,0,85.74736755105502
2,1,11,0,96.04047502689029
1,1,10,1,97.31994597081126
1,-1,9,1,99.58232463128974
1,-1,14,1,104.70469731969763
2,1,13,0,117.04047502689029
1,1,13,1,117.04047502689029
2,1,8,0,126.74736755105502
1,1,8,1,126.74736755105502
1,-1,15,2,135.81675645815088
2,1,13,0,148.0404750268903
2,-1,9,0,149.0404750268903
2,1,14,0,160.0404750268903
2,-1,7,0,170.0404750268903
1,-1,7,1,170.0404750268903
2,1,15,0,171.0404750268903
2,1,8,0,172.0404750268903
2,-1,7,0,172.0404750268903
1,-1,3,1,179.6070911079127
2,1,16,0,181.0404750268903
2,-1,15,0,184.0404750268903
2,1,10,0,194.0404750268903
1,-1,11,1,195.20573652489253
2,-1,14,0,197.0404750268903
1,1,7,1,204.36740547935963
2,-1,3,0,215.0404750268903
2,1,12,0,215.0404750268903
2,-1,12,0,218.0404750268903
1,-1,12,1,218.0404750268903
2,1,13,0,225.0404750268903
2,-1,2,0,226.0404750268903
1,-1,14,1,226.71619806506789
2,-1,12,0,227.0404750268903
2,-1,11,0,239.0404750268903
2,1,15,0,246.71619806506789
2,-1,14,0,247.71619806506789
1,1,0,1,255.54413562950646
2,1,7,0,268.0404750268903
2,-1,12,0,268.7161980650679
1,-1,12,1,268.7161980650679
2,-1,12,1,268.7161980650679
1,-1,6,1,274.6400793414322
2,1,8,0,279.0404750268903
1,1,8,1,279.0404750268903
2,-1,7,0,280.0404750268903
1,-1,7,1,280.0404750268903
2,-1,7,0,282.0404750268903
1,-1,8,1,292.785265508827
2,-1,6,0,294.0404750268903
2,1,9,0,302.785265508827
2,-1,8,0,303.785265508827
2,-1,5,0,305.0404750268903
2,-1,7,0,314.785265508827
1,-1,7,1,314.785265508827
2,-1,7,1,314.785265508827
1,1,4,1,316.6208325510384
1,-1,8,1,318.3865039910745
1,1,3,1,319.38846966984323
2,-1,3,0,325.0404750268903
2,1,9,0,328.3865039910745
2,-1,8,0,330.3865039910745
1,-1,15,1,339.37639931074625
2,-1,7,1,341.3865039910745
1,-1,7,2,341.3865039910745
2,-1,7,2,341.3865039910745
1,-1,0,1,341.7652730416495
1,-1,13,1,346.3247016039962
1,-1,16,1,360.7257020861333
1,-1,8,1,361.4133465786569
2,-1,0,0,363.7652730416495
1,1,3,2,364.76939576462627
2,1,9,0,371.4133465786569
2,-1,8,0,372.4133465786569
1,-1,7,3,372.7557795011752
2,1,0,0,375.7652730416495
1,1,3,3,377.37606478401113
2,1,17,0,380.7257020861333
2,-1,16,0,381.7257020861333
2,-1,7,3,383.4133465786569
1,-1,7,4,383.4133465786569
2,-1,15,0,393.7257020861333
1,1,0,1,396.41485844979627
2,1,3,0,412.7652730416495
1,-1,14,1,414.3081653472776
2,-1,13,0,415.7257020861333
1,-1,7,5,416.23157099449884
2,-1,7,5,416.23157099449884
2,-1,12,1,426.7257020861333
1,-1,12,2,426.7257020861333
2,1,4,0,427.7652730416495
1,1,3,1,431.27370621962007
1,-1,4,1,445.96260990230684
2,1,15,0,446.7257020861333
2,-1,14,0,447.7257020861333
2,1,6,0,448.7652730416495
1,-1,15,1,454.06525301833256
2,1,7,0,458.7652730416495
1,-1,8,1,459.22689284370034
2,-1,12,2,468.7257020861333
1,-1,12,3,468.7257020861333
2,1,8,1,468.7652730416495
1,-1,16,1,470.94218632288886
1,1,4,1,475.79743134569287
2,1,13,0,476.7257020861333
2,-1,7,0,476.7652730416495
1,1,9,1,478.80408888206
2,-1,12,0,481.7257020861333
1,-1,7,1,485.5076210823233
2,-1,6,0,491.7652730416495
1,-1,7,2,500.8932811681074
2,-1,10,0,504.7257020861333
2,1,17,0,510.94218632288886
1,-1,15,2,511.7508511620026
2,-1,16,0,511.94218632288886
2,-1,4,0,512.7652730416495
2,-1,15,0,525.9421863228888
2,-1,8,0,526.7257020861333
1,-1,11,1,529.8315626384097
2,-1,2,0,533.7652730416495
2,-1,7,2,537.7257020861333
1,-1,7,3,537.7257020861333
1,1,1,1,541.3585508852508
1,1,14,1,541.4187888799943
2,1,9,0,549.7257020861333
2,-1,12,0,557.9421863228888
1,-1,12,2,557.9421863228888
2,1,0,0,564.7652730416495
2,1,14,0,568.9421863228888
2,1,1,0,576.7652730416495
1,-1,13,1,581.130433257376
2,1,16,0,589.9421863228888
2,1,13,0,590.7257020861333
1,1,13,1,590.7257020861333
2,1,3,0,599.7652730416495
2,-1,11,0,601.7257020861333
1,-1,11,1,608.8628090675242
1,1,3,1,609.2331055684238
2,1,3,0,611.2331055684238
2,-1,11,0,611.8628090675242
2,-1,13,0,611.9421863228888
2,-1,12,2,622.9421863228888
1,-1,12,3,622.9421863228888
2,-1,12,3,622.9421863228888
2,1,4,0,624.2331055684238
1,1,3,1,637.2103036151688
1,1,1,1,642.9223216923745
1,1,11,1,647.5404622730862
1,1,7,1,649.0764902358202
2,-1,7,3,652.8628090675242
1,-1,7,4,652.8628090675242
1,-1,2,1,659.970838701644
1,1,11,2,660.5942407426343
2,1,7,0,661.0764902358202
1,1,3,2,665.0415216976627
2,1,8,1,672.0764902358202
1,1,8,2,672.0764902358202
1,1,8,3,679.3858528356885
2,1,11,0,685.8628090675242
1,-1,5,1,696.9741293668999
2,-1,5,0,697.9741293668999
1,-1,16,1,702.3929576006683
2,1,13,1,707.8628090675242
1,1,13,3,707.8628090675242
1,1,13,4,708.0989259301937
1,1,4,1,710.4757694952591
1,-1,5,1,726.3137269258605
1,1,8,4,729.1732107605712
2,-1,2,0,729.9741293668999
1,-1,15,1,739.4910022035103
2,1,17,0,742.3929576006683
2,-1,16,0,744.3929576006683
1,-1,16,1,747.3238951973434
2,-1,16,0,749.3238951973434
2,-1,0,0,750.9741293668999
2,-1,7,4,757.8628090675242
2,-1,15,0,762.3238951973434
1,-1,10,1,770.694276506005
1,1,3,3,770.7416142473973
2,1,1,0,772.9741293668999
1,-1,7,5,780.2905563996841
1,-1,5,2,781.8607363357655
1,1,4,2,783.3374648951176
1,-1,12,4,787.2841300241547
2,-1,12,4,793.3238951973434
1,-1,12,5,793.3238951973434
1,1,9,1,795.289337654591
2,1,3,0,797.9741293668999
2,1,13,4,807.8628090675242
2,1,4,0,812.9741293668999
2,-1,12,0,815.8628090675242
1,-1,9,1,817.292574960167
2,-1,11,0,830.8628090675242
2,-1,10,0,841.8628090675242
2,1,7,0,844.9741293668999
2,-1,9,0,853.8628090675242
2,1,8,4,854.9741293668999
2,-1,7,5,874.8628090675242
1,-1,7,6,874.8628090675242
2,-1,5,0,877.9741293668999
2,1,9,0,886.8628090675242
1,-1,3,1,887.3251111699178
2,-1,4,0,889.9741293668999
2,-1,3,0,901.9741293668999
1,1,3,1,911.8732072717714
1,-1,6,1,916.3099927555036
2,1,12,0,917.8628090675242
1,-1,7,7,918.2308328286957
1,1,4,1,929.7616388231137
1,1,12,1,932.5023004670909
1,1,6,1,944.7193491474659
1,-1,13,1,946.2817115614228
2,1,14,0,956.2817115614228
2,-1,13,0,957.2817115614228
2,-1,7,7,957.8628090675242
1,1,0,1,959.6857964329048
2,-1,12,0,968.2817115614228
1,-1,12,1,968.2817115614228
2,1,3,0,974.9741293668999
2,1,4,0,987.9741293668999
1,1,10,1,992.440791376066
2,1,12,0,998.8628090675242
2,1,13,4,1009.8628090675242
1,1,13,5,1009.8628090675242
2,1,6,0,1010.9741293668999
2,-1,12,0,1011.8628090675242
2,1,13,0,1016.8628090675242
1,1,15,1,1019.6396097185611
1,-1,13,1,1028.6258542589947
1,1,4,1,1028.6321937210068
2,1,14,0,1031.8628090675243
2,1,8,4,1031.9741293669
1,1,3,1,1041.1706665795184
2,1,15,0,1042.8628090675243
2,-1,6,0,1043.9741293669
2,1,16,0,1053.8628090675243
2,-1,5,0,1054.9741293669
1,1,8,5,1060.2704931233563
2,-1,7,7,1062.8628090675243
1,-1,7,8,1062.8628090675243
2,1,17,0,1063.8628090675243
1,-1,16,1,1071.915912839382
2,-1,16,0,1073.915912839382
1,-1,15,1,1076.0330161237973
1,-1,12,1,1077.8206051665247
2,1,10,0,1083.8628090675243
1,1,0,2,1085.0908746071987
2,-1,15,0,1088.0330161237973
1,-1,5,1,1102.5795258904748
1,-1,0,1,1107.8815841364922
2,-1,0,0,1108.8815841364922
2,-1,13,0,1110.0330161237973
2,1,13,0,1114.8628090675243
1,1,13,1,1114.8628090675243
1,-1,2,1,1116.122506167521
1,1,3,2,1118.0308977662655
2,-1,12,1,1121.0330161237973
1,-1,12,2,1121.0330161237973
2,1,0,0,1121.8815841364922
2,-1,12,0,1124.0330161237973
1,1,4,2,1138.5124538187572
1,-1,6,1,1144.1505297318884
1,-1,10,1,1157.6853246590706
2,1,3,0,1157.8815841364922
1,-1,11,1,1170.2082850431725
2,1,4,0,1172.8815841364922
2,-1,7,8,1176.0330161237973
1,-1,7,10,1176.0330161237973
1,-1,8,1,1179.3446250170402
1,1,12,1,1198.0563451179682
1,-1,8,2,1210.1543221017118
2,1,8,5,1214.8815841364922
1,1,8,7,1214.8815841364922
2,1,12,0,1219.0563451179682
1,1,10,1,1225.537674490567
2,-1,6,0,1226.8815841364922
1,-1,12,1,1229.053079863817
2,-1,12,1,1229.053079863817
2,1,13,1,1230.0563451179682
1,1,13,2,1230.0563451179682
2,1,13,0,1234.0563451179682
2,-1,5,0,1239.8815841364922
2,-1,11,0,1242.0563451179682
1,1,11,1,1246.964663979171
2,-1,10,0,1255.0563451179682
1,-1,3,1,1259.0464435217293
1,-1,5,1,1260.2508776983093
2,-1,3,0,1271.0464435217293
1,1,0,1,1275.3637905886453
2,1,17,0,1276.0563451179682
2,-1,8,0,1279.0563451179682
2,-1,2,0,1284.0464435217293
1,-1,0,1,1290.3673320055277
2,-1,7,10,1291.0563451179682
1,-1,7,12,1291.0563451179682
1,1,8,8,1291.7357381933152
1,-1,7,13,1292.1823958389768
1,-1,15,1,1295.6196309229354
1,-1,13,1,1303.9413402169403
2,-1,0,0,1306.0464435217293
2,1,10,0,1313.0563451179682
1,1,17,1,1313.7279564356115
1,-1,14,1,1315.6480127400882
2,-1,15,0,1317.6196309229354
2,1,0,0,1319.0464435217293
2,1,11,0,1326.0563451179682
2,-1,14,0,1330.6196309229354
2,-1,13,0,1343.6196309229354
1,1,7,1,1346.1833739660838
2,1,13,0,1347.0563451179682
1,1,13,1,1347.0563451179682
2,1,3,0,1350.0464435217293
2,-1,12,1,1354.6196309229354
1,-1,12,2,1354.6196309229354
1,-1,6,1,1364.0285831388146
1,1,0,1,1375.257807049316
1,1,3,1,1379.4534583125974
1,-1,10,1,1384.295916450608
1,1,13,2,1387.6719514479873
2,1,7,0,1391.0464435217293
1,1,7,1,1393.5070866264887
2,1,7,0,1396.5070866264887
2,1,17,0,1396.6196309229354
2,-1,7,13,1397.0563451179682
2,1,8,8,1407.5070866264887
1,1,8,9,1407.5070866264887
2,-1,6,0,1419.5070866264887
1,-1,8,1,1421.6281232023857
1,1,14,1,1424.744082387937
1,1,10,1,1424.7535904393703
2,1,10,0,1426.7535904393703
2,-1,5,0,1431.5070866264887
2,1,11,0,1437.7535904393703
2,-1,12,2,1457.6196309229354
2,1,13,2,1457.7535904393703
1,-1,7,14,1459.0127567303227
2,-1,2,0,1462.5070866264887
1,1,4,1,1464.665091743327
2,1,14,0,1469.6196309229354
2,-1,10,0,1479.7535904393703
2,1,15,0,1480.6196309229354
1,-1,2,1,1483.4426755504883
2,1,0,0,1494.5070866264887
1,1,15,1,1501.63562824793
2,-1,8,0,1501.7535904393703
2,1,15,0,1503.63562824793
1,1,4,2,1504.6686811957702
1,-1,9,1,1507.521237686361
2,-1,7,14,1512.7535904393703
1,-1,7,15,1512.7535904393703
1,-1,14,1,1517.3255201995546
1,-1,6,1,1521.241815744138
1,1,0,1,1524.159033628368
2,1,17,0,1524.63562824793
2,1,3,0,1527.5070866264887
2,1,10,0,1532.7535904393703
2,-1,9,0,1533.7535904393703
2,1,4,0,1542.5070866264887
1,-1,7,16,1544.3671403501498
1,1,8,10,1544.6902549728236
2,-1,14,0,1546.63562824793
1,-1,10,1,1549.6101551337842
2,-1,7,16,1554.7535904393703
1,-1,7,17,1554.7535904393703
2,1,6,0,1564.5070866264887
2,-1,12,2,1567.63562824793
1,-1,12,3,1567.63562824793
2,1,8,10,1584.5070866264887
1,1,6,1,1590.4459523783391
2,-1,6,0,1595.5070866264887
1,-1,11,1,1600.9066329815075
2,1,13,2,1607.63562824793
2,-1,12,0,1611.63562824793
2,-1,11,0,1626.63562824793
1,-1,14,1,1631.2424748587491
1,1,7,1,1631.7755198706425
1,1,3,1,1636.4593497683218
2,-1,2,0,1638.5070866264887
2,-1,10,0,1639.63562824793
1,1,12,1,1646.0459003966084
1,1,10,1,1649.165173526148
2,1,15,0,1651.2424748587491
2,-1,14,0,1652.2424748587491
2,-1,7,17,1670.63562824793
1,-1,7,18,1670.63562824793
2,1,0,0,1671.5070866264887
2,-1,12,0,1673.2424748587491
1,-1,12,1,1673.2424748587491
2,1,1,0,1682.5070866264887
2,1,10,0,1692.63562824793
2,1,3,0,1703.5070866264887
1,1,0,1,1706.601919195539
2,1,12,0,1714.63562824793
2,1,13,2,1725.63562824793
2,-1,12,0,1727.63562824793
1,1,9,1,1728.6800935564715
2,1,6,0,1736.5070866264887
1,-1,13,1,1740.5315223279129
1,1,4,1,1742.5218654955188
2,1,7,0,1748.5070866264887
2,1,14,0,1750.5315223279129
2,-1,13,0,1752.5315223279129
1,-1,3,1,1754.9364970285083
2,1,8,10,1759.5070866264887
1,1,8,11,1759.5070866264887
2,-1,12,0,1763.5315223279129
1,-1,7,19,1765.3263435562603
1,-1,14,1,1767.5821743193806
1,1,8,12,1770.637440933166
1,1,8,13,1776.0251756981902
2,-1,7,19,1778.63562824793
1,-1,7,20,1778.63562824793
2,1,15,0,1787.5821743193806
2,-1,14,0,1789.5821743193806
2,1,9,0,1790.63562824793
2,-1,3,0,1801.5070866264887
1,1,4,2,1810.294516753987
2,-1,12,0,1810.5821743193806
1,-1,12,1,1810.5821743193806
1,1,6,1,1811.180960903751
2,1,13,2,1831.63562824793
1,1,13,3,1831.63562824793
2,-1,12,0,1833.63562824793
2,1,13,0,1835.63562824793
2,1,0,0,1844.5070866264887
2,1,14,0,1848.63562824793
1,1,8,14,1848.8072716137033
1,-1,13,1,1854.2309575706354
1,1,0,1,1863.4643443182083
1,1,3,1,1870.5046388169749
2,1,3,0,1876.5070866264887
2,1,17,0,1878.63562824793
1,-1,15,1,1881.3503201017274
1,1,9,1,1884.2239630921215
1,-1,14,1,1884.5261102398072
2,-1,7,20,1884.63562824793
1,-1,7,21,1884.63562824793
2,1,4,0,1889.5070866264887
2,-1,15,0,1893.3503201017274
2,1,9,0,1895.63562824793
1,-1,16,1,1902.7134302045097
1,-1,11,1,1912.4912611988143
2,1,6,0,1912.5070866264887
2,-1,13,0,1915.3503201017274
2,-1,12,0,1926.3503201017274
1,-1,8,1,1931.158597705999
2,1,8,14,1933.5070866264887
1,1,8,15,1933.5070866264887
2,1,13,0,1936.63562824793
1,1,13,1,1936.63562824793
2,-1,11,0,1947.63562824793
2,1,17,0,1966.3503201017274
2,-1,16,0,1968.3503201017274
2,-1,8,0,1980.63562824793
1,1,8,16,1982.7429843513637
2,-1,7,21,1991.63562824793
1,-1,7,22,1991.63562824793
1,-1,15,1,2000.6210564839196
1,-1,7,23,2001.5956982873458
2,-1,12,0,2009.3503201017274
1,-1,12,1,2009.3503201017274
2,1,0,0,2014.5070866264887
1,1,13,2,2025.6908490984133
2,1,16,0,2039.3503201017274
2,-1,15,0,2040.3503201017274
2,1,13,2,2041.63562824793
1,-1,8,1,2057.2392836594104
1,-1,5,1,2057.833354205345
1,-1,10,1,2069.519763940374
2,-1,12,1,2071.3503201017274
1,-1,12,2,2071.3503201017274
2,-1,12,2,2071.3503201017274
2,-1,10,0,2071.519763940374
2,-1,8,0,2094.519763940374
2,1,8,16,2095.5070866264887
1,1,8,17,2095.5070866264887
1,1,0,1,2102.970956284933
2,-1,7,23,2105.519763940374
1,-1,7,24,2105.519763940374
2,-1,7,24,2105.519763940374
1,1,4,1,2114.8664037936474
2,-1,5,0,2116.5070866264887
1,1,0,2,2117.0260961877334
2,-1,3,0,2137.5070866264887
2,1,0,0,2179.5070866264887
1,-1,16,1,2188.268910080198
1,-1,13,1,2194.1297512555284
1,1,10,1,2211.49500826271
1,-1,2,1,2219.7563852710473
2,1,4,0,2223.5070866264887
1,1,7,1,2224.196211389977
1,1,8,18,2224.6217002269786
1,1,13,3,2227.936022001781
2,1,17,0,2228.268910080198
2,-1,16,0,2229.268910080198
2,1,10,0,2233.49500826271
