,policy,waiting_time,journey_time,count_floor,count_stop,count_wasted
0,v2-1,253.94669817599998,301.06598026000006,418.16,50.82,46.16
1,v2-10,144.12449519309996,167.1676141463,682.23,31.87,268.41
2,v2-11,169.83952950190005,196.5918160965,651.23,18.15,328.84
3,v2-13,211.86068345299998,244.07939499600002,667.77,32.63,293.14
4,v2-14,232.699227404,269.446238991,590.76,51.02,278.95
5,v2-15,247.85875771759996,288.1385652096,531.88,82.95,288.2
6,v2-16,265.04480456699997,309.72467995700003,437.97,98.69,268.75
7,v2-17,285.841877334,336.243994892,408.04,82.64,158.13
8,v2-2,249.598137904,296.56748127199995,427.15,50.49,46.24
9,v2-3,210.73642329500007,258.84145812200006,513.88,35.73,0.06
10,v2-4,215.604928922,263.509486638,514.52,35.94,0.05
11,v2-5,203.79635963999996,248.09765192400002,487.69,69.75,28.74
12,v2-6,187.29704025389998,229.17103369100002,555.55,87.43,43.82
13,v2-7,183.56076564399999,224.72185870300004,605.87,79.21,76.54
14,v2-8,103.61162307340001,123.22955091660002,652.52,40.12,259.74
15,v2-9,122.7661214027,143.4071369212,666.93,38.1,280.54
16,v2-all_available,212.762134468,256.713898802,700.35,34.43,5.39
17,v2-odd_even_division,244.652712519,289.526435857,715.85,61.9,30.16
0,"v1-1,10",320.8146245,451.0013386,1981.0,168.66666666666666,0.7777777776666666
1,"v1-1,11",392.41169736666666,527.9792864333334,1796.0,169.66666666666666,1.2222222219999999
2,"v1-1,12",462.89597376666666,613.5790086,1486.3333333333333,162.33333333333334,0.6666666666666666
3,"v1-1,13",821.3882244,1015.9956560666666,1125.0,124.33333333333333,1.4444444443333333
4,"v1-1,14",770.6581251333333,962.5190995333336,1033.3333333333333,96.0,0.5555555553333335
5,"v1-1,2",578.4011586666667,730.8975253333333,1409.3333333333333,189.33333333333334,4.111111111
6,"v1-1,3",470.0225485,613.1875134666667,1843.0,213.66666666666666,4.444444444333333
7,"v1-1,4",368.6763936666666,496.0492341000001,2221.3333333333335,191.0,7.222222221999999
8,"v1-1,5",259.14247236666665,369.7914067666666,2573.0,146.33333333333334,5.888888888666666
9,"v1-1,6",237.4770922,342.59230013999996,2662.6666666666665,120.33333333333333,1.8888888890000002
10,"v1-1,7",212.26445046666663,313.3513550733333,2716.6666666666665,116.0,2.5555555556666665
11,"v1-1,8",278.2094286666666,393.6333690333333,2440.0,126.66666666666667,1.3333333333333333
12,"v1-1,9",274.5600227666667,392.9121350866667,2343.3333333333335,162.66666666666666,1.5555555556666667
13,"v1-10,11",932.8586392666666,1129.6373653666667,1031.3333333333333,152.66666666666666,0.5555555553333333
14,"v1-10,12",712.0009677333334,893.9180313,1078.6666666666667,158.66666666666666,0.44444444433333335
15,"v1-10,13",754.1019195,945.0768066,1047.0,136.0,0.5555555553333335
16,"v1-10,14",924.3211429333334,1120.1518563666668,1034.0,95.66666666666667,0.222222222
17,"v1-11,12",715.8907509000001,901.4593234666667,923.6666666666666,143.0,6.666666668
18,"v1-11,13",1090.2700624666666,1299.2383359333335,789.0,108.0,0.111111111
19,"v1-11,14",809.7474397666666,1005.5824984333334,857.0,85.33333333333333,0.0
20,"v1-12,13",1015.4775522666665,1226.5543905333334,661.0,98.0,0.111111111
21,"v1-12,14",1203.7107469666666,1413.1047015666666,688.0,80.66666666666667,0.44444444433333335
22,"v1-13,14",1551.0924586666667,1787.1370600999999,522.0,46.333333333333336,0.111111111
23,"v1-2,10",265.7268483333333,375.90983946666665,2462.3333333333335,143.66666666666666,1.0
24,"v1-2,11",467.9006400666667,606.7952982333333,1995.0,149.33333333333334,0.5555555553333332
25,"v1-2,12",463.61349880000006,596.9944038333333,1794.3333333333333,142.66666666666666,1.0
