,location,sep_1_floor,sep_2_floor,dataType,data
0,研究大樓,B3,B2,waiting_time,2414.3875525577732
1,研究大樓,B3,B2,journey_time,206.6298785916506
2,研究大樓,B3,B2,count_floor,606.0
3,研究大樓,B3,B2,count_stop,73.0
4,研究大樓,B3,B2,waiting_time,1995.0796911953385
5,研究大樓,B3,B2,journey_time,157.86313093910817
6,研究大樓,B3,B2,count_floor,788.0
7,研究大樓,B3,B2,count_stop,117.0
8,研究大樓,B3,B2,waiting_time,2323.1461801674245
9,研究大樓,B3,B2,journey_time,192.45551280897539
10,研究大樓,B3,B2,count_floor,650.0
11,研究大樓,B3,B2,count_stop,89.0
0,研究大樓,B3,B1,waiting_time,912.2821283844521
1,研究大樓,B3,B1,journey_time,222.5196217336171
2,研究大樓,B3,B1,count_floor,639.0
3,研究大樓,B3,B1,count_stop,91.0
4,研究大樓,B3,B1,waiting_time,1171.176240338185
5,研究大樓,B3,B1,journey_time,219.0276566557729
6,研究大樓,B3,B1,count_floor,659.0
7,研究大樓,B3,B1,count_stop,91.0
8,研究大樓,B3,B1,waiting_time,947.8316097554134
9,研究大樓,B3,B1,journey_time,210.25151119486455
10,研究大樓,B3,B1,count_floor,786.0
11,研究大樓,B3,B1,count_stop,119.0
0,研究大樓,B3,1,waiting_time,954.1914072396496
1,研究大樓,B3,1,journey_time,196.65724439819957
2,研究大樓,B3,1,count_floor,950.0
3,研究大樓,B3,1,count_stop,135.0
4,研究大樓,B3,1,waiting_time,941.948367702764
5,研究大樓,B3,1,journey_time,200.7094663656204
6,研究大樓,B3,1,count_floor,999.0
7,研究大樓,B3,1,count_stop,158.0
8,研究大樓,B3,1,waiting_time,1221.6543877464744
9,研究大樓,B3,1,journey_time,208.6773775208771
10,研究大樓,B3,1,count_floor,934.0
11,研究大樓,B3,1,count_stop,138.0
0,研究大樓,B3,2,waiting_time,314.8551128687038
1,研究大樓,B3,2,journey_time,126.9979422146818
2,研究大樓,B3,2,count_floor,1630.0
3,研究大樓,B3,2,count_stop,178.0
4,研究大樓,B3,2,waiting_time,708.2255036729463
5,研究大樓,B3,2,journey_time,169.43060350618288
6,研究大樓,B3,2,count_floor,1383.0
7,研究大樓,B3,2,count_stop,167.0
8,研究大樓,B3,2,waiting_time,1919.6015999108329
9,研究大樓,B3,2,journey_time,206.6125368544496
10,研究大樓,B3,2,count_floor,1073.0
11,研究大樓,B3,2,count_stop,128.0
0,研究大樓,B3,3,waiting_time,323.06482754475394
1,研究大樓,B3,3,journey_time,127.84683019326948
2,研究大樓,B3,3,count_floor,1841.0
3,研究大樓,B3,3,count_stop,153.0
4,研究大樓,B3,3,waiting_time,991.166476844908
5,研究大樓,B3,3,journey_time,186.54801645216872
6,研究大樓,B3,3,count_floor,1340.0
7,研究大樓,B3,3,count_stop,122.0
8,研究大樓,B3,3,waiting_time,604.1490397845494
9,研究大樓,B3,3,journey_time,165.4302976947441
10,研究大樓,B3,3,count_floor,1516.0
11,研究大樓,B3,3,count_stop,137.0
0,研究大樓,B3,4,waiting_time,728.3302470441446
1,研究大樓,B3,4,journey_time,151.69150695749627
2,研究大樓,B3,4,count_floor,1616.0
3,研究大樓,B3,4,count_stop,112.0
4,研究大樓,B3,4,waiting_time,366.7212200194664
5,研究大樓,B3,4,journey_time,124.17080514133792
6,研究大樓,B3,4,count_floor,1881.0
7,研究大樓,B3,4,count_stop,111.0
8,研究大樓,B3,4,waiting_time,282.0069204312879
9,研究大樓,B3,4,journey_time,119.7467420781416
