,location,policy,dataType,data
0,研究大樓,v2-1,waiting_time,246.3458108
1,研究大樓,v2-1,journey_time,294.0763592
2,研究大樓,v2-1,count_floor,496
3,研究大樓,v2-1,count_stop,100
4,研究大樓,v2-1,count_wasted,21
5,研究大樓,v2-1,waiting_time,224.9658547
6,研究大樓,v2-1,journey_time,272.7818625
7,研究大樓,v2-1,count_floor,410
8,研究大樓,v2-1,count_stop,17
9,研究大樓,v2-1,count_wasted,6
10,研究大樓,v2-1,waiting_time,253.6073709
11,研究大樓,v2-1,journey_time,298.8609276
12,研究大樓,v2-1,count_floor,380
13,研究大樓,v2-1,count_stop,4
14,研究大樓,v2-1,count_wasted,8
15,研究大樓,v2-1,waiting_time,233.1676934
16,研究大樓,v2-1,journey_time,273.7785668
17,研究大樓,v2-1,count_floor,462
18,研究大樓,v2-1,count_stop,29
19,研究大樓,v2-1,count_wasted,10
20,研究大樓,v2-1,waiting_time,234.2181522
21,研究大樓,v2-1,journey_time,283.5229574
22,研究大樓,v2-1,count_floor,516
23,研究大樓,v2-1,count_stop,167
24,研究大樓,v2-1,count_wasted,22
25,研究大樓,v2-1,waiting_time,301.4849138
26,研究大樓,v2-1,journey_time,357.9603759
27,研究大樓,v2-1,count_floor,457
28,研究大樓,v2-1,count_stop,151
29,研究大樓,v2-1,count_wasted,213
30,研究大樓,v2-1,waiting_time,297.8056584
31,研究大樓,v2-1,journey_time,344.5824194
32,研究大樓,v2-1,count_floor,358
33,研究大樓,v2-1,count_stop,10
34,研究大樓,v2-1,count_wasted,2
35,研究大樓,v2-1,waiting_time,221.3066875
36,研究大樓,v2-1,journey_time,269.1241774
37,研究大樓,v2-1,count_floor,413
38,研究大樓,v2-1,count_stop,21
39,研究大樓,v2-1,count_wasted,8
40,研究大樓,v2-1,waiting_time,212.1856509
41,研究大樓,v2-1,journey_time,257.3499792
42,研究大樓,v2-1,count_floor,533
43,研究大樓,v2-1,count_stop,204
44,研究大樓,v2-1,count_wasted,28
45,研究大樓,v2-1,waiting_time,318.576438
46,研究大樓,v2-1,journey_time,365.6964081
47,研究大樓,v2-1,count_floor,393
48,研究大樓,v2-1,count_stop,15
49,研究大樓,v2-1,count_wasted,3
50,研究大樓,v2-1,waiting_time,209.511709
51,研究大樓,v2-1,journey_time,252.5708024
52,研究大樓,v2-1,count_floor,495
53,研究大樓,v2-1,count_stop,83
54,研究大樓,v2-1,count_wasted,18
55,研究大樓,v2-1,waiting_time,257.2019465
56,研究大樓,v2-1,journey_time,310.463466
57,研究大樓,v2-1,count_floor,340
58,研究大樓,v2-1,count_stop,11
59,研究大樓,v2-1,count_wasted,4
60,研究大樓,v2-1,waiting_time,279.8676005
61,研究大樓,v2-1,journey_time,323.0202337
62,研究大樓,v2-1,count_floor,436
63,研究大樓,v2-1,count_stop,74
64,研究大樓,v2-1,count_wasted,12
65,研究大樓,v2-1,waiting_time,329.814034
66,研究大樓,v2-1,journey_time,377.1724373
67,研究大樓,v2-1,count_floor,423
68,研究大樓,v2-1,count_stop,103
69,研究大樓,v2-1,count_wasted,11
70,研究大樓,v2-1,waiting_time,225.3853894
71,研究大樓,v2-1,journey_time,271.1980491
72,研究大樓,v2-1,count_floor,399
73,研究大樓,v2-1,count_stop,11
74,研究大樓,v2-1,count_wasted,6
75,研究大樓,v2-1,waiting_time,242.9477789
76,研究大樓,v2-1,journey_time,301.9569514
77,研究大樓,v2-1,count_floor,530
78,研究大樓,v2-1,count_stop,151
79,研究大樓,v2-1,count_wasted,30
80,研究大樓,v2-1,waiting_time,227.5590331
81,研究大樓,v2-1,journey_time,272.2521329
82,研究大樓,v2-1,count_floor,440
83,研究大樓,v2-1,count_stop,83
84,研究大樓,v2-1,count_wasted,9
85,研究大樓,v2-1,waiting_time,236.7280121
86,研究大樓,v2-1,journey_time,279.6671434
87,研究大樓,v2-1,count_floor,421
88,研究大樓,v2-1,count_stop,15
89,研究大樓,v2-1,count_wasted,7
90,研究大樓,v2-1,waiting_time,253.7890963
91,研究大樓,v2-1,journey_time,303.6256977
92,研究大樓,v2-1,count_floor,363
93,研究大樓,v2-1,count_stop,7
94,研究大樓,v2-1,count_wasted,10
95,研究大樓,v2-1,waiting_time,330.9110599
96,研究大樓,v2-1,journey_time,379.7448263
97,研究大樓,v2-1,count_floor,355
98,研究大樓,v2-1,count_stop,29
99,研究大樓,v2-1,count_wasted,9
100,研究大樓,v2-1,waiting_time,295.9500939
101,研究大樓,v2-1,journey_time,338.7989062
102,研究大樓,v2-1,count_floor,387
103,研究大樓,v2-1,count_stop,36
104,研究大樓,v2-1,count_wasted,4
105,研究大樓,v2-1,waiting_time,244.7939527
106,研究大樓,v2-1,journey_time,290.4862604
107,研究大樓,v2-1,count_floor,379
108,研究大樓,v2-1,count_stop,7
109,研究大樓,v2-1,count_wasted,0
110,研究大樓,v2-1,waiting_time,226.6145848
111,研究大樓,v2-1,journey_time,271.8943959
112,研究大樓,v2-1,count_floor,377
113,研究大樓,v2-1,count_stop,4
114,研究大樓,v2-1,count_wasted,7
115,研究大樓,v2-1,waiting_time,257.1775393
116,研究大樓,v2-1,journey_time,295.7505789
117,研究大樓,v2-1,count_floor,400
118,研究大樓,v2-1,count_stop,9
119,研究大樓,v2-1,count_wasted,9
120,研究大樓,v2-1,waiting_time,239.3451583
121,研究大樓,v2-1,journey_time,289.9535876
122,研究大樓,v2-1,count_floor,503
123,研究大樓,v2-1,count_stop,181
124,研究大樓,v2-1,count_wasted,84
125,研究大樓,v2-1,waiting_time,232.8713087
126,研究大樓,v2-1,journey_time,283.5200999
127,研究大樓,v2-1,count_floor,445
128,研究大樓,v2-1,count_stop,43
129,研究大樓,v2-1,count_wasted,8
130,研究大樓,v2-1,waiting_time,250.706226
131,研究大樓,v2-1,journey_time,296.308408
132,研究大樓,v2-1,count_floor,426
133,研究大樓,v2-1,count_stop,34
134,研究大樓,v2-1,count_wasted,3
135,研究大樓,v2-1,waiting_time,261.269771
136,研究大樓,v2-1,journey_time,315.8876406
137,研究大樓,v2-1,count_floor,476
138,研究大樓,v2-1,count_stop,170
139,研究大樓,v2-1,count_wasted,178
140,研究大樓,v2-1,waiting_time,238.6050567
141,研究大樓,v2-1,journey_time,285.5269397
142,研究大樓,v2-1,count_floor,409
143,研究大樓,v2-1,count_stop,25
144,研究大樓,v2-1,count_wasted,10
145,研究大樓,v2-1,waiting_time,284.8325377
146,研究大樓,v2-1,journey_time,325.8082689
147,研究大樓,v2-1,count_floor,396
148,研究大樓,v2-1,count_stop,12
149,研究大樓,v2-1,count_wasted,6
150,研究大樓,v2-1,waiting_time,256.6000258
151,研究大樓,v2-1,journey_time,305.2231942
152,研究大樓,v2-1,count_floor,367
153,研究大樓,v2-1,count_stop,14
154,研究大樓,v2-1,count_wasted,0
155,研究大樓,v2-1,waiting_time,259.6799882
156,研究大樓,v2-1,journey_time,305.6244499
157,研究大樓,v2-1,count_floor,365
158,研究大樓,v2-1,count_stop,15
159,研究大樓,v2-1,count_wasted,4
160,研究大樓,v2-1,waiting_time,208.3555328
161,研究大樓,v2-1,journey_time,252.3238841
162,研究大樓,v2-1,count_floor,427
163,研究大樓,v2-1,count_stop,24
164,研究大樓,v2-1,count_wasted,8
165,研究大樓,v2-1,waiting_time,230.4276929
166,研究大樓,v2-1,journey_time,271.7818308
167,研究大樓,v2-1,count_floor,381
168,研究大樓,v2-1,count_stop,17
169,研究大樓,v2-1,count_wasted,7
170,研究大樓,v2-1,waiting_time,235.0148563
171,研究大樓,v2-1,journey_time,272.3392959
172,研究大樓,v2-1,count_floor,399
173,研究大樓,v2-1,count_stop,59
174,研究大樓,v2-1,count_wasted,8
175,研究大樓,v2-1,waiting_time,231.275771
176,研究大樓,v2-1,journey_time,271.0260353
177,研究大樓,v2-1,count_floor,377
178,研究大樓,v2-1,count_stop,15
179,研究大樓,v2-1,count_wasted,8
180,研究大樓,v2-1,waiting_time,222.8637985
181,研究大樓,v2-1,journey_time,266.7727936
182,研究大樓,v2-1,count_floor,451
183,研究大樓,v2-1,count_stop,27
184,研究大樓,v2-1,count_wasted,8
185,研究大樓,v2-1,waiting_time,238.8157664
186,研究大樓,v2-1,journey_time,284.9093837
187,研究大樓,v2-1,count_floor,470
188,研究大樓,v2-1,count_stop,24
189,研究大樓,v2-1,count_wasted,13
190,研究大樓,v2-1,waiting_time,247.7658215
191,研究大樓,v2-1,journey_time,297.176474
192,研究大樓,v2-1,count_floor,487
193,研究大樓,v2-1,count_stop,181
194,研究大樓,v2-1,count_wasted,132
195,研究大樓,v2-1,waiting_time,246.1047963
196,研究大樓,v2-1,journey_time,283.4000756
197,研究大樓,v2-1,count_floor,396
198,研究大樓,v2-1,count_stop,8
199,研究大樓,v2-1,count_wasted,8
200,研究大樓,v2-1,waiting_time,307.3901661
201,研究大樓,v2-1,journey_time,352.9197924
202,研究大樓,v2-1,count_floor,387
203,研究大樓,v2-1,count_stop,19
204,研究大樓,v2-1,count_wasted,10
205,研究大樓,v2-1,waiting_time,227.8500498
206,研究大樓,v2-1,journey_time,276.807272
207,研究大樓,v2-1,count_floor,386
208,研究大樓,v2-1,count_stop,19
209,研究大樓,v2-1,count_wasted,8
210,研究大樓,v2-1,waiting_time,238.2385463
211,研究大樓,v2-1,journey_time,284.4941863
212,研究大樓,v2-1,count_floor,484
213,研究大樓,v2-1,count_stop,45
214,研究大樓,v2-1,count_wasted,7
215,研究大樓,v2-1,waiting_time,240.2306391
216,研究大樓,v2-1,journey_time,289.9121601
217,研究大樓,v2-1,count_floor,520
218,研究大樓,v2-1,count_stop,119
219,研究大樓,v2-1,count_wasted,21
220,研究大樓,v2-1,waiting_time,298.0541621
221,研究大樓,v2-1,journey_time,354.1201581
222,研究大樓,v2-1,count_floor,392
223,研究大樓,v2-1,count_stop,18
224,研究大樓,v2-1,count_wasted,7
225,研究大樓,v2-1,waiting_time,278.2765876
226,研究大樓,v2-1,journey_time,324.5790397
227,研究大樓,v2-1,count_floor,373
228,研究大樓,v2-1,count_stop,6
229,研究大樓,v2-1,count_wasted,7
230,研究大樓,v2-1,waiting_time,266.7437926
231,研究大樓,v2-1,journey_time,316.4414483
232,研究大樓,v2-1,count_floor,435
233,研究大樓,v2-1,count_stop,90
234,研究大樓,v2-1,count_wasted,301
235,研究大樓,v2-1,waiting_time,206.208593
236,研究大樓,v2-1,journey_time,248.5492931
237,研究大樓,v2-1,count_floor,414
238,研究大樓,v2-1,count_stop,25
239,研究大樓,v2-1,count_wasted,8
240,研究大樓,v2-1,waiting_time,276.7973793
241,研究大樓,v2-1,journey_time,333.2678159
242,研究大樓,v2-1,count_floor,417
243,研究大樓,v2-1,count_stop,34
244,研究大樓,v2-1,count_wasted,437
245,研究大樓,v2-1,waiting_time,218.4945136
246,研究大樓,v2-1,journey_time,262.8925248
247,研究大樓,v2-1,count_floor,424
248,研究大樓,v2-1,count_stop,48
249,研究大樓,v2-1,count_wasted,4
250,研究大樓,v2-1,waiting_time,257.5078424
251,研究大樓,v2-1,journey_time,307.5924949
252,研究大樓,v2-1,count_floor,389
253,研究大樓,v2-1,count_stop,22
254,研究大樓,v2-1,count_wasted,2
255,研究大樓,v2-1,waiting_time,307.1949816
256,研究大樓,v2-1,journey_time,354.4812321
257,研究大樓,v2-1,count_floor,411
258,研究大樓,v2-1,count_stop,18
259,研究大樓,v2-1,count_wasted,4
260,研究大樓,v2-1,waiting_time,214.7807734
261,研究大樓,v2-1,journey_time,261.9170908
262,研究大樓,v2-1,count_floor,456
263,研究大樓,v2-1,count_stop,112
264,研究大樓,v2-1,count_wasted,105
265,研究大樓,v2-1,waiting_time,262.3021569
266,研究大樓,v2-1,journey_time,312.677121
267,研究大樓,v2-1,count_floor,414
268,研究大樓,v2-1,count_stop,62
269,研究大樓,v2-1,count_wasted,7
270,研究大樓,v2-1,waiting_time,225.2649223
271,研究大樓,v2-1,journey_time,268.7539125
272,研究大樓,v2-1,count_floor,406
273,研究大樓,v2-1,count_stop,8
274,研究大樓,v2-1,count_wasted,8
275,研究大樓,v2-1,waiting_time,251.4833912
276,研究大樓,v2-1,journey_time,299.118868
277,研究大樓,v2-1,count_floor,396
278,研究大樓,v2-1,count_stop,8
279,研究大樓,v2-1,count_wasted,6
280,研究大樓,v2-1,waiting_time,254.4080149
281,研究大樓,v2-1,journey_time,306.8145474
282,研究大樓,v2-1,count_floor,464
283,研究大樓,v2-1,count_stop,152
284,研究大樓,v2-1,count_wasted,102
285,研究大樓,v2-1,waiting_time,245.5349119
286,研究大樓,v2-1,journey_time,297.4763032
287,研究大樓,v2-1,count_floor,449
288,研究大樓,v2-1,count_stop,43
289,研究大樓,v2-1,count_wasted,144
290,研究大樓,v2-1,waiting_time,289.7394844
291,研究大樓,v2-1,journey_time,343.4902942
292,研究大樓,v2-1,count_floor,468
293,研究大樓,v2-1,count_stop,193
294,研究大樓,v2-1,count_wasted,52
295,研究大樓,v2-1,waiting_time,221.9140898
296,研究大樓,v2-1,journey_time,262.7665093
297,研究大樓,v2-1,count_floor,388
298,研究大樓,v2-1,count_stop,31
299,研究大樓,v2-1,count_wasted,3
300,研究大樓,v2-1,waiting_time,300.6619741
301,研究大樓,v2-1,journey_time,358.0953195
302,研究大樓,v2-1,count_floor,467
303,研究大樓,v2-1,count_stop,107
304,研究大樓,v2-1,count_wasted,287
305,研究大樓,v2-1,waiting_time,245.4374541
306,研究大樓,v2-1,journey_time,288.0174062
307,研究大樓,v2-1,count_floor,380
308,研究大樓,v2-1,count_stop,5
309,研究大樓,v2-1,count_wasted,7
310,研究大樓,v2-1,waiting_time,260.2648707
311,研究大樓,v2-1,journey_time,307.335553
312,研究大樓,v2-1,count_floor,406
313,研究大樓,v2-1,count_stop,16
314,研究大樓,v2-1,count_wasted,10
315,研究大樓,v2-1,waiting_time,261.6143916
316,研究大樓,v2-1,journey_time,314.4196806
317,研究大樓,v2-1,count_floor,450
318,研究大樓,v2-1,count_stop,123
319,研究大樓,v2-1,count_wasted,155
320,研究大樓,v2-1,waiting_time,316.3538567
321,研究大樓,v2-1,journey_time,366.0114104
322,研究大樓,v2-1,count_floor,396
323,研究大樓,v2-1,count_stop,20
324,研究大樓,v2-1,count_wasted,8
325,研究大樓,v2-1,waiting_time,301.782341
326,研究大樓,v2-1,journey_time,354.3001997
327,研究大樓,v2-1,count_floor,389
328,研究大樓,v2-1,count_stop,23
329,研究大樓,v2-1,count_wasted,9
330,研究大樓,v2-1,waiting_time,278.6536548
331,研究大樓,v2-1,journey_time,323.6110446
332,研究大樓,v2-1,count_floor,398
333,研究大樓,v2-1,count_stop,6
334,研究大樓,v2-1,count_wasted,10
