elevIndex,direction,floorIndex,latterStatus,time
a1,-1,11,1,9.916163658767971
a1,1,7,0,22.91616365876797
a1,-1,11,0,22.91616365876797
a1,-1,14,1,24.91616365876797
a1,-1,14,0,38.91616365876797
a2,-1,3,1,45.95246624608481
a2,-1,2,1,47.84635030275116
a0,1,3,1,53.19069985029287
a2,1,8,1,55.738151958326156
a2,1,8,1,56.50326350582726
a2,1,10,1,62.026413721920264
a0,1,3,0,66.19069985029287
a0,1,4,1,68.19069985029287
a0,1,4,0,74.19069985029287
a1,1,4,1,76.19069985029287
a1,1,4,0,77.19069985029287
a1,1,8,1,79.19069985029287
a2,1,16,0,80.84635030275116
a2,-1,2,0,80.84635030275116
a2,-1,8,1,82.84635030275116
a2,-1,3,0,88.84635030275116
a2,-1,10,1,89.84635030275116
a2,-1,0,1,93.78078653807835
a1,1,8,0,97.19069985029287
a2,1,8,1,98.19069985029287
a4,-1,4,1,98.46581066582772
a4,1,14,0,111.46581066582772
a4,-1,4,0,111.46581066582772
a2,-1,8,0,111.84635030275116
a4,-1,4,1,117.46581066582772
a4,-1,4,0,118.46581066582772
a2,-1,10,0,123.84635030275116
a4,-1,4,1,124.46581066582772
a4,-1,4,0,125.46581066582772
a2,1,8,0,125.84635030275116
a1,-1,10,1,125.84635030275116
a1,-1,10,0,126.84635030275116
a1,-1,12,1,128.84635030275115
a4,-1,4,1,131.46581066582772
a2,1,10,1,131.84635030275115
a2,1,11,1,131.84635030275115
a2,1,18,1,131.84635030275115
a2,1,15,1,131.84635030275115
a4,-1,4,0,132.46581066582772
a4,-1,4,1,138.46581066582772
a1,-1,12,0,138.84635030275115
a4,-1,4,0,139.46581066582772
a4,-1,5,1,139.8415792341953
a2,1,10,0,141.84635030275115
a2,1,18,1,143.84635030275115
a4,-1,5,0,144.8415792341953
a2,-1,4,1,145.46581066582772
a4,-1,7,1,145.8415792341953
a2,1,11,0,149.84635030275115
a4,1,11,1,150.84635030275115
a4,-1,7,0,155.8415792341953
a2,1,11,1,156.84635030275115
a4,1,11,0,157.8415792341953
a4,1,12,1,158.8415792341953
a4,1,12,0,164.8415792341953
a2,1,15,0,168.84635030275115
a2,1,8,1,178.41062533822918
a2,1,18,0,184.84635030275115
a0,1,0,1,187.56435463843508
a2,-1,0,0,187.84635030275115
a2,-1,9,1,188.84635030275115
a2,-1,1,1,192.76717169766087
a2,-1,1,0,197.76717169766087
a2,-1,10,1,198.76717169766087
a0,-1,18,0,204.56435463843508
a0,1,0,0,204.56435463843508
a0,1,4,1,205.56435463843508
a2,-1,4,0,212.76717169766087
a2,-1,10,1,213.76717169766087
a0,1,4,0,223.56435463843508
a1,1,4,1,225.56435463843508
a1,-1,14,0,234.56435463843508
a1,1,4,0,234.56435463843508
a2,-1,9,0,235.76717169766087
a1,1,8,1,236.56435463843508
a2,1,8,1,241.9205478772445
a2,-1,10,0,243.76717169766087
a2,1,8,0,244.76717169766087
a1,-1,10,1,244.76717169766087
a0,1,4,1,245.91038136085672
a0,1,4,0,246.91038136085672
a2,1,14,1,250.76717169766087
a2,1,11,1,250.76717169766087
a2,1,18,1,250.76717169766087
a1,1,8,0,254.56435463843508
a1,-1,10,0,256.5643546384351
a2,1,8,1,256.5643546384351
a2,1,8,1,256.76717169766084
a0,-1,15,1,258.2081467338035
a1,-1,14,1,259.5643546384351
a1,-1,14,1,259.5643546384351
a0,-1,15,0,263.2081467338035
a2,1,11,0,264.76717169766084
a4,1,11,1,265.76717169766084
a0,-1,17,1,267.2081467338035
a0,-1,18,1,267.2081467338035
a4,-1,7,0,270.76717169766084
a4,1,11,0,270.76717169766084
a4,1,13,1,271.76717169766084
a0,-1,17,0,277.2081467338035
a1,-1,14,0,277.5643546384351
a2,-1,0,1,277.8110111816736
a2,1,14,0,279.76717169766084
a4,1,13,0,281.76717169766084
a0,-1,18,0,284.2081467338035
a2,1,18,0,299.76717169766084
a2,-1,0,0,300.76717169766084
a2,-1,7,1,302.76717169766084
a2,-1,9,1,310.13329538167307
a2,-1,1,1,316.0715157775792
a1,1,5,1,330.7541205346066
a2,-1,7,0,332.76717169766084
a1,-1,12,1,333.01674038203413
a2,1,8,1,335.60436422656227
a1,1,5,0,335.7541205346066
a1,1,8,1,336.7541205346066
a1,-1,12,1,343.69879664568356
a2,-1,9,0,343.76717169766084
a2,-1,10,1,347.76717169766084
a2,-1,10,1,347.76717169766084
a1,1,8,0,350.7541205346066
a2,1,8,1,352.7541205346066
a2,-1,10,0,353.76717169766084
a2,1,8,0,354.76717169766084
a1,-1,10,1,354.76717169766084
a1,-1,10,0,355.76717169766084
a4,-1,4,1,357.7790584687766
a1,-1,14,1,358.76717169766084
a1,-1,14,1,358.76717169766084
a2,1,17,1,359.76717169766084
a2,1,10,1,359.76717169766084
a2,1,11,1,359.76717169766084
a0,-1,14,1,361.4746992736147
a4,1,14,0,362.7790584687766
a4,-1,4,0,362.7790584687766
a1,-1,11,1,366.5048830357381
a1,-1,11,0,367.5048830357381
a1,-1,14,1,368.5048830357381
a4,-1,4,1,368.7790584687766
a2,1,10,0,369.76717169766084
a4,-1,4,0,369.7790584687766
a2,1,11,1,373.76717169766084
a0,-1,14,1,373.90540688208193
a0,1,0,1,374.12739081521966
a1,-1,12,0,374.5048830357381
a4,-1,4,1,375.7790584687766
a1,-1,14,1,376.5048830357381
a4,-1,4,0,376.7790584687766
a0,1,4,0,378.4746992736147
a0,-1,14,0,378.4746992736147
a2,1,11,0,379.76717169766084
a0,-1,15,1,382.4746992736147
a0,-1,15,1,382.4746992736147
a0,-1,18,1,382.4746992736147
a4,1,11,1,382.76717169766084
a4,-1,4,1,382.7790584687766
a4,-1,4,0,383.7790584687766
a1,-1,14,0,386.5048830357381
a0,-1,15,0,388.4746992736147
a4,1,11,1,388.76717169766084
a2,-1,4,1,389.7790584687766
a0,1,3,1,396.1634281942406
a4,-1,7,0,397.7790584687766
a4,1,11,0,397.7790584687766
a4,1,12,1,399.7790584687766
a0,-1,18,0,405.4746992736147
a2,-1,8,1,405.5617721014852
a4,1,12,0,405.7790584687766
a0,1,0,0,406.4746992736147
a0,1,4,1,408.4746992736147
a2,1,17,0,408.76717169766084
a2,-1,1,0,410.76717169766084
a2,-1,10,1,412.76717169766084
a0,1,3,0,422.4746992736147
a0,1,4,1,426.4746992736147
a0,1,4,1,426.4746992736147
a2,-1,4,0,426.76717169766084
a2,-1,10,1,428.76717169766084
a0,1,0,1,429.67095698530335
a0,1,4,0,432.4746992736147
a1,1,4,1,434.4746992736147
a1,1,4,0,435.4746992736147
a1,1,8,1,442.4746992736147
a1,1,8,1,442.4746992736147
a1,1,8,1,442.4746992736147
a1,1,8,1,442.4746992736147
a1,1,5,1,442.4746992736147
a2,-1,8,0,446.76717169766084
a1,1,5,0,448.4746992736147
a2,-1,10,1,448.76717169766084
a0,-1,18,0,452.4746992736147
a0,1,0,0,452.4746992736147
a0,1,4,1,453.4746992736147
a2,-1,10,0,458.76717169766084
a1,-1,10,1,459.76717169766084
a1,1,8,0,463.4746992736147
a4,-1,4,1,465.7562800330644
a1,-1,10,0,469.4746992736147
a2,1,8,1,469.4746992736147
a2,1,8,0,470.4746992736147
a0,1,4,0,471.4746992736147
a1,-1,14,1,473.4746992736147
a1,-1,14,1,473.4746992736147
a1,-1,12,1,473.4746992736147
a2,1,14,1,473.4746992736147
a2,1,16,1,473.4746992736147
a4,1,14,0,474.7562800330644
a4,-1,4,0,474.7562800330644
a4,-1,4,1,480.7562800330644
a4,-1,4,0,481.7562800330644
a1,-1,12,0,483.4746992736147
a2,1,11,1,484.61733832365616
a4,-1,4,1,487.7562800330644
a4,-1,4,0,488.7562800330644
a2,1,11,0,489.61733832365616
a2,1,16,1,490.61733832365616
a1,-1,10,1,493.059282424626
a4,-1,4,1,494.7562800330644
a1,-1,14,0,495.4746992736147
a4,-1,4,0,495.7562800330644
a2,-1,8,1,498.17763908188397
a0,-1,14,1,498.4746992736147
a0,-1,14,0,499.4746992736147
a4,-1,4,1,501.7562800330644
a4,-1,4,0,502.7562800330644
a0,-1,18,1,504.4746992736147
a0,-1,15,1,504.4746992736147
a0,-1,15,1,504.4746992736147
a0,-1,15,1,504.4746992736147
a2,1,14,0,504.61733832365616
a4,-1,4,1,508.7562800330644
a1,1,7,1,509.04594167480445
a4,-1,4,0,509.7562800330644
a0,-1,15,0,510.4746992736147
a1,1,7,0,514.0459416748045
a2,1,16,0,515.6173383236562
a4,-1,4,1,515.7562800330644
a1,1,8,1,516.0459416748045
a4,-1,4,0,516.7562800330644
a4,-1,5,1,521.6108978348466
a1,1,8,0,522.0459416748045
a2,-1,4,1,522.7562800330644
a1,-1,10,0,524.0459416748045
a2,1,8,1,524.0459416748045
a1,-1,12,1,526.0459416748045
a4,-1,5,0,526.6108978348466
a0,-1,18,0,528.4746992736148
a4,-1,7,1,528.6108978348466
a2,-1,4,0,531.7562800330644
a2,-1,10,1,532.7562800330644
a4,-1,5,1,533.17083424539
a0,1,1,1,533.5993438344128
a4,-1,5,0,534.17083424539
a1,-1,12,0,536.0459416748045
a4,-1,7,1,536.17083424539
a0,1,0,1,537.2135871553794
a0,1,0,0,538.2135871553794
a0,1,4,1,540.2135871553794
a2,-1,9,1,544.2417838430208
a4,-1,7,0,546.17083424539
a0,1,1,0,546.2135871553794
a1,-1,11,1,546.5577963037329
a2,-1,7,1,547.17083424539
a0,1,4,1,547.2135871553794
a2,-1,7,0,548.17083424539
a0,1,3,1,548.287902675199
a1,1,7,0,551.5577963037329
a1,-1,11,0,551.5577963037329
a2,-1,10,1,552.17083424539
a2,-1,10,1,552.17083424539
a1,-1,14,1,552.5577963037329
a0,1,3,0,557.287902675199
a2,-1,8,0,558.17083424539
a2,-1,10,1,559.17083424539
a0,1,4,1,559.287902675199
a1,1,4,1,560.6414862331901
a2,-1,9,0,565.17083424539
a0,1,4,0,565.287902675199
a2,-1,10,1,566.17083424539
a1,-1,14,0,566.5577963037329
a1,1,4,0,567.5577963037329
a1,1,8,1,570.5577963037329
a1,1,5,1,570.5577963037329
a1,1,8,1,570.5577963037329
a2,-1,10,0,572.17083424539
a2,1,8,0,575.17083424539
a1,-1,10,1,575.17083424539
a1,1,5,0,576.5577963037329
a2,1,11,1,577.17083424539
a2,1,9,1,582.2394612703904
a2,1,9,0,583.2394612703904
a2,1,14,1,584.2394612703904
a2,-1,0,1,588.2004522735305
a1,1,8,0,591.5577963037329
a1,-1,10,0,592.5577963037329
a2,1,8,1,592.5577963037329
a2,1,11,0,594.2394612703904
a0,1,0,1,597.2357760010678
a1,-1,14,1,601.5577963037329
a1,-1,14,1,601.5577963037329
a1,-1,14,1,601.5577963037329
a1,-1,14,1,601.5577963037329
a1,-1,12,1,601.5577963037329
a1,-1,13,1,607.1281589174047
a2,1,14,0,609.2394612703904
a1,-1,12,0,611.5577963037329
a0,-1,18,0,614.2357760010678
a0,1,0,0,614.2357760010678
a0,1,4,1,615.2357760010678
a2,-1,7,1,617.3702048975601
a1,-1,13,0,619.5577963037329
a2,-1,1,1,619.5925752401114
a1,-1,14,1,620.5577963037329
a1,-1,14,0,626.5577963037329
a2,1,18,0,628.2394612703904
a2,-1,0,0,628.2394612703904
a0,-1,14,1,629.5577963037329
a2,-1,7,1,630.2394612703904
a0,1,4,0,633.2357760010678
a0,-1,14,0,635.2357760010678
a1,1,4,1,635.2357760010678
a1,1,4,0,636.2357760010678
a2,-1,1,0,636.2394612703904
a1,1,8,1,637.2357760010678
a2,-1,10,1,637.2394612703904
a2,-1,3,1,640.6115389852015
a0,-1,15,1,644.2357760010678
a0,-1,17,1,644.2357760010678
a0,-1,17,1,644.2357760010678
a0,-1,15,1,644.2357760010678
a0,-1,15,1,644.2357760010678
a2,-1,3,0,649.6115389852015
a0,-1,15,0,650.2357760010678
a2,-1,10,1,650.6115389852015
